gene_id,MPANC_CON-DMSO-1_S1,MPANC_CON-DMSO-2_S2,MPANC_CON-Gem-1_S3,MPANC_CON-Gem-2_S4,MPANC_KO-DMSO-1_S9,MPANC_KO-DMSO-2_S10,MPANC_KO-Gem-1_S11,MPANC_KO-Gem-2_S12,PANC1_CON-DMSO-1_S1,PANC1_CON-DMSO-2_S2,PANC1_CON-Gem-1_S3,PANC1_CON-Gem-2_S4,PANC1_KO-DMSO-1_S9,PANC1_KO-DMSO-2_S10,PANC1_KO-Gem-1_S11,PANC1_KO-Gem-2_S12
ENSG00000284536.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250318.1,38,30,23,22,32,29,16,29,22,22,19,17,25,32,28,30
ENSG00000268636.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000108924.13,11,13,11,19,4,7,6,3,0,0,5,0,3,6,0,4
ENSG00000108556.7,4,9,7,5,3,6,4,3,2,5,3,4,0,4,7,5
ENSG00000157330.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000167194.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000268392.1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
ENSG00000237221.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000185182.14,0,1,1,1,0,1,1,0,2,1,1,2,0,0,0,0
ENSG00000113742.12,390,127,377,407,605,247,541,496,320,365,364,1090,238,728,585,232
ENSG00000172244.8,236,293,339,276,208,255,400,344,315,358,326,345,233,292,350,363
ENSG00000257135.5,15,19,15,8,5,18,19,27,30,37,43,40,15,12,14,8
ENSG00000281202.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000251605.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000224438.3,0,0,0,1,0,1,0,0,1,1,0,1,1,0,1,0
ENSG00000260594.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000227480.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198265.11,874,985,840,892,939,1041,1164,744,620,636,561,467,851,825,889,870
ENSG00000254081.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163902.11,9743,9371,8440,8655,8967,9452,9014,9734,7649,8189,7122,7794,7114,7146,7257,7970
ENSG00000253747.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252711.1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
ENSG00000283044.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223245.1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1
ENSG00000183562.3,7,5,13,13,13,24,21,5,10,8,9,7,11,16,9,16
ENSG00000272445.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237937.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000222087.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250771.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000116786.12,2625,2217,1941,1973,1479,1539,1353,1380,1681,2156,1551,1590,1240,1248,1198,1320
ENSG00000107021.15,1078,939,805,755,1092,1167,915,999,663,780,600,601,804,814,680,766
ENSG00000099800.7,2312,1168,1808,1027,2038,2117,1992,1402,966,1074,922,1113,651,673,645,1372
ENSG00000222439.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000271072.1,10,10,5,5,10,10,12,13,13,14,10,6,4,4,7,6
ENSG00000212289.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000266458.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000118564.14,792,830,743,726,905,1069,843,847,685,727,658,690,821,864,643,829
ENSG00000272459.1,5,10,5,6,7,15,9,9,5,6,2,6,12,12,15,8
ENSG00000258425.1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
ENSG00000163872.15,1684,1907,1949,2033,1422,1515,1495,1033,1438,1528,1460,1775,1119,1013,1219,1327
ENSG00000135469.13,212,158,179,191,179,215,162,160,346,322,219,311,175,175,207,234
ENSG00000207644.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212308.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000162804.13,53,55,57,59,71,160,81,54,434,653,389,445,55,38,49,43
ENSG00000272690.5,0,0,0,0,0,3,0,3,1,1,0,0,1,3,1,0
ENSG00000207821.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000163870.14,1438,1130,1047,1021,1355,1543,1143,1398,710,748,645,705,1002,983,800,876
ENSG00000250458.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ENSG00000221819.6,3,1,6,1,1,10,10,6,1,1,10,4,2,2,7,4
ENSG00000135778.11,844,750,627,615,629,710,530,587,634,676,602,596,551,507,462,454
ENSG00000283602.1,3,1,0,0,0,0,0,2,0,1,1,0,0,0,0,2
ENSG00000116604.17,2789,2604,2494,2432,1960,1841,1862,1739,1201,1285,1117,1040,1961,1909,1787,1830
ENSG00000276580.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
ENSG00000254298.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000232766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000099810.19,1897,2099,2181,2291,951,2662,2850,2671,267,231,245,242,1718,1718,1981,2262
ENSG00000261113.1,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0
ENSG00000252386.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000223344.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000274017.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000250564.1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
ENSG00000089289.15,2954,2760,2022,2268,3051,3133,2531,2887,888,1020,825,861,2305,2611,2053,2007
ENSG00000150636.17,6,3,4,2,0,0,0,0,13,28,13,18,0,0,0,0
ENSG00000227593.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229005.2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
ENSG00000253710.2,243,214,228,179,247,303,254,142,284,218,269,194,216,246,202,234
ENSG00000106789.12,2502,2309,2143,2152,1855,1976,1952,2061,90,113,106,98,2040,2186,2157,2205
ENSG00000237121.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000217289.3,34,28,20,27,12,13,19,15,11,11,16,10,17,21,29,28
ENSG00000258411.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000188585.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000240241.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000201675.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000143450.16,20,21,18,28,26,19,21,13,28,29,14,23,4,22,16,9
ENSG00000180616.8,6,4,5,5,6,2,6,8,28,42,26,32,0,0,4,0
ENSG00000109079.9,1303,1183,1027,1054,1106,1195,1036,1003,2083,2231,1886,1921,997,1006,902,931
ENSG00000226643.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138623.10,137,106,149,144,24,28,33,42,204,270,239,275,32,35,75,90
ENSG00000132563.15,11,10,6,7,11,26,11,25,242,373,258,179,4,8,6,11
ENSG00000222490.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000149743.13,718,461,592,643,713,857,740,767,643,623,527,527,500,498,371,533
ENSG00000185319.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000164970.14,248,206,182,174,379,273,271,296,937,851,1001,685,252,215,178,216
ENSG00000275339.1,0,1,2,2,1,5,1,0,2,1,1,0,3,3,3,0
ENSG00000124116.18,86,97,121,120,162,129,206,241,0,0,0,0,50,68,104,73
ENSG00000271187.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000229372.1,25,14,13,24,12,6,6,13,6,4,7,11,5,7,6,8
ENSG00000227270.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000260083.1,30,29,28,29,51,26,34,38,12,12,15,16,28,25,13,25
ENSG00000269736.1,0,2,2,0,0,0,3,2,0,0,0,0,0,0,2,0
ENSG00000157077.14,668,640,519,526,459,574,458,353,965,1064,917,898,396,409,358,404
ENSG00000240255.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000207091.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000259970.1,0,2,3,3,2,2,3,2,3,0,0,1,4,0,5,0
ENSG00000268967.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000176681.14,58,88,60,53,65,70,91,71,53,49,45,41,64,67,69,73
ENSG00000144647.5,475,398,401,358,429,449,571,520,525,571,517,522,325,317,377,418
ENSG00000283524.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000264010.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000215909.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000252990.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000236616.3,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,2
ENSG00000206776.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000212330.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENSG00000248228.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151838.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225905.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000151117.8,24,26,19,30,37,27,39,36,5,12,14,7,22,35,42,41
ENSG00000119965.12,174,185,164,152,209,198,147,170,557,541,476,481,195,215,168,170
ENSG00000159588.14,17,31,45,37,61,56,42,58,25,16,17,22,58,39,45,29
ENSG00000005513.9,94,117,97,95,91,122,60,82,59,73,87,67,62,64,44,43
ENSG00000249934.2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,3,0
ENSG00000166295.8,3444,3794,2929,3127,3028,3156,2835,3273,2181,2299,2028,2210,2653,2571,2427,2454
ENSG00000273096.1,2,2,4,3,3,4,3,5,0,2,1,1,2,5,1,4
ENSG00000145495.15,6331,6070,6522,6427,6884,8216,7549,6212,7407,7747,7139,6741,6276,6403,6233,6271
ENSG00000229757.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
ENSG00000160606.10,206,287,281,213,269,266,338,230,727,448,453,523,221,161,222,190
ENSG00000265246.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225516.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000075426.11,2858,2775,2262,2661,2728,3078,2764,2564,1879,2060,1837,1712,2286,2270,2507,2660
ENSG00000219492.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000273487.1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
ENSG00000007237.18,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0
ENSG00000264373.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSG00000259022.2,94,83,73,81,62,90,74,93,112,81,100,119,58,42,52,60
ENSG00000212293.1,0,1,0,1,0,1,1,1,1,0,0,0,1,2,1,0
ENSG00000124541.6,795,739,682,677,675,775,689,759,1584,1622,1477,1587,579,578,701,658
ENSG00000257308.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000235297.3,361,351,273,328,311,405,269,477,288,329,263,397,252,268,266,294
ENSG00000180626.9,203,173,255,217,509,477,447,363,140,134,129,101,351,300,372,324
ENSG00000264714.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
