sgRNA,Gene,cont1,cont2,cont3,gemc1,gemc2,gemc3
PHF20-sg10,PHF20,707.3747352,129.1900595,163.4350123,0,1738.210603,0
CDK17-sg5,CDK17,369.7211949,1413.750311,50.33798377,0,0,6768.656638
TAF6L-sg5,TAF6L,703.60207,121.8497152,1075.402381,213.3264539,2.72446803,551.8918149
SMARCAL1-sg8,SMARCAL1,0,0,842.0171831,0,0,168.760307
BRDT-sg13,BRDT,409.3341801,299.4860471,5.883660441,111.4521882,4754.196713,153.5566758
LIN28A-sg11,LIN28A,3710.416278,731.0982915,59.49034446,93.16706354,0,0
PRKCD-sg9,PRKCD,113.1799576,463.9097592,50.99172382,226.3872572,0,0
USP16-sg7,USP16,173.5426017,259.8481879,0,0,0,0
STK31-sg3,STK31,364.0621971,1460.728514,613.208166,0,128.0499974,164.1992176
G2E3-sg3,G2E3,1486.43011,61.65889205,190.8920943,2034.002434,0,4539.804295
USP34-sg3,USP34,430.083839,67.53116748,115.0582486,346.5466476,0,1488.435501
RBBP7-sg11,RBBP7,132.0432839,1297.772871,21.57342162,53.98465364,0,45.61089379
CSNK2B-sg6,CSNK2B,1037.482945,0,57.52912431,673.9374503,0,0
HDGFRP2-sg13,HDGFRP2,490.4464831,571.0787859,4487.271696,1.74144044,318.7627595,1721.051059
MYB-sg4,MYB,0,0,0,0,329.6606316,576.2176249
CDK17-sg9,CDK17,3595.349988,914.6068987,1038.792938,1275.605122,0,3800.907816
DNMT1-sg13,DNMT1,0,0,0,0,0,0
PRMT8-sg9,PRMT8,209.3829216,132.1261973,630.2054073,312.588559,242.4776547,100.3439663
PHF8-sg1,PHF8,209.3829216,1463.664652,575.2912431,0,0,401.3758654
BRD9-sg7,BRD9,147.1339449,0,125.5180894,0,0,0
SIN3B-sg6,SIN3B,73.56697246,63.12696091,38.57066289,3.48288088,0,171.8010333
ATR-sg13,ATR,486.6738178,89.55220036,116.3657287,0,0,0
TET2-sg6,TET2,354.6305339,240.7632928,17.65098132,2.61216066,348.7319079,2812.671784
UBR5-sg5,UBR5,237.677911,1081.966749,162.1275322,1299.114568,1926.198897,0
USP13-sg3,USP13,558.3544577,76.33958063,79.75628598,459.7402761,0,0
sgCTRL_183,CTRL,315.0175488,480.0585167,500.1111375,367.4439328,926.3191302,179.4028489
HAT1-sg5,HAT1,279.1772288,428.6761066,2.614960196,236.8358998,0,0
BRD9-sg5,BRD9,356.5168666,963.0531711,126.8255695,0,2067.871235,484.9958373
SMARCD2-sg3,SMARCD2,0,82.21185607,37.26318279,0,0,0
ZCWPW1-sg12,ZCWPW1,69.79430721,209.9338467,146.437771,922.9634332,0,0
TADA3-sg2,TADA3,0,0,46.41554348,0,0,164.1992176
SETD1B-sg12,SETD1B,658.3300869,209.9338467,2743.093246,101.8742657,0,4.561089379
NAP1L1-sg7,NAP1L1,82.9986356,45.51013461,24.18838181,829.7963696,0,0
UTY-sg5,UTY,250.8822394,17.6168263,549.7953812,108.8400275,0,206.7693852
ADA-sg3,ADA,497.9918136,152.6791613,245.8062584,344.8052071,2.72446803,1.520363126
SIN3A-sg11,SIN3A,192.405928,157.0833678,70.60392529,325.6493623,0,4539.804295
USP16-sg3,USP16,0,0,86.94742652,809.7698046,0,86.6606982
TAF6L-sg7,TAF6L,435.7428369,135.062335,0,0,0,582.2990774
KAT2B-sg12,KAT2B,186.7469301,98.36061351,219.6566565,271.6647086,0,0
TET1-sg12,TET1,158.4519407,57.25468548,159.512572,0,0,199.1675695
DAXX-sg8,DAXX,0,0,0,158.47108,0,0
HDAC7-sg10,HDAC7,958.2569747,149.7430236,171.2798928,16.54368418,204.3351023,0
MSL3-sg7,MSL3,1078.982263,189.3808827,830.9036023,295.1741546,2.72446803,1803.150668
HUWE1-sg9,HUWE1,1135.572242,0,14.38228108,114.0643488,0,0
GATAD2A-sg4,GATAD2A,0,0,122.9031292,0,0,0
MTA2-sg3,MTA2,1725.994354,1099.583575,490.9587768,1541.174789,751.9531763,735.8557531
USP7-sg13,USP7,0,416.9315558,58.18286436,1234.681272,0,421.140586
RNF217-sg5,RNF217,486.6738178,356.7407326,561.5627021,1876.402074,6113.70626,635.5117868
SFMBT2-sg9,SFMBT2,331.9945424,195.2531582,511.8784584,3054.486532,0,0
PRKAA1-sg2,PRKAA1,0,327.3793554,0,0,0,0
WDR61-sg12,WDR61,143.3612797,0,0,44.40673122,0,0
TADA3-sg4,TADA3,1776.925335,728.1621537,192.8533145,1820.67598,2.72446803,38.00907816
RBBP7-sg9,RBBP7,235.7915784,685.5881568,2014.173091,1901.65296,0,913.7382389
UBR5-sg2,UBR5,575.3314513,0,190.8920943,121.9008308,0,0
MBD1-sg8,MBD1,73.56697246,679.7158814,139.2466304,0,0,120.108687
CBX1-sg13,CBX1,303.699553,0,0,0,0,89.70142445
NCOA3-sg1,NCOA3,748.874053,137.9984727,37.91692284,75.75265914,0,729.7743006
SMARCD3-sg12,SMARCD3,41.4993178,61.65889205,14.38228108,0,0,59.29416193
DAXX-sg5,DAXX,0,0,0,0,0,0
INO80-sg1,INO80,0,35.2336526,101.3297076,0,0,0
BAZ2B-sg13,BAZ2B,448.9471653,2667.481116,105.2521479,69.6576176,261.5489309,1786.426673
TDRD7-sg13,TDRD7,0,0,0,269.052548,0,0
BRWD3-sg12,BRWD3,439.5155022,300.954116,446.5044535,1353.099222,0,0
USP7-sg8,USP7,37.72665255,80.74378721,2479.636006,0,0,0
TET1-sg5,TET1,1499.634439,0,1815.436116,0,0,155.0770389
SMARCC2-sg7,SMARCC2,522.5141378,340.5919751,353.6733665,164.5661216,0,3239.893822
KAT7-sg4,KAT7,650.7847564,167.3598499,52.95294397,94.03778376,305.1404194,0
TRIM37-sg4,TRIM37,139.5886144,320.0390111,683.8120913,815.8648461,0,413.5387704
PRMT5-sg1,PRMT5,447.0608327,145.338817,179.7785135,0,122.6010614,88.18106133
KDM5C-sg7,KDM5C,728.1243941,1087.839024,4688.623632,990.0088901,0,253.9006421
MBD4-sg3,MBD4,75.45330509,105.7009578,1240.144873,308.2349579,0,98.82360321
NR0B2-sg8,NR0B2,620.6034344,1864.44745,202.0056751,0,0,770.824105
MBD4-sg11,MBD4,96.20296399,0,77.79506583,0,454.986161,0
CSNK2B-sg11,CSNK2B,0,0,0,0,0,0
HDGFRP3-sg10,HDGFRP3,171.6562691,0,64.0665248,159.3418003,0,1611.584914
PARP10-sg11,PARP10,620.6034344,212.8699845,1259.103334,99.26210508,0,0
PADI3-sg7,PADI3,369.7211949,61.65889205,1416.000946,122.771551,10.89787212,10.64254188
CHD9-sg6,CHD9,173.5426017,593.0998188,27.45708206,2717.517807,122.6010614,276.706089
CHD2-sg6,CHD2,0,120.3816464,332.0999449,0,0,0
PHF14-sg10,PHF14,550.8091272,0,84.98620637,0,0,0
SETD4-sg8,SETD4,98.08929662,471.2501035,82.37124618,122.771551,836.4116852,0
EYA2-sg10,EYA2,0,813.3101475,0,673.06673,1081.613808,107.945782
INO80-sg12,INO80,328.2218771,249.5717059,864.2443448,254.2503042,3789.73503,1581.177651
SETD1B-sg4,SETD1B,1060.118937,529.9728579,0,0,689.2904116,0
SMARCD1-sg3,SMARCD1,135.8159492,42.57399689,47.72302358,0,0,0
TCF20-sg7,TCF20,0,180.5724696,29.41830221,1108.42684,335.1095677,0
HDAC10-sg12,HDAC10,343.3125382,136.5304038,52.95294397,774.9409958,0,177.8824858
BRD9-sg9,BRD9,867.7130085,2930.265441,265.4184599,330.0029634,0,100.3439663
SUZ12-sg11,SUZ12,1088.413926,738.4386357,334.7149051,343.0637667,0,1111.385445
sgCTRL_18,CTRL,0,0,0,1748.406202,275.171271,0
SIRT3-sg12,SIRT3,720.5790636,13.21261973,0,0,0,0
REST-sg9,REST,182.9742648,239.2952239,1465.03145,87.94274222,0,0
UTY-sg8,UTY,222.58725,631.2696091,128.1330496,0,0,0
KAT6B-sg13,KAT6B,539.4911314,344.9961817,1082.593521,178.4976451,8.17340409,255.4210052
EHMT1-sg10,EHMT1,222.58725,770.7361506,100.6759675,348.288088,288.7936112,95.78287696
ZHX1-sg8,ZHX1,267.8592331,1.468068858,243.1912982,0,0,0
JARID2-sg10,JARID2,0,165.891781,81.71750613,0,0,0
ATAD2-sg2,ATAD2,271.6318983,314.1667357,9972.150708,107.0985871,419.5680766,0
sgCTRL_149,CTRL,639.4667606,35.2336526,166.0499725,599.0555113,0,381.6111447
PRMT5-sg12,PRMT5,0,0,0,0,0,0
AURKB-sg7,AURKB,326.3355445,1017.371719,0,96.64994442,0,203.7286589
ASH2L-sg8,ASH2L,962.0296399,66.06309863,0,0,0,0
KDM5D-sg5,KDM5D,154.6792754,46.97820347,12.42106093,144.5395565,3435.554186,0
KMT2D-sg9,KMT2D,514.9688072,190.8489516,245.1525184,0,0,904.6160602
SIRT1-sg5,SIRT1,122.6116208,0,0,0,193.4372301,0
FIZ1-sg2,FIZ1,0,63.12696091,0,139.3152352,0,3.040726253
sgCTRL_29,CTRL,454.6061632,177.6363319,264.1109798,268.1818278,0,13.68326814
EYA2-sg8,EYA2,47.15831568,2.936137717,39.22440294,52.2432132,0,404.4165916
UBR7-sg3,UBR7,439.5155022,0,41.18562309,0.87072022,0,0
TRIM24-sg5,TRIM24,443.2881674,0,160.8200521,40.92385034,201.6106342,0
MYC-sg12,MYC,0,129.1900595,0,0,0,0
L3MBTL3-sg5,L3MBTL3,756.4193835,751.6512555,48.37676363,206.3606921,558.5159462,174.8417595
SETD1A-sg12,SETD1A,0,92.48833808,32.68700245,310.8471185,0,185.4843014
HNRNPA0-sg13,HNRNPA0,286.7225593,24.95717059,34.6482226,2197.697835,1438.51912,196.1268433
PHF13-sg1,PHF13,524.4004704,0,0,1209.430386,0,0
CBX8-sg8,CBX8,490.4464831,507.951825,70.60392529,96.64994442,0,1860.924467
KDM1A-sg2,KDM1A,279.1772288,0,0,5.22432132,266.997867,0
SMN2-sg7,SMN2,1.886332627,0,213.772996,0,117.1521253,0
RUNX1-sg3,RUNX1,526.286803,99.82868237,103.9446678,3084.091019,11717.937,9.122178758
HDAC11-sg13,HDAC11,35.84031992,424.2719001,14376.39742,301.2691961,0,1.520363126
sgCTRL_98,CTRL,109.4072924,2274.038662,241.8838181,0,2.72446803,4.561089379
KDM4D-sg7,KDM4D,1212.911879,290.677634,3060.157169,196.7827697,0,0
BAZ1A-sg2,BAZ1A,247.1095742,0,464.1554348,0,0,0
ACTR5-sg5,ACTR5,0,0,0,0.87072022,0,0
IRF4-sg5,IRF4,177.315267,0,10.45984078,53.11393342,0,0
MUM1-sg7,MUM1,1203.480216,1956.935788,1817.397336,75.75265914,133.4989335,1261.901395
PRDM2-sg10,PRDM2,562.1271229,488.8669298,538.6818004,73.14049848,16.34680818,256.9413683
ATXN7L3-sg8,ATXN7L3,873.3720064,164.4237121,0,47.01889188,0,1576.616562
MTR-sg2,MTR,313.1312161,68.99923634,409.2412707,404.0141821,0,0
RNF168-sg5,RNF168,0,298.0179782,719.767794,0,294.2425473,0
RPS6KA3-sg6,RPS6KA3,173.5426017,540.2493399,0,0.87072022,7189.871131,0
CHD4-sg6,CHD4,156.5656081,0,130.0942698,0,291.5180792,0
JMJD8-sg7,JMJD8,677.1934132,725.226016,1519.945614,4157.68905,0,567.0954461
PYGO2-sg11,PYGO2,514.9688072,229.0187419,357.5958068,81.84770068,223.4063785,0
BRD3-sg6,BRD3,118.8389555,0,0,249.0259829,8116.190262,1968.870249
USP25-sg7,USP25,909.2123263,581.3552679,59.49034446,646.0744032,776.4733886,472.8329323
DOT1L-sg9,DOT1L,69.79430721,616.5889205,4495.116577,589.4775889,0,118.5883239
WDR82-sg7,WDR82,90.54396611,249.5717059,473.3077955,117.5472297,0,0
TRIM37-sg2,TRIM37,0,0,244.4987783,0,0,104.9050557
sgCTRL_65,CTRL,835.6453539,2059.700608,392.8977695,282.1133513,721.984028,0
PRKDC-sg11,PRKDC,28.29498941,58.72275433,62.10530466,1.74144044,0,1952.146254
YY1-sg8,YY1,1.886332627,196.721227,70.60392529,98.39138486,5.44893606,921.3400546
RNF8-sg2,RNF8,518.7414725,146.8068858,20.91968157,55.72609408,0,167.2399439
SMARCC2-sg2,SMARCC2,763.964714,312.6986668,236.6538977,55.72609408,0,1292.308657
SUV39H1-sg6,SUV39H1,296.1542225,797.1613901,575.2912431,60.07969518,204.3351023,211.3304746
PRKDC-sg7,PRKDC,748.874053,226.0826042,180.4322535,56.5968143,7522.256231,150.5159495
RING1-sg1,RING1,1158.208233,651.8225731,0,0,0,0
MYC-sg11,MYC,54.70364619,0,0,0,0,62.33488818
MUM1-sg9,MUM1,0,2202.103288,4799.1057,593.83119,1394.927631,259.9820946
USP27X-sg10,USP27X,324.4492119,99.82868237,374.5930481,284.7255119,0,395.2944128
PHF23-sg9,PHF23,0,0,111.7895484,0,0,110.9865082
SETD2-sg12,SETD2,226.3599153,108.6370955,758.3384569,0,0,0
HDAC2-sg6,HDAC2,1145.003905,572.5468548,411.8562309,1516.794623,1700.068051,0
HCFC1-sg13,HCFC1,0,0,0.653740049,0,0,0
RC3H1-sg9,RC3H1,39.61298517,60.19082319,0,0,0,0
SMARCB1-sg2,SMARCB1,2046.670901,347.9323194,2552.201151,80.97698046,0,1094.661451
KMT2B-sg3,KMT2B,1320.432839,1136.285296,4672.28013,279.5011906,373.2521201,433.303491
JMJD4-sg12,JMJD4,850.7360149,763.3958063,205.2743754,614.7284753,196.1616982,138.3530445
EPC1-sg10,EPC1,115.0662903,0,0,0,0,164.1992176
BRD3-sg8,BRD3,875.2583391,0,142.5153307,325.6493623,828.2382812,174.8417595
SETD7-sg1,SETD7,281.0635615,58.72275433,1006.105935,109.7107477,138.9478695,191.5657539
PAG1-sg5,PAG1,154.6792754,80.74378721,59.49034446,0,0,0
NOTCH3_2,NOTCH3,0,133.5942661,0.653740049,0,0,0
RBBP5-sg2,RBBP5,1.886332627,0,448.4656736,0,356.9053119,0
CSNK2B-sg7,CSNK2B,0,0,181.0859936,0,0,1.520363126
PADI6-sg3,PADI6,130.1569513,1001.222961,419.7011115,0,2972.394621,0
USP35-sg7,USP35,294.2678899,2597.01381,317.0639238,0,0,758.6612
GATAD2B-sg4,GATAD2B,399.902517,2005.38206,135.9779302,1034.415621,0,226.5341058
WT1_1,WT1,1256.29753,255.4439814,289.6068417,12.19008308,0,0
RBBP5-sg1,RBBP5,0,0,0,125.3837117,117.1521253,0
PPIB-sg5,PPIB,54.70364619,0,666.1611099,51.37249298,0,168.760307
BRD2-sg12,BRD2,245.2232415,779.5445638,73.21888549,133.2201937,0,235.6562846
PARP16-sg10,PARP16,1.886332627,38.16979032,860.9756446,642.5915223,1217.837209,842.281172
ALKBH3-sg2,ALKBH3,277.2908962,0,0,46.14817166,0,0
sgCTRL_147,CTRL,771.5100446,183.5086073,128.1330496,0,87.18297696,346.6427928
SMARCAL1-sg12,SMARCAL1,1288.365184,571.0787859,370.6706078,93.16706354,0,3425.378124
MBD2-sg7,MBD2,281.0635615,328.8474243,162.7812722,96.64994442,0,0
TAF12-sg3,TAF12,0,0,0,1365.289305,0,0
SIRT5-sg6,SIRT5,420.6521759,409.5912115,157.5513518,18.28512462,337.8340357,0
BRPF1-sg9,BRPF1,73.56697246,220.2103288,139.2466304,0,0,665.9190493
UBE2Q2-sg1,UBE2Q2,188.6332627,0,114.4045086,0,0,0
ELP4-sg7,ELP4,0,0,0,2628.704344,0,139.8734076
MUM1L1-sg9,MUM1L1,2314.530134,0,102.6371877,329.1322432,0,0
CBX7-sg10,CBX7,0,158.5514367,0,71.39905804,21.79574424,0
YEATS4-sg9,YEATS4,888.4626674,327.3793554,174.5485931,75.75265914,746.5042403,0
PARP11-sg8,PARP11,0,201.1254336,72.56514544,0,0,0
PRKAA1-sg5,PRKAA1,175.4289343,79.27571835,27.45708206,166.307562,0,0
ZMYND11-sg1,ZMYND11,33.95398729,226.0826042,135.3241901,0,0,0
INO80B-sg12,INO80B,0,76.33958063,46.41554348,0,0,171.8010333
CHD7_2,CHD7,66.02164195,0,65.3740049,0,0,1187.403602
sgCTRL_126,CTRL,126.384286,2566.184364,453.041854,234.2237392,0,887.8920658
TET2_2,TET2,514.9688072,0,32.0332624,0,0,0
TDRKH-sg3,TDRKH,0,375.8256277,0,80.10626024,435.9148848,15.20363126
PRDM6-sg11,PRDM6,75.45330509,270.1246699,177.1635533,253.379584,38.14255242,1.520363126
FLYWCH1-sg5,FLYWCH1,1807.106657,154.1472301,1231.646252,135.8323543,0,640.0728762
PRKAA2-sg7,PRKAA2,0,465.3778281,147.7452511,0,553.0670101,0
L3MBTL4-sg2,L3MBTL4,315.0175488,358.2088014,66.681485,0,275.171271,472.8329323
UBA1-sg7,UBA1,133.9296165,308.2944603,56.87538426,0,0,0
PHF3-sg9,PHF3,49.04464831,259.8481879,105.9058879,73.14049848,5470.731804,1.520363126
BRD3-sg7,BRD3,1086.527593,268.6566011,237.3076378,516.3370904,1081.613808,2674.318739
BPTF-sg11,BPTF,99.97562925,0,13.72854103,138.444515,5.44893606,13.68326814
KMT2E-sg12,KMT2E,392.3571865,101.2967512,154.2826516,0.87072022,514.9244577,489.5569267
UBE2C-sg1,UBE2C,62.2489767,292.1457028,0,114.935069,0,0
PHF5A-sg9,PHF5A,0,0,18.30472137,0,0,0
HIRA-sg10,HIRA,15.09066102,0,37.26318279,0,0,0
CHD9-sg1,CHD9,0,32.29751488,0,0,0,135.3123182
PRMT2-sg8,PRMT2,82.9986356,1.468068858,0,0,0,0
EYA2-sg6,EYA2,284.8362267,544.6535464,122.2493892,173.2733238,0,179.4028489
TADA2B-sg1,TADA2B,0,0,28.11082211,0,0,74.49779319
SIN3A-sg8,SIN3A,0,321.50708,1685.341846,850.6936549,0,91.22178758
OGT-sg6,OGT,0,0,0,107.9693073,0,0
SLK-sg13,SLK,41.4993178,406.6550738,3279.160086,102.744986,0,2846.119772
GLYR1-sg3,GLYR1,265.9729004,283.3372897,198.0832349,0,0,124.6697764
EED-sg2,EED,128.2706187,295.0818405,205.2743754,0,0,340.5613403
SIRT5-sg1,SIRT5,0,0,0,0,0,69.93670381
CREBBP-sg12,CREBBP,0,258.3801191,132.70923,0,0,860.5255295
PHF14-sg7,PHF14,62.2489767,108.6370955,0,0,0,366.4075134
USF2-sg13,USF2,482.9011526,49.91434118,1011.335856,109.7107477,0,942.6251383
sgCTRL_11,CTRL,0,226.0826042,158.8588319,66.17473672,0,0
MTR-sg12,MTR,1805.220324,92.48833808,870.1280052,0,0,0
TET2-sg11,TET2,405.5615149,744.3109112,136.6316702,1955.637614,0,1330.317736
TP53_3,TP53,139.5886144,49.91434118,0,0,0,0
COMMD3-BMI1-sg2,COMMD3,960.1433073,344.9961817,79.10254593,77.49409958,280.6202071,0
YY1-sg4,YY1,0,17.6168263,34.6482226,0,0,0
TAF9B-sg6,TAF9B,826.2136907,485.9307921,224.2328368,0,2.72446803,273.6653627
CSNK2A1-sg8,CSNK2A1,316.9038814,2767.309798,20.91968157,0,318.7627595,1832.037567
SSRP1-sg1,SSRP1,0,253.9759125,0,85.33058156,0,0
JARID2-sg11,JARID2,252.7685721,358.2088014,189.5846142,148.8931576,0,1418.498797
TRIM28-sg2,TRIM28,111.293625,39.63785918,0,127.9958723,220.6819104,0
RNF20-sg7,RNF20,26.40865678,0,37.26318279,246.4138223,0,1.520363126
KDM6B-sg13,KDM6B,911.098659,44.04206575,103.2909277,0,0,193.086117
PHF3-sg3,PHF3,382.9255233,98.36061351,0.653740049,2020.07091,0,0
CSNK2A1-sg6,CSNK2A1,450.8334979,0,0,0,256.0999948,475.8736585
PRKCB-sg6,PRKCB,188.6332627,268.6566011,287.6456216,1.74144044,275.171271,0
UBR5-sg1,UBR5,454.6061632,268.6566011,0,351.7709689,0,751.0593844
UBE2E3-sg10,UBE2E3,373.4938602,82.21185607,0,18.28512462,0,0
PARG-sg11,PARG,0,14.68068858,10.45984078,0,0,0
CHD3-sg7,CHD3,330.1082098,44.04206575,62.75904471,92.29634332,24.52021227,0
WDR77-sg2,WDR77,0,143.8707481,0,0.87072022,0,202.2082958
ATR-sg3,ATR,1139.344907,189.3808827,585.0973439,1781.49357,784.6467927,76.01815632
RAD51_2,RAD51,0,0,50.99172382,0,0,0
TAF12-sg13,TAF12,1852.37864,529.9728579,242.5375582,0.87072022,0,0
UBR2-sg12,UBR2,820.5546929,883.7774527,232.0777174,107.0985871,4130.293534,392.2536866
PBRM1-sg8,PBRM1,139.5886144,113.0413021,61.45156461,0,0,80.5792457
MAP3K12-sg4,MAP3K12,258.4275699,79.27571835,144.4765508,639.9793617,1964.34145,323.8373459
HDGFL1-sg10,HDGFL1,333.880875,142.4026793,661.5849296,0,0,0
RC3H1-sg2,RC3H1,505.5371441,306.8263914,52.29920392,100.1328253,0,0
ACTR5-sg1,ACTR5,3231.287791,707.6091897,18.95846142,863.7544582,0,1965.829522
AEBP2-sg2,AEBP2,643.2394259,281.8692208,175.2023331,23.50944594,0,1004.960027
BRWD3-sg6,BRWD3,301.8132204,3714.214212,642.6264682,1218.137588,0,1941.503712
PHF12-sg6,PHF12,341.4262055,114.509371,141.2078506,0,558.5159462,0
SETDB1-sg6,SETDB1,514.9688072,145.338817,15.03602113,85.33058156,3691.654181,0
PARP10-sg9,PARP10,424.4248411,0,0,296.0448748,2.72446803,148.9955864
ING5-sg3,ING5,1390.227146,259.8481879,39.87814299,0,452.261693,0
ORC1-sg10,ORC1,47.15831568,268.6566011,86.94742652,235.0944594,0,367.9278766
EP400-sg8,EP400,1092.186591,1522.387406,187.6233941,140.1859554,4231.098851,442.4256698
CHD3-sg5,CHD3,109.4072924,45.51013461,45.76180343,0,0,0
KCNH2-sg3,KCNH2,560.2407903,117.4455087,111.1358083,0,2.72446803,443.9460329
FAM175A-sg11,FAM175A,9.431663136,73.40344292,13.07480098,124.5129915,0,0
sgCTRL_114,CTRL,452.7198305,2266.698317,139.9003705,168.0490025,0,183.9639383
PCNA-sg3,PCNA,454.6061632,647.4183665,0,33.08736836,0,0
MDC1-sg12,MDC1,213.1555869,1177.391224,254.9586191,0,0,0
TRIM28-sg13,TRIM28,0,566.6745793,145.7840309,0,0,0
ASXL1-sg11,ASXL1,143.3612797,1.468068858,80.41002603,121.9008308,0,638.5525131
CHD9-sg10,CHD9,213.1555869,211.4019156,0.653740049,0,0,678.0819543
APBB1-sg3,APBB1,1024.278617,118.9135775,247.1137385,82.7184209,0,620.3081555
CBX8-sg1,CBX8,969.5749704,515.2921693,490.9587768,679.1617716,0,7218.684124
USP34-sg13,USP34,0,413.9954181,25.49586191,433.6186696,0,0
CBX5-sg8,CBX5,0,30.82944603,0,0,0,0
MTR-sg5,MTR,39.61298517,0,185.0084339,0,0,226.5341058
ATR-sg2,ATR,103.7482945,456.5694149,67.33522505,187.2048473,0,0
MTA2-sg2,MTA2,0,673.843606,137.2854103,462.3524368,0,0
HIRA-sg2,HIRA,81.11230297,86.61606264,247.7674786,88.81346244,375.9765882,0
KDM6A-sg6,KDM6A,324.4492119,3304.623,90.86986681,2232.526644,0,1125.068713
TET3-sg5,TET3,66.02164195,85.14799378,86.29368647,29.60448748,0,272.1449996
CDK9-sg4,CDK9,586.6494471,108.6370955,0,87.94274222,0,0
UBE2C-sg7,UBE2C,524.4004704,95.42447579,0,6.96576176,0,252.380279
PARG-sg23,PARG,303.699553,365.5491457,0,68.78689738,0,0
YEATS4-sg7,YEATS4,54.70364619,64.59502977,32.68700245,659.1352065,0,0
INO80B-sg10,INO80B,813.0093624,475.6543101,192.1995744,0,0,0
HDAC4-sg8,HDAC4,1.886332627,1055.541509,21.57342162,120.1593904,0,1351.602819
PSD3-sg5,PSD3,1003.528958,3103.497567,39.22440294,103.6157062,3242.116956,101.8643295
SETD2-sg6,SETD2,198.0649259,283.3372897,96.75352725,512.8542096,0,3154.753487
HOXC10-sg2,HOXC10,756.4193835,347.9323194,280.454481,140.1859554,0,3484.672286
PHF21B-sg8,PHF21B,139.5886144,205.5296402,0,0,313.3138235,199.1675695
KAT6A-sg7,KAT6A,1.886332627,174.7001941,444.5432333,0,0,2148.273097
DIDO1-sg8,DIDO1,743.2150551,700.2688454,254.9586191,1616.927449,226.1308465,1.520363126
MEAF6-sg13,MEAF6,362.1758644,0,0,0.87072022,648.4233912,10.64254188
SCMH1-sg13,SCMH1,1807.106657,964.5212399,133.36297,467.5767581,1348.611675,658.3172337
USP12-sg11,USP12,171.6562691,0,610.5932058,0,0,0
BRPF3-sg13,BRPF3,377.2665255,1943.723168,84.33246632,1253.837117,27.2446803,4.561089379
APOBEC4-sg12,APOBEC4,0,0,0,0,0,117.0679607
APC-sg11,APC,145.2476123,5349.64292,100.6759675,0,0,0
DAB2_1,DAB2,350.8578687,115.9774398,0,0,0,0
SMARCA1-sg6,SMARCA1,45.27198305,48.44627233,50.99172382,659.1352065,0,635.5117868
ARID1B-sg5,ARID1B,0,0,25.49586191,282.1133513,3558.155247,270.6246365
PRMT3-sg10,PRMT3,533.8321335,208.4657779,230.1164973,228.9994179,4552.586078,2403.694103
BAZ2A-sg10,BAZ2A,877.1446717,670.9074683,171.9336329,286.4669524,484.9553094,156.597402
WDR61-sg2,WDR61,30.18132204,202.5935025,0.653740049,0,0,0
SETDB1-sg10,SETDB1,750.7603857,271.5927388,234.6926776,0,0,0
sgCTRL_264,CTRL,305.5858856,321.50708,143.8228108,175.0147642,0,1170.679607
CHAF1A-sg9,CHAF1A,0,208.4657779,178.4710334,0,0,203.7286589
FTSJ3-sg1,FTSJ3,0,196.721227,0,225.516537,0,243.2581002
sgCTRL_270,CTRL,69.79430721,786.8849081,324.2550643,10638.45965,0,8460.820798
KMT2B-sg2,KMT2B,39.61298517,766.3319441,128.1330496,53.98465364,1397.652099,0
RAG1-sg5,RAG1,241.4505763,151.2110924,77.14132578,6.96576176,0,139.8734076
UBR4-sg1,UBR4,60.36264407,251.0397748,111.7895484,222.9043763,1397.652099,148.9955864
USP7-sg10,USP7,413.1068454,0,111.1358083,0,0,0
SUV39H1_3,SUV39H1,192.405928,63.12696091,0,252.5088638,0,5479.388707
PHF6-sg7,PHF6,539.4911314,2649.864289,30.07204225,0,7296.125385,0
MSH2_1,MSH2,0,95.42447579,0,1685.714346,0,0
BRPF3-sg11,BRPF3,0,0,157.5513518,0,0,405.9369547
MEN1-sg4,MEN1,2899.293248,184.9766762,471.3465753,185.4634069,0,0
PSIP1-sg9,PSIP1,3.772665255,0,0,41.79457056,261.5489309,521.4845523
RUVBL2-sg8,RUVBL2,1.886332627,0,75.83384569,0,0,0
CBX5-sg7,CBX5,16.97699365,127.7219907,156.2438717,0,0,3.040726253
TRIM5-sg11,TRIM5,179.2015996,2.936137717,28.76456216,87.072022,0,0
PCNA-sg2,PCNA,60.36264407,0,0,0,0,0
sgCTRL_174,CTRL,679.0797458,364.0810769,1397.696225,66.17473672,141.6723376,0
UCHL5-sg7,UCHL5,596.0811102,92.48833808,688.3882716,0,0,416.5794966
SUV39H2_3,SUV39H2,0,0,88.25490662,0,0,0
NCOR1-sg10,NCOR1,360.2895318,186.444745,2393.342319,0,359.62978,263.0228209
PAXIP1-sg2,PAXIP1,92.43029874,421.3357623,5.229920392,0,0,191.5657539
CHD7-sg11,CHD7,0,293.6137717,0,0,0,0
FKBP5-sg3,FKBP5,49.04464831,107.1690267,48.37676363,0,0,0
ZBTB9-sg7,ZBTB9,54.70364619,51.38241004,319.678884,539.8465364,0,0
L3MBTL1-sg10,L3MBTL1,328.2218771,0,0,0,2.72446803,0
PRMT5-sg7,PRMT5,54.70364619,48.44627233,83.67872627,0,0,0
TAF9-sg13,TAF9,0,0,1.307480098,0,0,422.6609491
UBE2B-sg10,UBE2B,113.1799576,343.5281129,0,0,0,0
