GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
C7orf72,-0.843007,0.5838372,-0.2939543,1.488412,-1.4316332,0.2811473,-0.2375166,
C7orf73,,-0.0156423,0.0041059,0.7079413,1.970744,0.5798084,,
C7orf76,,,,1.2231511,0.4954209,,0.6815391,
C8A,-0.3125782,0.013682,0.3499807,-0.2401555,-0.7152388,-0.2526121,1.2634386,-0.7116168
C8B,0.3146942,1.3293489,1.1954769,-0.8724891,0.6902759,0.2269473,0.1936704,-0.9113684
C8G,0.5301065,-0.5060074,-0.5583327,0.3489637,0.0976044,-1.0037211,3.8358888,0.0888233
C8orf22,-0.6470892,0.393061,-0.325806,1.1291216,1.0704929,-1.4876737,,
C8orf31,-0.3180033,-0.6317931,0.1712677,-0.0872646,0.2649748,-0.0062925,-1.1241749,
C8orf33,-0.5975184,0.1825605,-0.7562894,-0.5384178,-1.2367288,1.5647718,0.6933221,0.9023839
C8orf34,1.8290674,0.3876499,1.0075774,0.2707326,0.3293498,-1.8827356,0.8880726,0.1999623
C8orf37,1.026022,0.5147599,0.3227574,-0.5508096,0.6207186,-0.9376904,-0.0231001,-2.5881455
C8orf4,-1.0939833,-1.2434112,0.9703278,-0.5015708,0.4835211,0.6437396,,
C8orf44,0.8427548,-0.9919358,-0.3586874,-0.3329993,0.1375358,-0.3820545,,-2.0702115
C8orf44-SGK3,,,,0.0581903,-0.9830985,,,0.3455135
C8orf46,0.3531376,-0.237183,-0.5109943,0.908125,0.1606062,-0.1861821,,-0.1297185
C8orf47,1.2980878,2.001504,1.114828,-0.9586837,-0.0073692,0.5375362,-0.2213632,
C8orf48,-0.1402807,0.0369676,-0.2582672,2.848894,-1.7816838,0.3069084,0.0946691,-1.1191573
C8orf58,0.5108035,0.8244646,0.6166547,-0.8096743,0.3159636,1.3486792,-0.2153248,-0.4515503
C8orf59,1.1652373,-3.7623744,-5.2986113,1.2403138,-0.232779,,,-1.2510698
C8orf74,1.3358031,-1.522051,-0.8075481,-0.161312,0.8741418,-1.9664968,0.7827544,0.7438388
C8orf76,-0.6769227,-0.5643658,-0.5533998,-0.4063894,0.2081869,0.3452293,0.4662931,-1.9621173
C8orf82,0.3432896,0.8776588,0.0611525,1.4818198,0.4277249,1.2665996,-0.3024615,0.8881692
C8orf86,-0.4045358,0.3912782,1.3142537,-0.2631407,0.1339202,1.5753322,-0.1324293,-0.1845624
C8orf87,-0.842297,-0.8011315,0.5646063,0.966296,-0.6966551,-0.3332892,-2.0635023,0.0432219999999999
C8orf88,-0.9491673,1.4759335,4.1552653,,,,,0.5899772
C9,-0.4759555,0.3403461,0.0281723,0.2694149,0.3748268,0.7335915,1.0909995,-0.0663146
C9orf106,,,,1.4961885,0.4082176,,,
C9orf114,-2.511546,-1.7853806,-2.2262182,0.0409371,0.7256417,,0.19003,
C9orf116,1.2462762,0.5589264,-0.1690553,0.2800194,0.5903494,2.0303151,-1.0381349,0.5123222
C9orf117,1.5571335,-0.0662194,-1.4073254,-1.3374782,-0.534541,-0.0795156,0.2153212,
C9orf129,0.5986158,0.4641039,-0.3737826,1.128027,0.3418967,0.6257754,,0.5822709
C9orf131,0.3906214,0.2275535,-0.1008616,0.2334922,0.562102,-0.1199971,-0.2311236,-0.1589161
C9orf135,1.8222468,-0.7716288,0.2847773,0.8986469,0.2278597,-0.8060639,-1.9790483,0.6348654
C9orf139,0.221705,-1.0599167,-0.6146829,-0.7079724,0.4413258,-0.3820545,-0.1276753,-1.4358141
C9orf142,0.0430785,-0.7225497,-0.5116785,-1.0934851,0.5903494,-1.1388289,-0.5168034,
C9orf152,0.3049979,-0.4243982,0.652321,-0.4080844,1.1369895,0.5103697,0.9562471,1.2888794
C9orf153,-0.1108028,1.3593015,0.775197,0.3238094,-0.1987995,-1.8003427,,1.1256724
C9orf156,0.7179768,0.7731519,1.0969708,0.7114227,1.0976768,-0.9244482,1.1185797,
C9orf16,0.4220093,-0.8815713,-0.0677608,-0.9284415,0.7790988,1.2113625,,-0.5748045
C9orf163,0.3409613,0.6219951,-0.026332,1.0705689,0.7269525,0.2895562,0.888935,-1.0055371
C9orf169,,,,-1.3916672,-0.6732066,,0.0414181,
C9orf170,1.0865308,-0.9540718,2.110799,-0.9767678,-0.2641925,-0.312437,0.4473296,0.0523447
C9orf171,-0.3811498,-0.1736556,-0.5510191,-1.3337811,-0.1370436,0.6074833,1.7938888,
C9orf172,-0.9687358,0.6844271,0.478,-1.0988618,-0.1407467,,-1.2128606,
C9orf173,-0.8487404,0.7175939,-0.1563625,1.1045046,-0.1637958,,1.7421978,
C9orf24,0.9145461,0.281494,-0.8186013,0.7673542,-1.476023,0.589249,-0.8178364,0.762894
C9orf3,-0.0169648,0.409972,0.7647486,-0.5238689,-0.2429728,0.4073362,0.5446772,-0.1311428
C9orf37,0.0383211,-0.3599903,1.6571622,0.0766872,-0.7145439,0.3543177,-0.4899831,
C9orf40,0.60888,1.0675989,0.0515802,1.3726894,0.1950474,0.099671,-1.6479517,-0.1066961
C9orf41,-1.8971057,0.5903587,-0.4541449,-1.1663723,-1.0864687,-0.312437,-0.6507339,
C9orf43,-1.1846926,-0.3090883,1.9807334,0.1435052,-1.0214663,1.2778839,0.837256,-0.5618667
C9orf47,0.1532234,0.3106062,0.0453146,0.0471786,-0.9608454,0.5103697,0.9112665,-0.9287902
C9orf50,-0.4581293,-0.6210726,-0.7733752,1.9390314,0.6766869,0.5561431,-0.2892692,0.2791298
C9orf57,-0.9382053,-0.7430538,0.9372989,-0.7720752,1.1330088,-0.1479282,,-0.8763601
C9orf62,-0.1879175,0.3031099,-0.0992594,1.1490481,-0.8286714,0.6801887,-0.3883539,1.156593
C9orf64,0.1359446,0.6625405,0.7928984,-1.0785663,0.862139,1.0989743,-1.8083691,0.1166443
C9orf66,-0.6325346,0.417325,-0.2949944,0.3285931,-0.0788747,1.2023488,0.1809626,0.4393289
C9orf69,0.2209519,0.327342,1.4343897,-0.9872648,0.2245764,0.5561431,,
C9orf72,1.0010996,0.354071,-0.3090508,0.4350671,0.462756,-3.3291734,,-0.8422119
C9orf78,-0.2832752,-0.5839532,-2.360018,-0.6925189,-1.181415,-0.4677121,-0.41539,-0.8040421
C9orf84,0.1802788,0.32266,-0.8093073,-0.5623054,-0.7096355,0.1260358,0.9197811,0.7712228
C9orf85,-0.8965168,-0.0073614,1.4825659,0.3230652,0.1133364,,,-0.2708717
C9orf89,-0.3053355,0.3785873,-0.267892,-0.6015912,0.8881737,-0.4114412,-0.394614,
C9orf9,0.2403849,0.9225924,1.2738243,0.8542606,1.5455959,-0.2930095,1.4132394,
C9orf91,-0.2064604,0.714462,-0.2696839,-0.5796375,1.4597246,-0.1479282,0.4872292,
C9orf92,2.0002105,0.1412669,0.540889,1.8483907,1.9763376,-0.6234765,,0.183719
C9orf96,-1.1079163,0.5527336,0.4455698,-0.9407013,-0.1975643,1.0274618,-1.1803597,
CA1,0.1466725,0.8984994,1.0145446,-2.3562957,1.0598405,-1.8457229,,-0.6639907
CA10,0.8743521,1.2204206,0.2754046,-0.9006107,-0.6575375,-1.0544584,0.1170981,-2.1441051
CA11,0.1774387,-0.4353264,-0.4441887,-0.2056792,0.7269525,0.4164771,-0.5741527,0.0497098
CA12,-0.7071155,-0.634564,-0.0999075,0.2200671,-0.4392648,-0.9931297,0.9849903,-1.1066701
CA13,-0.2824946,1.2988625,0.6556541,1.0909451,0.584094,0.5798084,-0.9408264,-1.0778664
CA14,-0.7045812,-0.2620516,-0.3056497,0.3723412,0.4285767,-0.2631122,-0.4313307,-0.5320849
CA2,0.4371248,-0.1838587,0.6901123,-0.1964847,-0.4460786,-0.4003355,0.1058912,-0.3547353
CA3,0.9448641,0.2486471,0.5707118,-0.4292928,0.2780848,0.5716813,-0.3267865,-1.5665195
CA4,0.6171997,0.5135448,0.7721256,0.6891591,-0.1999765,0.8512232,-0.0484524,0.389764
CA5A,-0.2812329,-0.3130109,-0.9084878,0.4710484,1.0569535,0.8606814,,0.8593159
CA5B,1.8496951,1.0617385,1.1944072,0.2510569,0.8320711,0.3452293,-1.3725025,0.3210544
CA6,0.1108174,0.3516203,0.6685327,-0.1073891,-0.3347089,0.5989034,0.0224818,-1.151503
CA7,-0.586311,0.1131574,-0.0237774,0.540365,-0.1332164,0.5989034,-0.6446907,-0.5075206
CA8,-0.0768638,-0.3987441,-1.3021454,-1.6709159,-0.2262088,-0.5538583,0.4432898,-0.7947326
CA9,0.9632759,-0.7810103,-0.2819381,-1.286279,0.219309,0.6628724,-1.5569552,-0.7153186
CAAP1,0.2059855,0.6364692,-0.2198537,-1.0793787,-1.0622526,1.7481547,0.1292236,0.5784869
CAB39,0.0445071,-2.222746,-2.0814707,-0.0351538,-0.403636,-0.9810163,0.3351134,-1.4417063
CAB39L,-0.1459835,-0.5978232,-1.4292411,1.5122007,1.0783211,-0.6110526,,-0.20817
CABIN1,-0.4369507,-1.3034339,-0.9949657,-0.3333952,0.07665,2.1398069,-1.744425,-4.9659694
CABLES1,-0.2642727,-0.2248631,1.1410185,-1.0421895,-0.4757881,-0.477834,-1.0624217,-0.8920598
CABLES2,-0.6440657,0.1526316,-1.3440718,-0.3679482,-0.7952829,0.36323,-0.6114599,1.5219854
CABP1,-0.1976176,0.2939128,-0.4718947,-0.4088195,0.2900693,0.0703191,0.7305483,0.9074159
CABP2,0.3069741,0.1543075,-0.5545654,-1.6795236,-2.2113267,-0.532446,1.2142984,-2.7570718
CABP4,0.0529024,1.9283153,0.3096308,-0.4088195,1.2594682,1.3241063,-0.2865816,0.6073191
CABP5,0.5108035,0.2803921,0.9862004,0.5148851,-0.042185,-0.7811628,2.3278961,-0.011788
CABP7,0.042215,-1.0531639,0.3784736,-2.0799884,-0.1921421,1.3241063,-2.443701,-0.9725959
CABS1,-0.5257217,1.4932645,1.0190609,-0.2991859,0.5106559,-3.1560036,,0.4843225
CABYR,1.6364821,1.3074679,1.9041626,0.141279,1.1550731,-0.3918009,0.4591143,0.3234565
CACFD1,0.0338103,0.4464233,0.3538892,0.67004,0.4591713,-1.28176,1.8841363,-0.7553044
CACHD1,0.2453321,-0.2979924,0.4057961,0.2883036,0.803394,-0.7587533,-4.0840053,0.402661
CACNA1A,0.9276386,0.1998729,0.3285245,-0.4299966,-0.1414949,-1.6883706,-0.41147,0.3734341
CACNA1B,0.9482162,1.0052357,0.6199947,-0.0129371,-0.341573,-0.2050172,-0.6538784,1.7214093
CACNA1C,1.0068459,-0.6813413,-0.7636961,-0.3679482,0.3183865,-4.7676217,0.3678554,-0.0798228
CACNA1D,0.6171997,0.2186574,0.8308729,-0.8070201,-0.3339632,-0.2243016,0.1099391,-0.104426
CACNA1E,0.1038019,1.6612992,0.2887301,1.3530824,-0.5290917,1.0039161,0.8620042,1.07728
CACNA1F,0.8816086,-0.1392943,-0.4760898,0.4360026,0.0307267,-1.6554906,-0.6953182,0.7360107
CACNA1G,-0.9065699,-0.1280861,-0.1512238,0.6646379,-0.8786251,1.1205516,-0.5541465,1.0407484
CACNA1H,-0.0818561,0.6999898,-0.6435217,-0.3844773,-0.6878532,1.8176124,-0.314983,0.5295676
CACNA1I,-0.4870187,-0.0963751,0.6579794,-0.1708303,0.2453598,0.589249,-0.1765099,0.3768145
CACNA1S,-0.0992081,0.2011159,0.6176491,-0.2743249,0.3183865,-0.7050437,3.2053061,-0.5445347
CACNA2D1,-0.5594369,-0.069039,1.3514706,1.2270141,1.3360402,2.4475574,0.5658141,0.0316539
CACNA2D2,-0.8061923,0.8100773,-1.0711937,0.4328173,-1.233114,0.589249,0.0321173,1.0244211
CACNA2D3,-0.2256747,1.5248637,-0.3415206,-1.2722795,0.7157391,0.3452293,0.1708526,-2.1839951
CACNA2D4,0.3978071,0.072267,-0.5767974,-0.3967183,1.0924649,-0.3722018,0.0362787,-0.2965587
CACNB1,-0.0639684,-0.5139072,0.3974031,-0.7056699,-0.02426,-0.2341934,1.4640884,0.4595585
CACNB2,-0.8286121,1.7475141,1.8631944,0.2211835,0.444484,-0.4866895,-0.7056618,-0.0060398
CACNB3,-0.7550882,1.3307617,0.6579794,1.1620678,1.1799649,-0.7704781,0.7234485,2.0621521
CACNB4,0.0568104,-0.9110733,-0.2901287,-0.9377289,-0.256329,0.891107,-0.3406183,-0.2875379
CACNG1,1.0905852,-0.0789305,0.1321998,0.434286,0.5375467,0.3812544,0.3372414,0.2021693
CACNG2,-0.1860105,-1.2653644,-0.3697404,1.7557898,1.0139598,-0.312437,0.0108921,-1.7057946
CACNG3,1.3408581,1.3616246,1.105579,0.5253106,-0.4746325,2.096,0.0157489,-1.0312943
CACNG4,-0.0425,0.3125078,1.3846698,0.686481,0.5323137,1.9783257,2.7740554,0.3546325
CACNG5,0.0909343,0.3763001,-0.0420796,0.9377931,0.1245789,0.3069084,-1.3065384,0.6000213
CACNG6,-1.0044173,-0.7325442,-0.3001391,-0.2910801,-1.0674994,-0.7929842,-1.401228,0.5873073
CACNG7,0.3557232,0.1989949,0.7836808,-1.1263891,0.2575519,0.8809986,-1.2669429,-0.0986802
CACNG8,-0.2283971,-0.2264723,0.4047009,-0.4798554,-0.2599077,,,1.1736272
CACTIN,-0.7691357,-0.1780749,-1.0520297,-0.7701841,0.4512449,-0.1577622,-0.8067905,0.2371065
CACUL1,-0.654771,0.682268,-0.4212746,-0.5369398,0.4153622,1.2236238,-0.2329827,0.048275
CACYBP,-0.5806948,-1.2042829,-1.0314294,1.3162995,-0.4574673,-0.2432268,,-1.9821585
CAD,0.3519768,-1.2991947,-0.967204,-3.507555,-5.8228592,0.891107,1.1658878,-2.1941204
CADM1,0.319582,0.6688634,0.2761491,-0.4122321,0.4585918,0.9296375,-0.7822588,-0.1834294
CADM2,-1.2693474,1.5449587,1.4374634,-0.6235505,-0.6745065,0.0231751,0.4892846,-0.8783889
CADM3,1.4965528,0.2921328,0.2710245,0.541018,1.0200923,0.2179551,-1.6784826,-0.0351034
CADM4,-1.0698669,-0.0221982,-1.1980177,-0.7251076,0.058621,-0.312437,-1.5306777,-0.7004747
CADPS,0.0579257,0.7274082,0.0630755,-0.0232111,-0.0613864,0.0231751,1.4373745,-0.7541771
CADPS2,0.5031669,-0.0889693,1.1883483,0.108254,-0.8187225,-2.2116777,0.1741577,-0.2456737
CAGE1,-1.4792767,-0.1270988,2.3543351,-2.1670701,-0.4812751,-0.0330265,-0.189483,0.5221531
CALB1,0.086702,2.3839824,-0.1494507,-0.0322709,-0.1474986,-0.5996593,-0.6340419,-2.0385401
CALB2,1.0845686,-0.0883005,0.132695,-0.9164498,-1.3751167,-0.2432268,-0.5465405,-1.2407343
CALCA,0.2735701,1.0494535,2.1573235,0.67004,0.2839332,-0.0994507,,-0.1444598
CALCB,1.7298646,0.3983986,1.3810064,-3.1404611,-2.3370251,0.3543177,,0.1718406
CALCOCO1,-0.0236026,1.3548415,0.0376539,-0.4752945,0.1206363,1.0376974,0.2374495,0.2324227
CALCOCO2,-0.4663265,-1.1248131,0.372175,-0.4708594,0.7940105,-1.3995929,1.6455778,-0.7396116
CALCR,-1.0082076,0.2878209,-1.394018,-0.13623,-0.2628411,0.9487394,0.2570921,-0.2061452
CALCRL,-0.8579268,0.0092073,0.6876683,-1.2911089,-0.4714957,-0.1199971,0.0528788,-0.5768391
CALD1,1.4965528,1.1307459,1.4964289,1.438186,2.024065,-0.6627828,0.893744,0.3768145
CALHM1,-1.1378999,1.6012529,0.0720701,-0.2588187,-0.4029523,-1.28176,0.543866,-0.5768391
CALHM2,-0.0403823,0.4918404,-0.6444105,0.2720669,1.4780406,0.0606983,0.5846332,-0.1605447
CALHM3,-0.5940509,0.4042982,0.3521181,-0.920416,-0.5117173,2.1765021,0.5936737,1.3861834
CALM1,-0.309599,-0.233274,0.4718535,1.3726894,-0.5557575,0.2895562,,0.2267799
CALM2,-0.9463138,0.1293229,-2.3950425,0.3144788,-0.6416319,,,1.2999609
CALM3,-0.1575289,-0.6306726,-0.8604292,0.4089167,-0.1731442,0.2179551,,0.7051617
CALML3,-0.0929146,-0.2660374,-0.5348832,-0.6120562,0.6435846,-1.309137,0.4999118,-0.5402054
CALML4,0.1281643,0.0572159,0.2425383,0.0588681,-0.8024939,-0.1479282,-0.4845735,0.1961766
CALML5,-0.3067196,-0.2341253,-0.2665625,0.3206485,1.3318031,-0.7704781,-0.3417842,-0.2234087
CALML6,-1.4243788,-0.4568332,-0.7488578,-1.0941372,-2.55805,-0.2341934,0.882584,0.3988091
CALN1,1.0488697,0.5108172,0.0664153,0.6839268,-0.7067837,0.9382364,0.4442644,-0.8994798
CALR,0.7912818,0.0108774,0.6386073,-2.4335029,0.4139553,2.8096962,0.4674175,-0.5905226
CALR3,-0.9200064,1.3269825,-0.249746,0.4710484,-0.0135382,-1.309137,-0.2946963,0.1704007
CALU,0.908804,1.6327099,2.1503264,0.6337863,0.0820184,-1.4403318,1.0217462,0.1638733
CALY,0.3275095,1.0667183,-0.7715537,1.6533982,1.1631675,0.3894308,1.6288676,0.7721937
CAMK1,-0.7945319,-0.2839693,-0.7226546,0.6513416,-0.9292694,-0.1093076,0.374049,-0.9036802
CAMK1D,-0.4108266,2.3513483,-0.5078792,0.1273806,0.8546668,-0.2341934,0.0456771,0.3353941
CAMK1G,-0.3998317,0.1367496,-0.286748,-0.1923623,-0.4894312,-0.8516229,1.4831751,-0.9074987
CAMK2A,-0.8748638,0.4927771,0.2273358,-0.271818,0.3333923,-0.3626943,-0.0979115,1.0481242
CAMK2B,0.5354774,0.1594613,-0.6853758,1.9221733,0.0781545,-1.0152515,0.2192221,0.1463584
CAMK2D,1.24921,0.8523546,1.9439525,0.243044,0.9089885,-0.8633682,1.4112381,-0.3979983
CAMK2G,0.1028916,0.4728214,0.6149147,0.6904135,0.0731993,0.1717862,0.7555401,0.3042064
CAMK2N1,0.562093,0.5935637,-0.1637831,-0.1355164,0.1918561,1.5857866,0.4237306,-0.0798228
CAMK2N2,0.1150885,1.4189436,0.669132,0.9489884,0.7541271,0.4665231,-3.5428892,0.1354691
CAMK4,0.5219818,0.4743053,-0.7449906,-0.9907539,1.1397919,-2.312251,0.8685529,-1.0046073
CAMKK1,-0.4025971,2.0213807,1.4719962,-0.3613264,-0.079426,1.0039161,-1.1759167,0.0739949
CAMKK2,-0.4870187,-0.1441313,-0.4086826,-1.2701656,0.3463011,0.6437396,-0.6373106,-0.2621116
CAMKMT,0.9311756,-0.6306726,0.5087651,0.2452355,-0.2073685,-0.6962113,0.3892129,0.3826009
CAMKV,-0.0630791,-0.2314722,0.0078445,0.3828005,-0.4786753,-0.3626943,0.0152503,0.235725
CAMLG,-0.1860105,-0.6374097,1.0905088,1.3742334,-0.4969481,-0.5653748,-2.084315,1.3581613
CAMP,-0.10433,0.7731519,1.3001511,-0.385505,0.0565853,0.457463,-3.3485612,0.8517916
CAMSAP1,1.80786,1.2879399,-0.6629303,-0.1010035,-0.1780818,-1.8827356,0.2795029,0.6988222
CAMSAP2,0.5306478,2.9794713,0.2237167,0.1750999,-0.5913832,-1.8457229,0.7085227,-1.6076152
CAMSAP3,-0.6912606,0.8581774,0.5060642,0.5457834,-0.4097957,-0.3332892,-1.1344528,0.3485524
CAMTA1,3.0644711,1.0634072,-0.9747851,-0.1748962,0.294465,0.5641698,-0.2547995,0.001079
CAMTA2,1.8036167,0.0046418,-0.3703245,-0.3990804,0.2962173,-0.8844551,0.4391211,0.095169
CAND1,-1.1150995,-4.1865946,-0.2460099,-0.4920115,-3.5977258,-2.312251,-0.3586976,1.3421235
CAND2,-0.5199964,0.4728214,0.9862004,-0.6704719,-0.5567743,0.2082028,-0.6098203,-1.5220844
CANT1,0.5196765,-0.2609574,-0.201814,0.3445343,0.913313,2.2218895,-0.7538139,-0.6489933
CANX,0.9969793,-1.5410343,0.7993661,2.180599,1.1494147,0.1810494,-0.8257929,0.2964506
CAP1,-0.8007032,-0.4425066,0.607991,-0.3900857,-0.7804736,-1.1514112,-0.3790134,-1.1817354
CAP2,-0.1108028,-0.6294636,-1.069981,0.5024647,1.5472032,-0.5778655,-0.3042121,-0.5682637
CAPG,-0.6632213,0.066418,0.5414716,0.6589743,0.2642452,2.0303151,1.368709,1.7538498
CAPN1,1.0840605,-0.9309316,-0.7930213,0.2936052,-0.163075,0.2971479,0.5751934,-0.5905226
CAPN10,0.5934811,-0.7907416,-0.6731505,0.0966337,0.6485352,1.6396155,-0.0310234,0.6011856
CAPN11,0.738968,0.1009159,0.6730952,-0.2375674,-0.256329,0.6257754,0.6708089,-1.1627534
CAPN12,0.315809,0.5811042,0.6609885,-0.7108789,0.1606062,1.4703378,0.4460452,0.3685009
CAPN13,1.873619,0.2704456,0.958168,0.1735232,-0.0288255,0.4914226,-0.0259595,1.4861563
CAPN14,-0.0309977,0.2154626,-0.77249,-0.6680112,-1.2918702,0.2971479,0.5415749,-0.7989693
CAPN15,0.2357403,1.5634653,0.958168,-0.4321926,0.0940185,2.0303151,,-1.0882768
CAPN2,0.1685767,-0.1551043,1.0075774,0.6265418,0.6997812,0.7544793,-1.1184906,2.0972669
CAPN3,0.0738308,-0.7541258,0.4629337,-0.7472669,-0.7707137,-1.2380913,0.1074473,0.3573539
CAPN5,0.2715638,0.133113,-0.4324742,1.3331005,0.0369124,1.3774054,0.9958604,-1.3619294
CAPN6,-0.8007032,0.1774778,0.1251539,0.4789821,0.8773078,-0.1199971,-0.2139082,-0.01523
CAPN7,0.8261779,0.0221112,1.127989,1.1441468,1.1817836,0.3262927,0.0224818,0.0932143
CAPN8,,,,0.7360529,-0.5854812,,0.4343112,0.0287087
CAPN9,-0.1248112,0.2898629,0.4828019,-1.0064651,-0.2277132,0.9382364,-2.9443758,-1.2208353
CAPNS1,-0.2030141,0.0819255,-0.5569555,-1.5529823,-1.4377629,-0.3820545,0.8262984,1.1844813
CAPNS2,0.3384298,-1.0202108,-0.2734928,-0.15988,1.805545,-0.7145006,-0.0786898,-0.4899957
CAPRIN1,-0.4915781,-0.6926294,-0.2949944,0.4360026,-0.4513377,1.0274618,-0.282362,0.1774071
CAPRIN2,0.3089396,0.0551188,1.8055884,-1.5955657,-0.6753515,-0.6741116,0.1307623,-0.4505557
CAPS,0.8733982,-0.7852297,0.0920617,1.657324,-0.3568173,2.6955648,1.4724754,0.5205255
CAPS2,-0.9408824,0.6566601,0.3353229,-1.2434576,-0.6667359,-0.3024271,1.1566275,-0.8959169
CAPSL,1.2687259,-1.516564,-0.6408919,0.9690239,0.7857927,0.9096269,,0.5644064
CAPZA1,0.6531586,-1.3358568,0.9662431,-1.3477625,-0.0602776,-0.8060639,,-0.3156327
CAPZA2,1.2200931,0.7132308,0.364985,-0.00073,0.5853325,-2.2116777,,0.6871579
CAPZA3,-0.9291914,0.6645615,2.3169477,0.6236799,0.0282797,-0.5432198,-0.2718239,0.1265575
CAPZB,-3.1700081,-2.4755487,0.9429793,-2.4672565,2.3749429,0.3978713,-0.5523202,-4.0762987
CARD10,-0.2030141,0.8975855,0.5894336,-0.558502,2.0210709,0.8403998,0.1272925,-0.6233807
CARD11,-0.2018861,0.6999898,-0.0635354,-2.4259619,0.1188254,0.2179551,-1.4793282,-0.0859623
CARD14,0.6109355,1.0981421,0.4974773,-0.140374,0.0137922,0.3722457,0.1128011,0.1265575
CARD16,0.4240057,-1.5304071,-0.1512238,1.4425678,1.3626416,,,1.0812967
CARD17,-0.1271133,-0.342328,-0.1529178,0.2820605,1.4375567,0.6628724,,-2.6181254
CARD18,1.2558421,0.6790898,0.7712053,-0.0673961,1.276043,-0.7145006,,0.3006138
CARD6,-0.6056438,0.3023635,-0.2939543,-0.6067413,0.6395327,-0.3626943,-0.0889692,0.4487222
CARD8,-1.0939833,-0.6592338,0.9837091,0.0287754,0.1312774,-1.0790859,-1.3587177,0.0691844
CARD9,-0.6109618,1.1019734,-0.0237774,-0.6130144,-0.1185731,-0.5141215,-1.366245,0.8534487
CARF,-0.2326942,-0.4290464,0.1309044,-0.5078801,2.6196168,-3.3063085,,-0.5917935
CARHSP1,0.6196807,0.8518348,0.8695641,-0.186845,0.9904907,-0.0062925,1.93122,-0.117763
CARKD,0.3351742,0.2989716,-0.6671957,0.6629326,0.1735625,0.5641698,-0.6393962,
CARM1,1.2393907,-0.7942751,2.6391123,1.239078,1.917823,0.70664,-3.4166827,3.2414
CARNS1,0.2688099,0.0582506,0.5477204,0.1405576,1.1655599,2.509763,-0.8127452,1.0942319
CARS,0.7801148,-2.9075792,-4.0030048,-3.2212909,0.2741585,0.6257754,0.7075056,-0.0624289
CARS2,-1.9794118,-2.4027846,-1.633667,-1.6819196,-2.9310901,-0.2631122,1.1321779,-0.6810717
CARTPT,0.7535889,0.1847653,-0.5842009,-1.2839142,-2.0521274,-0.3525178,1.1000179,-0.7050452
CASC1,-1.0753268,-0.5308023,0.6221515,0.7922395,0.149685,-0.312437,-0.4934119,0.3077517
CASC10,1.4518792,0.4442498,0.9850906,0.2800194,0.1580842,-0.1577622,,-0.3419422
CASC3,1.2080491,1.0981421,0.5436125,0.1608394,-1.4002521,-2.0361877,0.3688816,0.2603509
CASC4,1.2993856,1.0072101,-0.499172,0.9815615,2.6477663,0.5798084,,1.4406812
CASC5,-1.8661773,-0.4453063,1.0434947,-0.7062643,-0.773477,-0.6525051,-1.1330953,
CASD1,-1.2383651,1.6464242,0.0392842,-0.7192802,2.3899148,0.5716813,-0.5255399,0.5339978
CASK,-0.3329732,-1.0226412,0.487455,0.3144788,-2.2995764,-0.4866895,-1.4856489,0.2114548
CASKIN1,0.6551456,-0.9795758,-0.3100563,-1.8338339,-0.5567743,0.099671,0.7358093,0.1273676
CASKIN2,-0.7236588,0.3530406,-0.4867291,0.0646607,0.0888675,-0.2526121,1.063012,1.8523472
CASP1,-0.3938976,-1.2936627,-1.6695568,-0.4340525,0.0211023,-0.5653748,,-0.217989
CASP10,1.1662367,-0.7679599,0.0858546,0.2660962,0.025379,-0.3227514,-0.1063751,-1.3876769
CASP12,1.6299479,0.1230918,-1.7982682,-0.1942631,-0.6890682,-0.1764826,0.5225759,
CASP14,1.1889548,0.5811042,-0.1085383,0.1000186,0.6598709,-1.2106423,-0.0352559,0.8301433
CASP16,,,,-0.6638781,-0.6407699,0.0032903,0.4499722,
CASP2,0.3674039,-0.8423663,2.8089657,1.0177321,0.9076506,-0.532446,-0.7739663,-0.0317675
CASP3,0.6436611,-0.3545309,3.3492005,1.645401,0.0127416,-0.0795156,0.8491418,0.4992164
CASP4,0.5444198,0.7434906,-0.481233,-0.9823046,-0.8329957,0.6801887,,-0.8430576
CASP5,-1.2831555,-1.0289978,-1.9929474,-1.0546041,-0.8786251,0.3262927,-0.4588731,1.1457791
CASP6,-1.6319532,-0.7654924,-0.2071779,-0.0232111,-0.2045733,-0.6110526,1.3103437,-0.4760678
CASP7,0.5865797,1.4466975,0.5809968,-0.4693403,-0.9109401,2.310749,-0.5092341,1.1225707
CASP8,-1.3470983,2.5016572,0.3793174,1.3081868,1.3084477,-0.2243016,1.2235822,0.7481273
CASP8AP2,,,,-2.555119,-2.1455591,,,1.9554876
CASP9,-0.4163639,-0.4677044,1.265271,1.4825667,0.2115624,0.9928582,1.0967383,-0.3534524
CASQ1,-1.0507772,-0.1760375,0.6020981,0.5856692,-0.4710496,-0.0897431,0.9101927,-0.6699101
CASQ2,0.8142145,-1.9867234,2.6772754,0.908125,0.8490199,-0.6627828,-0.7145489,1.6132585
