GeneID,LORD_MCF10ATP53/RB1mut_Olaparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRn,LORD_MCF10A TP53mut_Talazoparib_CRISPRn,LORD_MCF10ATP53mut_Olaparib_CRISPRi,LORD_MCF10ATP53mut_Talazoparib_CRISPRi,Olivieri_RPE1_Olaparib_CRISRPn,Zimmerman_HELA_Olaparib_CRISPRn,DeWeirdt_A375_Talazoparib_CRISPRn
ABCC10,-0.1638009,-1.4121598,-1.2707397,-0.6874665,0.7081066,-0.1304216,0.3421263,0.4992164
ABCC11,-0.1503472,-0.1605203,0.1722357,0.4768135,0.9718249,0.457463,1.1346872,1.6451401
ABCC12,0.3069741,-0.5300509,-0.9359565,0.1015828,-0.3860696,-0.2730832,1.3430394,0.8215441
ABCC2,0.995891,0.7489288,1.1454488,-1.1356935,-1.1586087,-0.023749,0.0047413,0.3844429
ABCC3,-0.0326459,0.5672179,0.6368191,0.0536413,0.494552,-0.3024271,0.1936704,-0.5007066
ABCC4,0.0691708,-0.250341,0.5594969,0.8499461,1.2805861,0.0032903,-0.5223623,-0.5688654
ABCC5,0.755013,-0.4782915,-0.3100563,-1.2564886,-1.8658496,-0.2243016,1.1913502,-0.0607229
ABCC6,0.2396572,0.6418498,-0.7530713,0.665907,-0.9253366,0.8708362,-0.0971961,-2.1541261
ABCC8,-0.774425,0.4464233,0.0251985,0.3435443,0.8538246,0.4665231,-0.1282446,-0.7566252
ABCC9,-0.3884901,-0.4919127,-0.219151,-1.2552712,0.6271286,0.9296375,-0.0687593,0.2216082
ABCD1,0.246083,1.0052357,0.0931187,-0.0511002,-0.3552975,1.2236238,-0.5471334,0.3844429
ABCD2,-0.1688423,-0.5037108,-0.3284803,0.3351796,0.3143812,-0.2243016,-0.1545386,0.0984911
ABCD3,0.5865797,-1.6168563,-2.1623493,-0.6649041,0.3990988,0.1628549,0.4321226,0.5983068
ABCD4,0.8323231,-0.3262401,0.1537119,-0.2142221,-0.4613468,-2.312251,-0.3440663,-1.0329488
ABCE1,-2.4254466,-2.5577564,-2.7113027,-1.9634455,-0.0776177,,,-0.3339848
ABCF1,2.1518552,0.1284625,1.6526466,-0.3990804,0.1648836,-1.6883706,0.2365779,0.4945553
ABCF2,-0.4813146,0.3286698,0.6090881,1.5322912,1.2206439,0.6437396,-0.9262845,0.3391489
ABCF3,-0.655553,-0.1515861,-0.7884745,0.5290454,1.0866286,-0.3820545,0.7066311,0.5991893
ABCG1,2.1896499,0.5375638,0.6629397,0.8227478,-0.4746325,0.8708362,0.8426302,0.1498766
ABCG2,-0.8286121,1.2442222,0.694961,1.209026,0.4413258,-0.4953633,1.3565878,-0.1274073
