,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
C7,0.12643,-0.081036,0.079117,-0.17368,-0.16721,0.9666,-0.18049,-0.29622,0.15948,-0.063939,-0.04483,-0.088289
C7orf25,0.18488,-0.001803,0.068099,-0.22813,-0.64039,-0.45539,0.12964,-0.050474,-0.043134,-0.057869,0.0094024,-0.086664
C7orf26,0.29615,0.1398,0.379,0.77379,0.5545,0.22305,-0.031358,0.086739,0.27768,0.056066,0.14257,0.012058
C7orf31,0.18243,-0.32837,0.084575,0.19917,0.026727,-0.18921,0.12244,0.025667,0.012036,0.0089376,0.11566,0.23425
C7orf33,0.22204,0.21613,0.17555,0.55269,0.038144,0.18042,-0.11006,0.22709,-0.14854,-0.2609,0.26846,0.053402
C7orf34,0.22985,0.37017,0.57654,0.41335,-0.028492,0.49511,-0.16895,0.13885,0.1748,-0.10279,-0.043925,0.25613
C7orf43,-0.14799,-0.22634,-0.32575,0.42135,0.17548,0.10098,0.076191,0.087467,-0.091498,0.10563,0.28287,-0.15215
C7orf49,0.28975,0.5699,0.55037,-0.0055641,0.037816,-0.11314,0.18397,0.12934,0.15896,0.24863,0.046973,0.16593
C7orf50,-0.15324,0.034044,-0.062402,0.096718,0.0074605,-0.16667,-0.012778,0.0064557,-0.010686,0.045206,0.055503,-0.091045
C7orf55,0.33099,-0.05996,0.10841,0.2596,-0.15323,-0.38335,0.15131,-0.0028001,-0.12838,0.14985,0.14566,-0.26373
C7orf55-LUC7L2,0.15191,0.19487,0.17869,0.26612,0.43055,-0.33977,0.18549,-0.18498,-0.18621,0.28962,0.11001,0.0083932
C7orf57,-0.33352,-0.059051,0.16771,-0.20675,-0.12005,-0.46312,0.098764,0.18834,0.26905,-0.18789,0.065583,-0.034447
C7orf60,0.1901,0.042741,0.032388,-0.10508,-0.16117,0.036481,0.011768,0.098851,-0.31954,0.021622,-0.013484,-0.5445
C7orf61,-0.22667,-0.093312,0.22523,0.13035,-0.15936,-0.18537,-0.10472,0.021927,-0.0062091,-0.12809,-0.088099,-0.31053
C7orf62,0.0073773,-0.23802,-0.46421,0.26145,0.25203,0.63255,-0.03626,0.021903,0.053617,-0.18058,0.010214,-0.017967
C7orf65,-0.2138,-0.017637,0.30411,-0.11635,-0.58734,-0.57529,-0.095122,-0.08999,-0.11575,0.12648,-0.12914,-0.1444
C7orf66,0.017414,-0.12185,0.17964,0.1549,-0.34316,-0.20901,0.030097,0.00060888,-0.16422,0.12681,-0.08717,-0.16928
C7orf69,-0.095053,-0.087019,-0.3256,0.17778,0.52731,-0.34011,0.076546,0.016492,-0.095027,-0.14472,-0.24964,-0.22395
C7orf71,0.012037,0.22763,0.23804,0.28241,-0.061957,-0.15055,0.061495,0.1298,0.17453,-0.15846,-0.010878,0.1539
C7orf72,0.42439,0.32223,0.41044,0.073772,-0.07281,0.20742,0.052735,0.039271,0.25577,-0.18737,0.24694,0.08083
C7orf73,-0.061481,0.12082,-0.16311,-0.061825,0.17927,-0.030114,-0.066503,0.024163,-0.1035,-0.015825,0.019692,0.0037005
C7orf76,-0.28073,0.19902,0.30228,0.27181,0.32614,-0.33592,-0.06975,0.1064,0.23568,0.047714,-0.20515,0.11015
C7orf77,0.47388,0.53066,0.16185,0.38262,-0.2655,0.28422,0.15541,0.19234,-0.24625,0.1785,0.16096,-0.20128
C8A,-0.20108,-0.063071,-0.20854,0.48159,-0.0396,0.24476,0.1193,0.091043,0.11668,0.16482,-0.035197,0.079877
C8B,0.345,0.032221,-0.070623,0.34433,-0.06083,0.012239,0.037135,-0.31452,0.1542,-0.041169,-0.10583,0.12341
C8G,0.068647,0.23579,-0.10943,0.18655,0.15091,0.69681,0.026516,-0.25113,-0.12375,0.029422,-0.31272,-0.10303
C8orf4,0.11926,-0.039324,0.30384,0.029771,-0.0034613,0.079564,-0.10839,-0.086826,-0.1902,-0.036008,-0.070167,-0.15394
C8orf22,0.17139,0.93792,0.59932,0.2936,-0.082171,0.12578,0.044171,-0.20146,0.090098,0.29073,-0.018584,0.1138
C8orf31,-0.21102,0.079918,-0.12853,0.1383,0.22289,0.062846,0.061715,0.0089372,0.42061,-0.035814,-0.097242,0.2633
C8orf33,0.018026,0.15587,0.25271,0.56781,0.13499,-0.22651,0.12596,-0.20233,-0.18752,-0.14153,-0.14026,-0.057265
C8orf34,0.07431,0.021322,0.30622,0.47757,0.064246,-0.20414,0.0018772,0.052314,-0.10509,-0.083723,0.076391,-0.091994
C8orf37,-0.0083042,-0.040649,-0.053491,-0.20707,0.18747,0.28989,-0.20069,-0.078506,-0.13122,-0.13931,-0.13047,-0.15937
C8orf44,-0.0344,-0.31149,-0.29003,0.26111,-0.45474,0.18655,-0.022312,-0.038248,0.45914,-0.39087,-0.092173,-0.070871
C8orf44-SGK3,0.33026,0.2724,-0.13885,0.34164,0.36469,0.6413,-0.053839,-0.017007,-0.20456,-0.25565,-0.010816,0.078655
C8orf46,0.28853,-0.11457,-0.0085089,0.1785,-0.094925,-0.38778,-0.027615,0.0094687,-0.0071006,0.022618,-0.13802,-0.28467
C8orf48,0.27812,0.55075,-0.074891,-0.32027,0.05052,0.036879,-0.058471,-0.25151,-0.13421,-0.10527,-0.16384,-0.26769
C8orf58,0.062497,0.11614,0.27252,0.44144,0.4659,-0.20351,-0.051408,-0.020612,-0.026193,0.085943,-0.11969,-0.19019
C8orf59,-0.097009,-0.079398,-0.2591,0.084137,0.067976,-0.081325,-0.026105,-0.29711,-0.055673,-0.043178,-0.14731,0.10177
C8orf74,-0.10389,-0.08814,0.42252,0.5269,0.41626,-0.30756,-0.16082,-0.11983,-0.068846,-0.06197,-0.18292,-0.04582
C8orf76,-0.14885,-0.24487,-0.4472,0.30047,0.13766,0.23435,-0.11913,-0.24095,-0.52133,-0.17922,0.15996,-0.22365
C8orf82,-0.19638,-0.21027,0.28015,0.41018,0.15023,0.38281,-0.012206,0.049355,0.0068361,-0.037288,0.13145,0.21996
C8orf86,0.15565,0.033966,0.22265,0.23488,-0.50679,0.13507,0.076102,0.14147,0.11626,-0.051493,0.015551,0.070551
C8orf87,-0.0052829,-0.17054,-0.44794,0.055986,0.21422,0.075073,0.0039366,-0.075023,-0.048,-0.093816,0.0074096,0.026685
C8orf88,0.39388,0.31979,-0.043639,0.10772,0.31144,-0.39423,-0.040047,0.103,0.18996,-0.11085,-0.10466,0.036514
C8orf89,0.07656,0.75001,0.37671,0.020624,-0.044782,-0.18482,-0.077081,-0.098051,0.06112,-0.16326,0.083026,0.27011
C9,0.12638,0.40662,0.19306,0.26266,0.079885,-0.26086,-0.1142,-0.05109,-0.021674,-0.015611,-0.077093,0.20101
C9orf3,-0.12829,0.29669,0.084009,0.281,0.27664,-0.21395,-0.11252,-0.086455,0.01274,0.020307,0.03307,-0.081221
C9orf9,-0.3302,-0.16458,0.53869,0.24397,-0.22908,-0.34682,0.043852,-0.21653,-0.0078665,0.17449,-0.018619,0.32198
C9orf16,-0.19496,0.18708,-0.01659,0.32433,0.30472,0.029734,0.067774,-0.14734,-0.24341,-0.13986,-0.24076,-0.16633
C9orf24,-0.21533,0.23886,0.01641,0.50773,0.053505,0.40246,0.023245,0.25444,-0.11375,0.097921,0.12173,0.020812
C9orf40,-0.016706,0.050175,0.069034,0.056393,0.06768,-0.15857,0.037437,-0.088516,0.0084959,-0.0066132,-0.06902,-0.11459
C9orf41,0.14624,0.23799,0.2511,0.002867,0.153,0.10933,-0.10576,-0.26771,-0.36492,-0.095772,-0.14968,-0.24592
C9orf43,0.32345,0.35413,0.064002,0.32379,1.0493,0.25663,0.19143,0.097002,-0.24512,0.18198,0.0014002,-0.46426
C9orf47,0.46553,-0.020513,0.50183,0.19466,-0.0037126,0.021626,0.12126,-0.12925,0.052819,0.11075,0.079844,0.10909
C9orf50,0.0027547,0.058162,0.57349,0.56525,0.084645,-0.042218,-0.10569,-0.14493,-0.16371,-0.11498,0.057533,-0.046526
C9orf57,0.22242,0.54496,0.23419,0.33888,-0.054129,1.1308,0.056079,0.077317,0.097022,0.10298,-0.078574,0.34391
C9orf62,-0.19349,0.53909,-0.10567,0.18465,0.046935,-0.21742,0.034017,-0.080406,0.042629,-0.11564,-0.14714,-0.036806
C9orf64,0.66834,0.13123,-0.11116,-0.2816,0.11824,0.059272,0.11933,0.16257,0.36918,-0.29952,0.49604,0.0066657
C9orf66,-0.037001,0.018918,-0.080951,0.17362,-0.030593,-0.22843,-0.011186,-0.059321,0.051455,0.066534,-0.020328,-0.064957
C9orf69,0.010375,0.03513,0.06781,-0.14505,-0.072824,-0.36104,0.04279,-0.053328,0.095863,-0.25699,0.088292,-0.096747
C9orf72,0.11882,0.062863,0.81143,0.0097214,-0.0426,0.41546,0.11816,0.37609,0.47699,0.2153,0.47396,0.27275
C9orf78,0.45895,0.30676,0.034771,0.1587,0.19767,-0.13011,0.15494,-0.035593,-0.077094,0.21875,0.23056,0.30308
C9orf84,0.40623,0.584,0.071981,0.16082,-0.30122,-0.83026,-0.28769,0.035562,-0.00468,-0.088793,-0.098245,-0.16642
C9orf85,-0.050478,0.10888,-0.0035133,0.15794,0.14324,0.038259,0.10214,0.065157,0.17307,0.090243,0.088059,-0.0076929
C9orf89,0.093216,0.24309,0.17022,0.30734,-0.16977,-0.098345,0.043934,0.090701,0.010374,0.028455,-0.0035827,-0.01286
C9orf91,-0.071859,-0.18506,-0.015326,0.15039,0.01999,0.25019,0.046765,-0.059222,0.048103,0.080091,0.034219,0.22069
C9orf92,-0.098885,0.12129,0.10251,0.18459,0.035085,-0.31199,0.0011661,-0.095472,0.032264,0.01738,-0.10867,-0.027028
C9orf106,-0.18245,0.083007,-0.30441,0.14548,0.24409,-0.41082,0.0095299,-0.11674,-0.042904,0.070393,-0.060928,-0.25996
C9orf114,0.50939,-0.10062,0.097252,0.55091,0.43544,-0.047199,-0.10867,0.16504,-0.44956,0.23266,0.36941,-0.027533
C9orf116,-0.031284,0.011012,-0.46356,-0.048172,-0.24496,-0.084628,0.14595,0.068782,0.15347,-0.079539,-0.069379,-0.18811
C9orf117,-0.12172,0.1194,-0.16583,0.23967,-0.1208,0.14845,0.0072253,-0.093942,-0.24977,-0.038027,-0.0048639,-0.13748
C9orf129,-0.20397,0.16673,-0.051244,0.91083,0.46908,-0.078613,-0.23806,-0.051747,0.17545,0.084173,0.034627,0.037311
C9orf131,0.051888,-0.085377,0.63387,0.15595,-0.19024,0.23751,0.11521,0.17244,0.21983,-0.072152,0.17441,0.1074
C9orf135,-0.14421,0.39864,-0.25544,0.2921,-0.015132,0.26143,-0.053307,-0.19055,0.026214,0.077399,-0.12542,0.29147
C9orf139,0.020878,-0.062207,-0.050335,0.14789,-0.017437,0.3311,0.044443,0.092034,-0.062979,0.018196,0.048094,0.0052222
C9orf142,0.33453,-0.16488,-0.21295,0.56146,0.2737,0.052112,-0.11546,-0.35848,-0.30349,0.06028,0.14234,-0.13117
C9orf152,0.14685,0.19637,-0.015122,0.30477,0.2144,-0.083386,0.026238,-0.11152,-0.11748,-0.064485,-0.025927,-0.11153
C9orf153,-0.33533,0.11973,0.36355,-0.12076,0.24272,-0.14071,0.19891,-0.10457,0.03696,0.0078229,-0.35024,-0.42329
C9orf156,0.22109,0.23476,0.13267,0.13161,0.0043706,0.23205,0.018713,-0.011561,-0.21645,0.049655,0.018635,0.0088396
C9orf163,-0.060027,-0.067334,-0.039753,0.40006,0.017152,-0.44892,0.10649,0.1496,0.086519,-0.070455,-0.060975,0.10278
C9orf170,-0.049795,0.26204,0.21419,-0.09986,0.24178,-0.056235,0.0041838,-0.089402,0.055014,-0.11876,0.009463,0.023447
C9orf171,-0.2566,0.50791,-0.26758,0.66257,1.0612,0.59565,0.058099,-0.23964,-0.08201,-0.40867,-0.31425,-0.083123
C9orf172,-0.047578,0.075992,-0.060772,-0.096937,-0.18437,-0.14643,0.074281,0.070401,0.080618,-0.24959,-0.12622,-0.32921
C9orf173,-0.0037581,-0.19079,-0.11982,0.080684,0.039708,-0.19655,0.085312,-0.11098,-0.061371,0.0030598,0.0038432,-0.018833
C10orf2,-0.055085,0.27519,0.4496,0.71104,0.32968,0.13743,-0.028543,0.05377,0.097649,0.028554,0.028922,-0.1458
C10orf10,-0.13681,0.23856,0.37772,0.16823,0.18471,0.39269,-0.065495,-0.19343,-0.1147,-0.083712,-0.23232,0.12601
C10orf12,-0.024013,-0.15776,0.60243,0.49959,0.25106,0.46673,-0.16164,0.0649,-0.037483,-0.043421,0.10191,-0.2503
C10orf25,0.18517,0.2265,0.2447,0.080473,-0.019646,0.082407,-0.26547,0.040963,-0.052444,-0.2097,-0.04736,-0.058916
C10orf32,-0.14544,-0.075635,0.24902,0.3469,-0.12611,0.46941,-0.046946,0.043576,0.029644,-0.14062,-0.10986,0.11558
C10orf35,-0.027226,0.10677,-0.12176,0.098024,0.20165,0.18009,0.070921,0.065271,0.095933,0.0025157,0.049251,0.14199
C10orf53,0.13348,-0.25411,0.0019818,0.33908,0.32784,0.17162,0.028224,0.11139,0.026974,0.18589,0.12173,0.087027
C10orf54,0.33921,-0.0076557,-0.066492,0.22971,0.011129,-0.27476,0.14152,0.036517,0.033617,0.1362,0.11909,0.14724
C10orf55,0.1049,-5.3696e-05,0.60122,0.084969,-0.14455,-0.49379,-0.27205,-0.064586,0.13878,-0.088811,0.17639,0.29611
C10orf62,-0.026912,0.1946,-0.15924,0.29715,0.11053,-0.012922,0.11003,0.078724,-0.011181,0.037133,-0.091902,-0.0027869
C10orf67,-0.22857,0.167,0.80619,0.34803,-0.091358,0.32263,-0.24091,-0.10801,0.30474,0.115,-0.1139,0.013347
C10orf71,0.18212,0.086666,0.31405,0.35509,-0.071974,0.51726,0.019708,0.01273,0.050695,0.13706,0.073921,0.14703
C10orf76,0.4456,-0.095645,0.2867,0.35006,-0.060547,-0.115,0.17356,-0.10687,-0.046837,0.15176,0.0096165,0.12906
C10orf82,0.19203,-0.31433,-0.28189,0.17781,-0.013395,-0.030877,0.069175,0.023652,0.17242,0.053427,-0.039287,0.089996
C10orf88,0.2026,0.088746,-0.235,-0.054287,-0.35366,-0.20847,0.035737,-0.10854,0.3026,-0.063939,-0.11086,0.030195
C10orf90,0.14468,-0.62203,0.035742,0.2397,0.43017,-0.1439,0.027628,0.16367,0.013615,0.01089,-0.048942,-0.11621
C10orf91,-0.1034,-0.026104,-0.080011,0.4465,0.032645,0.19531,0.069917,0.001157,0.14111,0.029987,-0.13862,-0.0090649
C10orf95,-0.039343,0.038885,0.27469,0.071498,0.10372,-0.26666,-0.018593,0.048503,-0.14612,0.15893,-0.32695,-0.16358
C10orf99,-0.49081,0.15613,0.57264,0.33722,-0.13474,0.21329,-0.15398,-0.07189,0.22968,0.075332,0.0057256,0.092606
C10orf105,-0.10894,-0.063379,-0.14606,0.23059,0.29832,0.26708,0.0792,-0.068018,0.14913,0.0039036,-0.072917,0.042459
C10orf107,0.037361,0.14923,-0.028707,0.16945,0.0052061,0.062376,0.084889,0.056928,-0.015971,0.090175,0.25413,0.080791
C10orf111,-0.14904,0.1829,0.069596,0.22324,0.11633,-0.10328,0.059031,-0.054708,0.039622,0.13672,-0.088043,0.050942
C10orf113,0.046337,0.078786,-0.03344,-0.2358,-0.26336,-0.4229,-0.0023201,-0.21437,-0.052284,-0.23205,0.042067,-0.070221
C10orf120,0.13205,0.10464,-0.14611,0.087247,-0.2719,0.25238,0.057521,0.081784,0.31781,-0.050969,0.093827,0.19506
C10orf126,0.098394,0.17509,0.22711,-0.035018,0.23467,-0.51711,0.024066,-0.0051125,-0.22542,-0.043141,-0.0019276,-0.036638
C10orf128,0.11675,-0.12743,0.050014,0.47657,-0.14143,-0.4433,0.020981,-0.11282,-0.23457,0.16929,-0.1164,-0.036596
C10orf131,0.11003,0.025698,-0.086078,0.3153,0.026341,0.42052,-0.079457,0.02298,-0.23248,0.11977,-0.029891,-0.022031
C10orf142,0.33864,0.2,0.46156,0.24497,-0.47473,0.51228,-0.092925,-0.081233,-0.2274,0.025833,-0.051569,-0.31328
C11orf1,0.020743,0.12397,-0.067987,0.0089299,0.090451,0.36412,-0.04666,-0.0035094,0.075404,0.090645,-0.067601,0.018848
C11orf16,0.066949,-0.073011,-0.040045,0.4292,0.43529,-0.058016,0.14141,0.13392,0.21481,-0.03023,0.12333,-0.060165
C11orf21,-0.1205,-0.10194,-0.19401,0.045953,-0.14862,-0.079752,0.00077769,-0.15102,-0.040631,-0.13762,0.0083106,0.013391
C11orf24,0.13039,0.15068,0.46236,-0.12056,-0.028704,0.070225,-0.037198,-0.068514,0.076327,-0.10136,-0.056416,-0.094832
C11orf30,0.45596,0.045458,-0.17093,0.17417,0.16318,-0.3016,-0.11015,0.013905,0.32498,-0.046153,0.23892,0.3981
C11orf31,-0.058133,0.10803,-0.52395,0.39646,0.21904,-0.14208,-0.32024,0.00089442,-0.18508,-0.10579,-0.048507,-0.015507
C11orf40,0.29194,0.14438,0.082833,0.09958,0.054997,0.205,0.15131,0.09537,-0.028122,0.032641,0.014167,-0.087435
C11orf42,0.58506,0.044436,0.3746,0.12489,0.048955,-0.3028,0.092114,-0.098218,0.02878,-0.18184,-0.21664,-0.27152
C11orf44,0.23739,-0.16917,-0.31574,0.07632,-0.17652,-0.31217,0.0047365,0.017382,0.032777,0.10943,-0.18627,-0.16331
C11orf45,0.081693,-0.077917,0.13914,-0.071193,-0.15264,-0.14556,-0.038361,-0.044751,0.2742,0.055467,-0.016689,0.10714
C11orf49,0.10237,-0.35005,0.07487,0.26756,0.10611,-0.045416,-0.010334,0.11364,0.15086,0.08354,-0.031034,-0.064541
C11orf52,0.032435,0.045547,-0.14471,0.44036,-0.045439,-0.032981,-0.033662,-0.071759,0.014327,0.042195,-0.15699,0.010327
C11orf53,-0.15423,0.25663,-0.33218,0.0772,-0.26893,-0.38048,-0.35777,-0.043929,-0.090028,-0.095331,0.084166,0.053208
C11orf54,-0.33945,0.20184,0.85877,0.13085,-0.34109,-0.30286,-0.042594,0.025911,0.019247,-0.22439,-0.17966,0.24237
C11orf57,0.5862,0.20681,0.11367,0.1602,0.0033751,-0.46385,-0.21318,-0.15314,-0.0077091,-0.10454,0.032083,-0.21824
C11orf58,0.025507,-0.15749,-0.51538,0.030704,-0.49826,-1.0319,-0.058723,-0.41626,-0.58347,-0.11511,-0.1221,-0.095957
C11orf63,0.2939,0.084176,0.76675,-0.15104,0.18371,-0.32717,0.20497,-0.050876,0.53812,0.15214,0.32075,0.42547
C11orf65,-0.42269,-0.51056,-0.63983,0.32605,0.4023,-0.056596,-0.12959,-0.11988,0.05016,-0.13942,0.049553,0.17187
C11orf68,-0.11568,-0.021609,-0.071981,0.13262,0.14017,0.098746,-0.035953,-0.097027,0.10118,0.0013232,-0.16231,-0.12852
C11orf70,0.12467,0.18708,-0.11991,0.32827,-0.052097,0.34704,0.16538,-0.12837,-0.0097319,0.14677,0.0098404,0.20045
C11orf71,0.036831,0.031849,0.030108,-0.09457,0.19212,0.15233,-0.062148,0.022237,-0.021786,0.0012979,-0.027007,-0.10461
C11orf73,0.35475,0.41593,0.64674,0.017859,0.87845,0.35592,-0.11722,-0.19909,-0.17731,0.076591,0.026132,-0.01144
C11orf74,0.051131,-0.36901,-0.28366,-0.17905,0.13982,0.044299,-0.097186,0.075618,-0.024557,0.012104,0.10533,0.33426
C11orf80,0.031925,-0.10129,-0.06825,0.57648,0.00085201,1.3585,-0.25836,-0.11298,0.062919,0.17338,0.24979,0.042556
C11orf84,0.19042,0.03627,0.0097305,0.39261,-0.10976,-0.27064,0.11853,-0.028545,-0.21724,0.17274,-0.14795,0.12974
C11orf85,-0.10998,0.15576,0.16694,0.45112,-0.52949,0.0018226,0.27106,0.058268,-0.0026151,0.25783,-0.19193,-0.27423
C11orf86,-0.051534,0.23571,-0.42456,0.35683,-0.23427,0.21346,-0.062438,-0.12076,0.07342,0.069236,0.11072,0.08836
C11orf87,0.079203,0.30928,0.023724,0.034592,0.019306,0.05275,-0.051631,0.074015,0.076489,-0.0045658,0.083602,-0.086755
C11orf88,0.15347,0.10999,0.10197,0.13769,0.15267,-0.032265,0.048856,-0.014642,0.20715,0.13516,0.14929,0.18265
C11orf91,0.10208,0.2606,0.12223,0.013444,-0.10701,0.13093,-0.01255,0.14023,0.18443,0.019978,0.090896,0.15299
C11orf94,-0.21601,-0.21402,-0.29876,0.066854,0.00023511,0.024163,0.049396,-0.057097,-0.008373,0.045374,0.045116,-0.20965
C11orf95,-0.21171,0.18864,0.031613,0.19948,-0.31522,0.26151,0.13763,-0.12102,0.048516,-0.041443,-0.0083417,0.1362
C11orf96,0.19654,0.38804,0.32386,0.1463,-0.29563,0.17266,0.0013401,-0.20816,-0.090849,-0.046391,-0.11968,-0.11067
C11orf97,0.020183,0.046121,-0.068584,0.098073,0.070543,-0.11551,0.097293,-0.16618,-0.11237,0.04038,-0.081227,-0.15618
C11orf98,0.068976,0.16098,0.60222,0.50884,-0.0024661,0.037268,-0.098113,0.01694,0.042439,-0.060209,0.072222,0.087981
C12orf4,0.39151,0.33057,0.43696,0.10518,-0.16695,0.085487,0.12605,-0.019307,0.22794,0.34522,0.031141,0.051969
C12orf10,-0.051339,-0.33413,0.037073,0.35813,-0.028991,0.049381,-0.0075635,-0.22126,-0.31068,-0.013847,-0.13662,-0.27199
C12orf29,-0.066184,0.17826,0.34754,0.18048,-0.12898,0.090892,-0.23251,-0.13814,-0.12911,-0.038,-0.16646,-0.47321
C12orf40,0.24083,-0.013774,0.25431,0.29369,-0.0059568,0.067013,0.20622,-0.011428,-0.31981,-0.10467,-0.076071,-0.22399
C12orf42,0.49272,-0.071309,0.13927,0.33199,-0.54505,0.081701,0.1882,-0.076926,-0.01834,0.24267,-0.26892,-0.18443
C12orf43,0.19143,-0.22289,0.045208,0.28416,0.21268,-0.16523,0.010037,0.23528,0.078754,0.070725,0.074049,-0.066727
C12orf45,0.19687,0.20377,-0.093751,-0.087282,-0.052251,0.74456,0.10395,0.2639,0.21442,0.16398,0.13434,0.14132
C12orf49,-0.25699,-0.086964,0.062455,0.32372,0.31676,0.29315,0.031979,0.020093,-0.13488,-0.033154,-0.14218,-0.10272
C12orf50,-0.014367,-0.0081922,-0.18894,-0.026263,0.096425,0.035026,-0.12866,0.039835,0.070345,-0.014674,0.05519,0.16401
C12orf54,0.035488,0.46125,0.90418,-0.11512,-0.11482,-0.031261,0.012466,-0.027109,0.11704,0.17982,0.045818,0.22409
C12orf56,-0.027777,-0.017319,0.26149,0.32619,0.25632,-0.025818,-0.22207,0.0070264,0.073865,-0.11094,0.066911,0.19012
C12orf57,-0.022011,-0.084563,-0.33478,0.34487,0.0041863,0.1293,-0.039671,0.11623,-0.095364,0.069046,-0.010251,0.011672
C12orf60,0.03371,0.29495,0.016403,-0.32152,-0.23279,0.023372,0.21514,0.098243,0.10494,0.1799,-0.16821,-0.04568
C12orf65,0.10031,-0.071056,-0.07536,0.47848,0.38136,-0.25419,0.12508,0.20262,0.18052,0.3253,0.27817,-0.2278
C12orf66,0.0006756,0.071489,0.11423,0.40576,0.18516,-0.23821,0.0076909,-0.025463,-0.26317,-0.11075,0.1418,-0.30658
C12orf71,0.0018938,0.092144,-0.054579,0.19578,-0.10261,0.11367,0.029413,-0.10297,-0.17516,-0.023181,0.02324,0.038118
C12orf73,-0.12821,-0.076889,-0.10291,0.086946,-0.056054,0.45236,-0.10388,0.031723,0.17317,-0.063603,-0.018868,0.075454
C12orf74,0.27457,0.011136,0.46326,0.18906,0.032594,0.22864,-0.072557,-0.0092262,-0.26706,0.03799,0.021325,-0.016388
C12orf75,0.49377,0.19689,0.03989,-0.11003,-0.086403,-0.97842,0.17666,0.036679,0.19355,0.12834,0.11511,-0.26821
C12orf76,0.03252,-0.078986,0.20657,0.42065,0.44956,0.0030253,0.13537,-0.078921,-0.078776,0.06359,0.068445,0.004825
C12orf77,-0.0047838,-0.15433,-0.46266,0.67199,-0.055965,0.2549,-0.080349,-0.00054542,0.19244,0.068959,-0.064518,-0.060214
C12orf79,0.10049,0.26075,-0.071388,0.22504,-0.42302,0.05562,0.13967,0.13073,-0.038072,0.092039,-0.052569,0.085536
C12orf80,0.1918,0.21284,-0.017833,-0.032059,0.15111,0.54095,0.013931,0.053319,0.041423,-0.011812,0.12926,-0.131
C14orf1,0.11682,0.1432,0.25534,0.021489,0.11509,0.096513,0.085082,0.018982,0.12973,-0.00077097,0.25244,0.26909
C14orf2,0.03688,0.078171,0.47845,-0.25458,-0.070516,-0.52319,0.15099,0.0080581,0.4434,0.10563,-0.072526,0.35228
C14orf28,0.1468,0.19092,-0.048682,0.14035,0.65426,0.42347,-0.11456,0.037254,-0.012822,0.17482,-0.15954,0.1354
C14orf37,0.29269,0.26297,0.26934,0.42646,0.59832,0.25228,0.28528,0.25921,0.18529,0.19021,0.14961,0.26566
C14orf39,0.81208,0.45849,0.17468,-0.3605,0.069415,-0.17024,-0.06579,-0.07956,0.26891,-0.094092,-0.13385,0.0062621
C14orf79,-0.14684,0.13226,-0.21436,0.067243,0.10756,0.5231,-0.015086,-0.16014,-0.070623,-0.091365,-0.1388,0.073891
C14orf80,0.065889,0.49142,0.19997,0.94396,0.14544,0.17798,-0.024237,0.095308,-0.020834,0.16219,0.37788,0.34191
C14orf93,0.24938,0.44975,0.040315,0.18246,-0.011523,0.77147,-0.12991,0.05522,0.046997,0.008815,0.091175,0.085354
C14orf105,-0.33486,-0.10065,-0.36398,0.060036,0.047057,0.25013,0.23731,0.27718,0.18673,0.29708,0.20151,0.0043127
C14orf119,0.15789,-0.20307,0.20988,0.32703,0.36652,0.30207,-0.14676,0.032643,0.058529,-0.071129,0.056075,0.086262
C14orf132,-0.33055,0.33837,0.14132,0.011096,-0.17865,0.55238,-0.11285,-0.096722,0.19765,-0.082555,0.11637,-0.0073127
C14orf142,-0.16602,-0.24413,-0.073021,0.34735,-0.13014,-0.12804,-0.00056325,-0.027586,0.40325,-0.0056417,-0.088799,0.14701
C14orf159,0.27502,-0.12936,-0.23244,0.27155,0.13723,-0.25095,0.19478,0.026696,-0.00068115,0.024295,0.11364,-0.28745
C14orf166,-0.37849,-0.046308,-0.17248,0.34521,0.72241,-0.32303,-0.32914,0.034417,-0.032968,-0.077187,0.26058,-0.086705
C14orf169,0.20914,0.014823,0.042235,-0.018932,0.38468,0.0599,-0.039077,0.12039,-0.09096,0.063198,0.20547,0.063586
C14orf177,0.070343,-0.063728,0.40512,0.19987,0.27877,-0.10173,-0.029468,0.055156,-0.028961,0.020646,-0.034198,-0.22778
C14orf178,-0.11657,0.34152,-0.25402,0.32076,-0.22465,0.043642,-0.050869,0.1019,0.05064,0.24284,0.015661,0.69327
C14orf180,-0.030855,0.32363,-0.1939,0.29263,-0.014576,-0.37468,-0.02403,-0.061411,-0.12922,-0.23124,-0.25969,-0.25078
C15orf26,0.28269,0.10056,0.091927,0.16947,0.018568,0.1954,0.066775,0.054875,-0.41826,0.091027,-0.064753,-0.13405
C15orf27,0.01651,0.3658,0.013728,0.24754,0.45399,-0.073787,0.083374,0.070693,-0.20676,0.20017,0.071849,-0.023717
C15orf32,-0.021311,0.027896,-0.19588,0.46129,0.22796,0.36219,0.12504,0.0703,-0.15872,0.041982,-0.059177,-0.24357
C15orf38-AP3S2,-0.028404,-0.093383,0.13978,-0.14452,0.63912,-0.057257,-0.008883,0.2714,0.26916,0.39006,0.42959,0.35832
C15orf39,0.015836,0.10237,-0.096255,0.27548,0.27316,-0.088307,0.045389,-0.005114,0.01452,0.01072,-0.024055,0.049803
