,A549 TP53-/-,,,A549 TP53 WT,,,LXF289 DOX-IC25,,,LXF289 DOX-IC50,,
Gene,time 9,time 12,time 15,time 9,time 12,time 15,time 5,time 10,time 15,time 5,time 10,time 15
ABCB1,0.19763,0.27276,0.58747,0.12924,0.27683,0.71966,-0.18776,0.10081,0.17376,-0.044928,-0.00891,0.12021
ABCB4,-0.030094,0.78572,0.27716,0.039707,0.26345,0.1933,0.21018,-0.13495,-0.20402,0.029009,-0.11768,-0.22479
ABCB5,-0.044371,0.35371,0.34328,-0.093582,0.1769,-0.052876,0.063499,-0.12816,-0.11292,-0.094531,-0.26062,0.03054
ABCB6,-0.13324,-0.25829,0.11828,0.27775,-0.26951,-0.34844,-0.064734,0.087824,0.029694,0.032433,0.031962,-0.022046
ABCB7,-0.1999,0.04149,0.021857,0.60725,0.76634,0.036471,0.0088936,-0.085897,0.42707,-0.13153,-0.268,0.5738
ABCB8,0.1399,-0.030709,0.23403,0.34754,0.0045011,0.42071,-0.097996,-0.10206,0.0049525,-0.1687,-0.11667,0.053556
ABCB9,0.065453,-0.076864,0.64657,0.24024,0.16038,-0.30086,-0.099263,0.1414,-0.14673,0.010894,0.075048,0.038605
ABCB10,0.024695,0.28046,0.18885,0.13519,0.33356,-0.0010571,0.00013453,0.0079764,0.044571,0.042708,-0.040497,0.16666
ABCB11,-0.12337,-0.17321,-0.44943,0.17769,0.058128,-0.045786,-0.008726,-0.040408,0.090995,0.0050398,0.11621,0.064591
ABCC1,0.084617,-0.051726,-0.21227,0.070726,0.22023,-0.15287,-0.13444,-0.12383,-0.17874,-0.040832,-0.18691,-0.32214
ABCC2,0.054621,0.26908,0.36174,-0.26085,-0.17409,0.58048,0.097828,0.098233,0.2778,0.030763,0.21358,0.20818
ABCC3,0.16141,0.57742,0.041974,0.24329,0.22404,0.27756,0.12173,0.12111,0.13825,0.10561,-0.29288,0.11554
