GeneID,CRISPRn Viability Z score (olap and talaz screen),CRISPRn Drug Effect Z score (olap screen),CRISPRn Olaparib sgRNA Drug Effect Zcount,CRISPRn Olaparib Gene Rank,CRISPRn Drug Effect Z score (talaz screen),CRISPRn Talazoparib sgRNA Drug Effect Zcount,CRISPRn Talazoparib Gene Rank,CRISPRi Viability Z score (olap screen),CRISPRi Drug Effect Z score (olap screen),CRISPRi Olaparib sgRNA Drug Effect Zcount,CRISPRi Olaparib Gene Rank,CRISPRi Viability Z score (talaz screen),CRISPRi Drug Effect Z score (talaz screen),CRISPRi Talazoparib sgRNA Drug Effect Zcount,CRISPRi Talazoparib Gene Rank
ATR,-14.4161823564508,3.58394780718042,0,17084.9688063063,0.946472462022434,0,8813.50613382869,-18.7319171865761,-2.79734632869014,3,1303.65298588962,-19.8219851606093,-12.4318877952296,5,61.5249859916797
RAD51D,-9.6834528695918,-2.82586265657873,1,2355.40990648535,0.0620962385598193,0,9628.27050879475,-10.7160519508018,-5.77321964115434,3,317.167714030253,-11.819076374975,-12.424992302687,4,38.233556946252
CAD,-8.40143127589456,-1.85247440458381,1,3909.73370761628,-1.29502408647098,0,3504.64350632084,-17.1970971540585,-5.86290677999174,2,528.665826682725,-16.6661616116029,-11.9906022619338,5,43.9116685202756
ATAD5,-1.31114147572295,-4.62154461283839,2,310.177990050417,-2.27340664854698,1,1970.76269608235,-7.3949787016077,-2.93212629465942,1,815.720203957113,-6.89209314182783,-11.0614930019328,1,56.8534245741556
SOCS4,-1.13455876427436,-0.84040485481529,0,2721.77455999749,-1.88784924699437,1,1871.1904321181,-2.48992760035093,-6.85282659115508,3,34.0023066485824,-3.74419041615607,-11.0607426356143,3,25.3029799590525
XRCC2,-10.2853716549165,-3.84679101240786,3,373.01379484041,-5.74554031898251,3,95.0645913462068,-7.86247732286123,-7.40177527760267,3,67.8532011956568,-11.3883160041727,-11.0384902518704,4,39.3976412993573
SKA1,-4.91679903219898,-2.288573895008,1,2441.19314239181,-2.93680859374096,2,2731.81260920235,-11.3626820271089,-4.7159337000089,1,786.158305170482,-12.0665419676523,-10.5276711046449,2,190.020016358438
DSN1,-5.68033463572216,0.564214425450253,0,11018.8880704785,0.986171877320531,1,3391.22351542306,-30.6270204464936,-8.95430926919266,4,252.655370833587,-28.7734013802828,-10.2187962188972,3,167.320740874834
PNKP,-4.64429037345012,-5.77684438530889,2,171.763522598911,-7.07840336856782,3,38.9576573101513,-4.40410548743594,-3.04901969807907,2,519.411503861678,-6.35098598280074,-10.0877724018509,1,47.0694611981101
PRDX1,1.00296731701473,-0.953415069653188,1,2330.68882726623,-4.04490776332286,2,320.383654428509,0.951177826064031,-2.5295432666117,1,492.703232364783,0.533544739311936,-10.0107892772988,0,15.2118098430456
SPON2,1.27369659520764,0.906075451836517,0,13975.1156231707,-0.100170959324317,0,8481.93654550863,2.44142448362978,-0.684251355087376,1,9163.83627009899,2.07856246861929,-9.96238223793942,1,44.9436331282005
MRPL27,-5.67767229590227,-2.93026029814196,1,2672.72189132537,-3.21704412414387,2,1332.36686050586,-6.16129421678501,-9.11431240032429,4,25.1331561847202,-6.82345701150858,-9.7159172662682,0,63.6659021803924
NAE1,-5.03892351500534,2.1323789106872,0,16879.1411226818,-2.29797557848632,2,1521.78202814723,-12.3751296896511,-1.1907409122682,2,1821.36395924017,-11.5576390126294,-9.58748139991754,1,38.6530702625796
AURKB,-11.826718534785,-2.13542652529118,1,2159.51231359493,-0.00939825692619505,1,6073.1902489971,-24.830255687933,-1.09127758381628,0,4059.44442449146,-21.7504871966636,-9.49953368893632,3,150.207712238076
RIBC1,0.921790142672847,0.198994027948229,0,8230.74383044287,0.216719362803148,0,9665.66417142697,-14.8344082185515,-7.47336300885652,3,155.4387016589,-15.0422944736672,-9.48391337157337,4,117.235724140581
CWC22,-4.46739717432316,-4.30787567021902,2,1039.30571202632,0.999566547083607,0,15287.9787563622,-12.6691961603768,-3.61253067816167,2,1075.16704698113,-10.1067028166363,-9.45897726459334,2,157.532480073898
TTC1,-12.2406001956686,3.06723798332034,1,9639.61857647316,4.73289709590546,0,15464.3739534801,-30.7661575241292,-5.39476089280507,2,1105.12624316066,-26.176983725116,-9.39217303912849,2,77.544351997895
RNF8,-2.90961985720972,-5.4909338082719,4,140.157645547489,-5.38737409887994,2,214.129336321476,-3.23135653718079,-3.62876351053988,3,148.102315420915,-4.71080901120415,-9.29536292402309,1,22.1041889918423
RFC2,-11.1354846784061,-2.22406325084063,2,1480.06848964761,-2.28273805489874,2,2559.80870559532,-13.7265739625594,-5.07865776845083,3,346.043720181727,-11.4215232003428,-9.24706954459135,5,36.8854504518104
NFRKB,-6.47831249339873,-2.79224334160846,1,779.374231828983,-5.59009070607341,2,167.787062512978,-11.2756459347465,-4.64559434931373,3,567.454379172116,-11.2694411800183,-8.96419739560365,2,91.900333150177
RAD50,-5.6336301953773,-8.35928395272592,4,37.091567698277,-5.03704551214414,2,446.043136315911,-1.39104537081956,-3.59663462278931,2,368.063168504108,-2.81856615227233,-8.9603422287982,2,37.5876468397609
SF3B2,-6.13620858601431,-1.22561992033693,1,4925.19909387802,-0.667225149959926,0,5679.14245220045,-17.6473198819794,-4.854853632959,3,640.381310856492,-16.6693811956135,-8.83005263063349,4,196.410012168589
FANCM,-1.27325320839438,-5.42978994963407,2,329.068561081795,-8.42746904969068,4,50.6839353263554,-0.835863502233077,-0.713292510282822,0,4768.10842475426,-1.22633997392601,-8.79520071931603,4,32.5588676668357
SIVA1,-2.83186217855873,-3.22117055738349,1,393.166592800643,-8.15629499857771,6,19.6263978611315,0.997157316986103,-1.97183308100178,1,1076.02806140339,0.601120035454285,-8.74679032254851,0,34.9741305437529
BCS1L,-5.10418947712111,-6.95434440819402,4,56.5421410098514,-5.54550540868079,3,203.676020415142,-10.7873634404124,-6.01482708841497,3,235.658031964937,-12.8324760471587,-8.61460333106176,0,60.256769956027
RMI1,-7.45285679669646,-3.78169542556452,2,1130.89574211018,-8.03683047922491,3,100.460740587547,-5.55233790615412,0.719676419684988,0,15742.6537981433,-3.62653989424972,-8.61251545910242,4,68.321430936396
CDC23,-7.27316343113685,-5.20494096343206,2,565.63105932481,-5.52558531196151,2,433.120654346101,-25.2635733366617,-8.53750172866459,3,334.575983924119,-20.7072423528262,-8.52792415643027,1,252.996057784605
ESPL1,-11.9197010230356,-3.48868365900252,2,1617.9049277375,-0.856545529858243,1,2083.33568599343,-19.4986635641879,-2.31032924340817,2,5064.17010733376,-17.698353206792,-8.51311275208792,0,245.206545247249
BRCA1,-1.88580429926563,-3.24255049579135,2,521.731653053063,-7.83668572280113,3,61.344640584904,-13.7891306409514,-13.8886271818872,5,6.58084436524139,-15.6976700398021,-8.5097250653716,3,149.094320413446
MEAF6,-5.45647058432376,2.74073088164144,0,17683.2313234864,1.96263570260511,1,14924.8612896883,-16.3958097975971,-5.17575548683433,3,666.437465653818,-18.7268768891069,-8.50059399395775,1,109.194557551886
PPWD1,-13.7214848411234,-6.54431999638393,4,212.055995651167,-2.23348810226972,0,2085.16670750959,-15.8477656389336,-1.79395845009066,1,4923.49281846431,-14.1819765036081,-8.319980316021,0,209.270027873089
SRSF10,-3.21860872237024,-5.63519492386458,2,216.360167284042,-2.69445865141158,2,595.959939051675,-3.77488876909102,-2.35382866073443,0,699.986590899601,-4.48437355859116,-8.29006214712454,0,28.4625547014039
C17orf53,0.446189740545685,-0.0600711122498337,0,7853.54506296399,-2.90359932296826,1,656.617905054484,0.547765996590852,-1.04374523261806,1,2979.68938702067,0.857584633086045,-8.26172819947968,2,73.3729583830611
ESCO1,-1.66995639262918,1.71472966572048,0,17057.3389319891,0.248596659690124,1,4876.49961602416,-0.524389935595639,-0.910263780689201,0,3270.67957732637,-0.715671514662741,-8.20960291290662,0,70.2845559739739
BUD13,-2.61279309156586,0.246063596184258,0,7426.72756147063,0.959724695970108,0,10165.6344083124,-21.468748838176,-9.27090729145114,3,108.564940912959,-19.4046170324392,-8.18615660360474,2,244.058751417246
UBR4,-7.42025625448889,-2.5809682411466,2,1704.55503207302,-6.86601001343153,4,125.436638333138,-12.403119478607,-5.48834059645281,3,206.372906725567,-11.7279834080313,-8.18338006324144,1,94.9692975577674
PRPF6,-7.79165421504009,1.95947241384645,0,9685.25029167283,-1.06871799579429,1,2964.53121722179,-15.5611211416883,-1.83404096058384,1,5376.30496245846,-13.0470163643115,-8.09444332171133,2,108.95090794935
HJURP,-10.9947064394745,-4.46757151302077,2,1102.44228861684,-4.98004539210239,2,409.254544713153,-18.5431695412197,-1.56140012033906,1,4128.32746758067,-23.9817691061457,-7.98836997793849,0,136.240419605249
