"Supplemental Table S0. Genome-wide Etoposide score (etoposide vs. vehicle controls) and essential score (vehicle control vs. day 0 replicates) at day 4 (early), day 12 (intermediate), and day 18 (late) using MAGeCK-RRA",,,,,,,,,,,,
Gene,Day4.Etop.Score,Day4.Etop.FDR,Day4.Ess.Score,Day4.Ess.FDR,Day12.Etop.Score,Day12.Etop.FDR,Day12.Ess.Score,Day12.Ess.FDR,Day18.Etop.Score,Day18.Etop.FDR,Day18.Ess.Score,Day18.Ess.FDR
CAMK1,-0.938434438115161,0.980095,-0.096384,0.999976,0.548873948382923,1,-0.62001,1,0.757458571701616,1,-0.44273,0.869089
CAMK1D,0.205268036186481,1,-0.018951,0.999976,0.611579059338831,1,-0.1867,1,1.3314184152894,0.940798,0.36221,0.967482
CAMK1G,0.64648768346115,1,0.048807,1,-0.54236028617032,1,0.40973,0.914878,-0.656394491895828,1,0.45062,0.828425
CAMK2A,-1.0425699144204,0.965028,0.10333,0.963376,-0.918976913548666,1,-0.19523,1,-1.37844984567453,0.934525,0.1073,1
CAMK2B,-1.36869831316851,0.944459,0.027025,1,-1.24315097993329,0.953337,0.55008,0.968428,0.427023901004856,1,-0.032477,1
CAMK2D,-0.679127034772751,0.993534,0.19847,0.900089,-2.02032872915343,0.848968,0.24701,0.988433,-1.01633763591234,0.974491,0.24976,0.835809
CAMK2G,0.0875653666244253,1,-0.19923,0.999976,0.247459886401703,1,-0.75072,1,-0.594141600682363,1,-0.79377,1
CAMK2N1,-1.21571086984422,0.955611,0.18823,0.914152,-0.31219467644908,1,0.20949,0.970892,0.254207185533345,1,0.17228,0.972492
CAMK2N2,-0.903020505433216,0.983944,0.025301,0.899849,1.41544263947433,0.910761,-0.0064867,1,-0.505302876889263,1,0.073239,0.673719
CAMK4,0.148399244170399,1,0.064541,0.969843,1.90149471679868,0.723733,-0.64254,0.970886,1.04935284860343,0.98576,-0.45814,1
CAMKK1,0.669018362299178,1,-0.026857,0.999976,0.178276907935016,1,0.35146,0.827085,0.127785436602414,1,0.37007,0.855103
CAMKK2,0.345592409447374,1,0.024784,1,-0.860026512015541,1,0.035685,1,-0.550660473825032,1,-0.095885,1
CAMKMT,1.50329170487852,0.891289,-0.2266,0.999976,-1.3503925755934,0.953337,0.54445,0.894326,0.356586806625063,1,-0.099432,1
CAMKV,-1.25302348157919,0.951751,0.14981,0.844713,1.12741838530899,0.981243,-0.1855,1,0.706902744308352,1,-0.012056,1
CAMLG,2.2230882560266,0.512332,-0.44116,0.111592,1.61423290637322,0.849883,-0.75175,0.69774,0.748946097812692,1,-0.74154,0.057883
CAMP,-0.277473019197523,1,-0.16167,0.999976,0.181167310242998,1,0.056831,1,-0.178519225053661,1,0.34059,0.93485
CAMSAP1,-1.12748245128022,0.959576,0.20003,0.67946,0.266907106551613,1,-0.0095076,1,0.132296866729902,1,-0.025819,1
CAMSAP2,1.01247673622151,1,-0.19717,0.89781,-0.078677756416178,1,0.6071,0.681112,1.74196166162944,0.82978,0.19263,1
CAMSAP3,0.305719546609294,1,-0.2007,0.999976,2.19649508727475,0.610951,0.011551,1,2.49719065061096,0.499874,-0.70461,0.648312
CAMTA1,-0.854896866853618,0.988703,0.051998,1,-0.641075784611489,1,0.21571,1,0.644376098987975,1,-0.11596,1
CAMTA2,0.26076002984846,1,0.07183,1,-1.7512422773727,0.920116,0.14652,1,-2.30164713209893,0.677427,1.2098,0.366156
CAND1,3.58772429806417,0.106407,-0.32651,0.087797,2.74870253632243,0.413599,-0.064237,1,4.6122721251321,0.034249,-0.5199,0.192644
CAND2,-0.712063972955298,0.990863,0.093493,1,-1.31554963109032,0.953337,0.42103,0.920426,-0.575363335349803,1,-0.083049,1
CANT1,0.125477595927727,1,-0.087067,0.999976,0.665003719756775,1,-0.38846,1,0.495080801930038,1,-0.46812,1
CANX,-0.658051353587494,0.995784,0.091718,1,0.248998193769126,1,-0.12534,1,-0.620730750526353,1,-0.1828,1
CAP1,-0.670561439220549,0.993534,0.2088,0.851669,-1.34330780575061,0.953337,0.051794,1,-1.10946162017097,0.965348,0.42404,0.849352
CAP2,-3.43252662303974,0.611949,-0.12285,0.999976,-0.288066295838203,1,0.20622,0.98544,0.442793660234468,1,0.080291,1
CAPG,0.659080206599837,1,-0.099813,0.999976,-0.835349784065703,1,0.80502,0.844596,-0.611135367424406,1,0.4231,0.96538
CAPN1,0.701605466287054,1,-0.077491,0.999976,1.18445545588706,0.9697,-0.01043,1,-0.998266287190999,0.977265,0.29355,0.977553
CAPN10,1.07186029312488,1,-0.16974,0.999976,-1.06450784909545,0.980815,-0.61495,0.482179,0.506876686883984,1,-0.086038,1
CAPN11,0.635805591393062,1,-0.30519,0.944483,0.573830452964674,1,-0.6524,0.803374,0.0743991625740259,1,-0.39824,0.712274
CAPN12,2.35927018184929,0.453192,0.27444,0.851961,1.75337833730401,0.781428,0.44395,0.894177,-1.42756988389496,0.930769,0.55618,0.873346
CAPN13,0.868220990630813,1,-0.10106,0.999976,-1.15549797263451,0.967383,-0.58067,1,-0.697193037258579,1,-0.18447,1
CAPN14,0.601851579991369,1,-0.26385,0.999976,-1.27128107709714,0.953337,1.0383,0.786731,-0.461702814832026,1,0.19457,1
CAPN15,-0.557959450993695,1,-0.019584,0.999976,1.69374657947788,0.810242,-0.38413,0.866038,2.72946090573945,0.428119,-0.069301,1
CAPN2,-0.744510401924464,0.990863,0.11685,0.862664,0.167388912376952,1,-0.14445,1,0.807488300496499,1,0.36452,0.988129
CAPN3,0.736009067318687,1,-0.27621,0.999976,-0.773503203644481,1,0.29193,1,-0.538561504246437,1,-0.01516,1
CAPN5,-0.85430647609578,0.988703,0.20065,0.940593,1.02183318342007,1,-0.13303,0.39829,-0.936028993035238,0.986752,0.081471,1
CAPN6,0.619752568589452,1,0.13892,0.962219,-0.536838913634851,1,0.48167,0.813896,-0.13697470377053,1,0.35576,0.673719
CAPN7,-0.235091939815547,1,0.057809,1,-0.12926260035311,1,0.38092,0.79757,-0.296906464424819,1,0.20437,0.955688
CAPN8,-0.970494474573423,0.975134,-0.068364,0.999976,0.968026310908283,1,0.17188,0.981518,0.111012223712782,1,-0.070251,1
CAPN9,2.08776731215384,0.583383,-0.19948,0.999976,0.574009553546474,1,0.27108,1,0.814174640387038,1,-0.6281,1
CAPNS1,-0.566214170256201,1,-0.084288,0.999976,0.14405100261182,1,0.095674,0.989748,0.25380187100845,1,-0.025122,1
CAPNS2,-1.03877355144491,0.965028,0.14988,1,-0.488852221505227,1,0.46101,0.964488,-0.780336899262978,1,0.31865,0.962881
CAPRIN1,0.265488195943034,1,-0.079602,0.999976,-1.69256814828025,0.923473,-0.51507,1,-2.17545765153313,0.720171,-0.88813,0.799649
CAPRIN2,0.888166421851153,1,0.018213,1,1.14992993925255,0.97735,-0.2555,1,0.231991230677911,1,-0.46086,1
CAPS,-1.03241458621533,0.965028,0.025961,0.953268,0.956205607674221,1,-0.50106,1,-1.03827524330219,0.973935,0.16867,0.974215
CAPS2,-0.216089277784659,1,0.023954,1,-1.63089551442837,0.934206,0.2968,0.580083,-0.944392348291288,0.986752,0.45059,0.781361
CAPSL,0.77756968533951,1,0.37085,0.756923,-0.628858221553819,1,0.57071,0.85967,-0.511463384198656,1,0.60914,0.78068
CAPZA1,0.345188369807202,1,0.12481,1,-0.351074310842787,1,0.10097,1,-0.663880630191313,1,0.32177,0.937092
CAPZA2,-0.271589398118806,1,0.50117,0.658996,1.2544724035458,0.959604,-0.5557,1,-1.0602811176459,0.971275,0.058047,1
CAPZA3,1.5815329790534,0.843524,0.61804,0.654929,1.18122663333681,0.9697,-0.91842,0.804511,-1.93764368191456,0.776174,0.8038,0.667997
CAPZB,3.1700854276193,0.183512,-1.1917,0.00099,0.60479596063815,1,-2.922,0.029359,-2.24515495651788,0.702448,-2.4593,0.001971
CARD10,1.04774531101389,1,0.023968,1,0.847742240812344,1,-0.56902,1,-0.280585840297407,1,-0.17928,1
CARD11,-2.58676731360548,0.792025,-0.0038171,0.999976,-2.90225694105512,0.552805,0.65669,0.580083,-0.70898654603462,1,0.21939,0.948397
CARD14,-0.146697334421676,1,0.15868,0.860462,0.162891570839046,1,0.24628,1,0.840974508775095,1,0.19337,0.789069
CARD16,-0.130299026326122,1,0.0805,1,-0.538411442228461,1,0.26871,0.981518,-0.636801830984236,1,-0.11591,1
CARD17,-2.06638112769887,0.86574,0.47405,0.677582,-0.156910556500589,1,0.25842,1,-1.30754085941657,0.949737,0.53854,0.776015
CARD18,-0.680040770929819,0.993534,0.093333,1,-0.84939704820699,1,0.50377,0.773624,-0.521649984172325,1,0.24669,0.977553
CARD6,1.75456136596423,0.751559,0.0037866,1,-0.43186870777605,1,0.11734,1,1.60310355085748,0.876862,0.090935,1
CARD8,0.370998380713008,1,0.15725,0.995801,0.57698362528518,1,0.12061,0.993466,0.616705381636289,1,-0.12664,1
CARD9,1.08410441283888,1,-0.21426,0.999976,0.638820098186399,1,0.14845,1,0.83061950468805,1,-0.19047,1
CARF,-0.574873529491226,1,0.28398,0.86823,0.832534971156912,1,-0.33515,1,0.562899780578338,1,0.3292,0.946257
CARHSP1,0.575624791192084,1,0.21125,0.830887,-0.581118931465642,1,-0.15445,1,-1.62111175040959,0.904059,0.54328,0.883639
NAXD,-0.260127154976869,1,-0.15966,0.999976,-1.1275931329502,0.972238,0.26064,0.979034,1.10668774063725,0.972098,-0.034633,1
CARM1,2.15133065259649,0.54679,-0.24253,0.999976,2.59532019452093,0.450804,-0.50163,0.700378,5.74765677561991,0.003825,-1.5803,0.005111
CARNS1,-0.673356963897365,0.993534,-0.013229,0.999976,1.96517108434416,0.700655,-0.72756,0.714286,1.08322505539889,0.978003,0.050842,1
CARS1,2.49701330124649,0.400533,-1.688,0.000464,-0.707079700399994,1,-1.8894,0.111993,-1.80551340945029,0.82318,-2.5204,0.008264
CARTPT,2.38486040566607,0.447258,-0.25222,0.955793,-0.717377887121937,1,-0.46652,1,0.43149320320197,1,-0.57427,0.198096
CFAP94,0.461137335326615,1,0.14007,1,0.800436788232764,1,0.43963,0.968917,1.3835454923985,0.925913,0.67283,0.697097
MIR1915HG,0.394975234269976,1,0.080375,1,1.66442175723755,0.824234,-0.99732,0.98858,-0.153001433016748,1,-0.1332,1
CASC3,0.734616075043825,1,-0.1159,0.999976,2.02129462825348,0.683563,-0.74763,0.844106,0.777829991318235,1,-0.18026,1
GOLM2,-2.22311729271452,0.83798,0.076878,1,0.682187291849178,1,-0.047142,1,0.751168807192038,1,0.1045,1
KNL1,1.00581047033542,1,0.19019,0.923732,-0.698970004336019,1,-0.53938,1,-1.57215699429447,0.904059,-0.017829,1
CASD1,0.354538429761157,1,0.16612,0.926012,-0.550120661376798,1,0.79163,0.813896,0.132691645104824,1,0.21338,0.752211
CASK,-0.854461764287767,0.988703,-0.0024489,0.999976,-0.54625369322961,1,0.41941,0.901237,-0.154511270735833,1,0.29514,0.792369
CASKIN1,-1.37775488307654,0.944459,-0.10738,0.999976,-1.25802158578403,0.953337,0.28166,0.930126,2.54143768701801,0.49134,-0.23778,0.85414
CASKIN2,0.457460878655723,1,-0.20654,0.813668,0.838392453091603,1,-0.73168,0.782,0.195915113568,1,-0.26684,1
CASP1,1.33798866308062,0.957556,0.033017,0.947211,-0.754117352482739,1,0.25545,0.917786,-0.134043678067427,1,0.030135,1
CASP10,2.02123989732449,0.615993,0.070912,1,1.73445110087968,0.792643,-0.79725,1,0.706637445288554,1,0.30876,0.988704
CASP14,-1.31687187700042,0.949586,-0.091852,0.999976,-1.04843907618962,0.980815,-0.19106,0.652758,-1.01854383347787,0.974491,0.017221,0.967482
CASP2,-1.63880119239087,0.92333,0.38688,0.759568,0.556737012541305,1,-0.22727,1,-1.17614120579309,0.956239,0.39767,0.942122
CASP3,-1.68176966081218,0.920719,0.043954,1,-0.102818426425845,1,0.30988,0.960606,-0.276839978695731,1,0.28975,0.968086
CASP4,0.19899440415366,1,-0.069173,0.999976,0.135839106186749,1,0.68125,0.540815,1.01677527134894,0.994117,0.54994,0.641759
CASP5,-1.39688811945424,0.944459,0.4295,0.759568,-0.832830409591369,1,0.15427,0.866649,-2.23409313287783,0.705558,0.40992,0.794546
CASP6,-0.24951474756712,1,0.15205,0.852508,-0.811690369805996,1,0.60794,0.774026,-0.447538640039326,1,0.5692,0.673719
CASP7,-1.39520174672733,0.944459,0.19706,0.929708,-0.757135703859293,1,0.59924,0.953832,0.903576669404729,1,0.415,0.927754
CASP8,2.51446311691325,0.394136,-0.031281,0.999976,0.765989182412821,1,0.15263,1,1.24802073734301,0.95673,0.021611,1
CASP9,0.190379690362159,1,-0.17681,0.999976,-1.8518911422703,0.892757,0.39112,0.733965,0.330367045776836,1,0.14533,1
CASQ1,-0.769806621130954,0.990863,0.054932,1,0.515330100114667,1,0.023259,1,0.459082685741163,1,0.18901,1
CASQ2,-0.790190194214621,0.990863,0.29803,0.781828,-0.193433404634957,1,-0.24221,1,0.784917884986825,1,0.19114,1
CASR,-1.39010691597072,0.944459,0.1168,0.756327,-0.08879976321897,1,0.090179,1,0.491012661363082,1,0.13931,1
CASS4,-1.49142988342095,0.942718,0.36543,0.651427,0.950781977329818,1,-0.34022,1,0.645526599414188,1,0.18567,0.977553
CAST,0.468814969815504,1,0.18194,0.86823,1.16196991701468,0.975182,0.044675,1,0.254651907615709,1,0.27284,0.927085
CASZ1,-0.728809161298705,0.990863,0.070557,1,0.356044228238258,1,0.12078,1,-0.94381957665786,0.986752,0.391,0.75811
CAT,0.415646156717233,1,0.12176,0.929175,0.96657624451305,1,-0.26997,1,-0.383052113071073,1,0.12652,1
CATIP,-0.546681659952962,1,0.020588,0.917441,-0.725265015127262,1,0.32313,0.917786,-1.01680687035499,0.974491,0.60829,0.398552
CATSPER1,0.757433727190188,1,0.04887,1,-1.32908651500054,0.953337,0.38653,0.917122,1.17711958197711,0.960285,0.081341,1
CATSPER2,1.64932565176672,0.810079,-0.12729,0.999976,1.31477793466538,0.940682,-0.324,1,1.83600424535826,0.795442,0.10513,0.875353
CATSPER3,0.166253834749992,1,-0.11784,0.999976,-0.241315150117559,1,0.046644,1,0.65233829087838,1,-0.14859,1
CATSPER4,-0.98707845445544,0.970306,0.034903,1,0.696739127344423,1,-0.04998,1,0.411347401849827,1,0.28386,0.977553
CATSPERB,-1.38461816256036,0.944459,0.31192,0.866089,-0.982299028775883,0.991669,0.38814,0.917786,0.921579435086,1,0.13103,1
CATSPERD,0.893401186787463,1,-0.03687,0.999976,-1.71858025984601,0.922265,0.12143,1,0.975555382868651,1,-0.15749,1
CATSPERG,-0.800738619822922,0.990863,-0.091977,0.999976,-1.00573565230117,0.988662,0.29023,0.787905,0.24513968220698,1,-0.23246,1
CAV1,0.930924190233602,1,-0.22373,0.999976,-1.47987033540039,0.952936,0.27949,0.899629,-0.656768705435961,1,0.42675,0.836592
CAV2,-1.53716792462173,0.938196,0.21205,0.966244,-1.49542040758528,0.951437,0.50874,0.8486,1.50435854675128,0.90284,-0.046333,1
CAV3,0.560872657557154,1,-0.019618,0.999976,-0.707588851162175,1,0.11187,0.975639,0.215232976463417,1,-0.32692,0.821834
CBFA2T2,0.270009539760605,1,-0.060607,0.999976,1.00150090651759,1,-0.57191,1,2.17059329549061,0.672766,-0.29157,1
CBFA2T3,1.89099549245862,0.683772,-0.6358,0.441266,3.87137459512405,0.125062,-3.5842,0.111923,2.22871391087854,0.648089,-4.357,0.068627
CBFB,3.08248398768493,0.202901,-0.010003,0.999976,4.42578347281254,0.051349,-1.7481,0.690865,4.36913499930527,0.052777,-1.5671,0.043903
CBL,0.408345598575374,1,0.17582,0.916744,0.51982052397487,1,0.059321,1,1.37716452047848,0.929595,-0.19699,1
CBLB,-0.780572665492319,0.990863,0.10693,0.967833,-0.605460768627796,1,0.037029,1,0.443878492976488,1,0.12077,0.979921
CBLC,-0.188605987873182,1,0.060826,1,0.809304207508268,1,-0.79211,0.165029,-0.622766623247251,1,-0.16173,1
CBLL1,0.799450439859226,1,0.2165,0.715588,1.56272520258988,0.857882,-0.6873,0.831879,1.39197701234672,0.922887,-0.14106,1
CBLN1,0.600949618126351,1,0.14729,1,0.141288397842024,1,-0.45617,1,0.266794707343188,1,-0.017562,1
CBLN2,-0.870793642252471,0.988703,0.08244,0.991009,-0.538141461191472,1,0.34797,0.850819,0.42513568633546,1,0.25128,0.955688
CBLN3,0.319419754906021,1,-0.0619,0.999976,0.92551269501431,1,-0.31693,1,-0.44057220024051,1,0.12005,0.982144
CBLN4,0.610851642302622,1,0.01286,1,-0.87739097642401,1,0.4142,0.943629,2.13806552957632,0.684113,-0.022677,1
CBR1,-0.448928344558015,1,0.48225,0.732036,-0.452459113780381,1,0.43374,0.942855,-2.31432094759939,0.677427,0.57673,0.750007
CBR3,1.16888562086085,1,-0.23206,0.999976,-1.63006092097076,0.934206,0.6675,0.747858,0.880183454062784,1,0.46775,0.851791
CBR4,0.553524968198213,1,-0.044447,0.999976,0.554006818212353,1,-0.20393,1,-0.831708811148734,0.99846,0.31499,0.93485
CBS,-1.62358730300878,0.923449,0.20057,0.87082,0.131949522965906,1,0.36694,0.970892,0.879919865870547,1,0.29852,0.926074
CBWD1,-0.474139227068146,1,-0.49568,0.999976,2.62053131247409,0.4469,-0.73764,1,2.55558043534136,0.45498,-1.7323,0.907491
CBWD2,0.578642901486857,1,-0.15099,0.999976,1.91189936535734,0.720905,-0.32457,1,2.85539466128526,0.374831,-0.26186,1
CBWD3,1.75485762734704,0.748461,-0.51501,0.375541,0.302770657240282,1,-0.69247,0.692021,1.58534413709194,0.879906,-1.3031,0.133538
CBWD5,0.85808012608612,1,-0.15695,0.999976,2.1008692276638,0.652647,-1.3703,0.950539,1.42980743890427,0.911813,-0.78707,0.961075
CBWD6,1.21932272556663,1,-0.022688,0.879144,0.652826163586793,1,0.47751,0.914878,1.17111463815956,0.960285,-0.23816,0.94045
CBX1,-0.97802554488994,0.973464,0.29478,0.840473,1.27060839929202,0.953719,-0.073945,1,1.88107424717422,0.77654,-0.077317,1
CBX2,1.01824932741485,1,0.21048,0.730943,1.80762771640149,0.755829,-0.28644,1,-0.893911141617558,0.987376,0.41335,0.808984
CBX3,-1.18649240072449,0.958282,0.273,0.880704,1.11475754860452,0.965534,-0.97632,1,-0.669038630388409,1,-0.79809,1
CBX4,0.39593602733611,1,-0.20428,0.999976,-0.689009472865421,1,-0.35717,0.4479,-1.41568008553187,0.931382,-0.21856,1
CBX5,0.585544773622279,1,0.064067,1,-0.276996097763076,1,0.32742,0.802557,2.0134611458212,0.724249,-0.059358,1
CBX6,0.412614597286474,1,-0.1954,0.999976,0.264385133886425,1,0.30691,0.917786,-0.966616458826881,0.981546,0.013036,1
CBX7,0.79474148799594,1,0.037915,1,1.29679462930451,0.944633,-0.32782,1,0.640657883227632,1,0.022868,1
CBX8,0.297819427141675,1,0.12629,0.760785,1.07669379568145,0.996614,-0.17963,1,0.592490127036016,1,0.24862,0.744214
CBY1,1.64677642390254,0.811885,-0.19927,0.999976,0.801562864674438,1,-0.40654,0.946971,0.502130858502907,1,-0.17072,1
CBY3,-1.07845397777667,0.961724,0.3049,0.783845,0.750092670064082,1,-0.42692,1,-0.636801830984236,1,0.21977,0.990533
CC2D1A,-1.22701122479723,0.955014,0.02868,1,-0.572643744241078,1,0.26255,0.854048,-0.237366443214094,1,-0.23186,1
CC2D1B,-3.33601654539173,0.645842,0.0070368,1,-0.180785200117616,1,-0.37769,1,-0.57379789715642,1,-0.082815,1
CC2D2A,-0.327218896995732,1,0.13692,0.90754,-0.343777183896398,1,0.051429,1,-1.47109614886159,0.922511,0.20766,0.905579
CC2D2B,0.753107679846401,1,-0.042805,0.999976,-0.954677021213343,0.995535,0.43097,0.968917,-0.9313318567141,0.986752,0.35964,0.988704
CCAR1,0.926538270720165,1,0.11942,0.929175,0.577278874028442,1,0.21643,0.926578,-0.859554811652125,0.994025,0.32011,0.834853
CCAR2,0.749970550309066,1,0.11392,1,0.898493503860073,1,-0.0031461,1,-0.778481439677721,1,0.42427,0.788034
CCBE1,-1.9036462400067,0.872228,-0.087633,0.999976,-0.569360663835345,1,0.19451,0.962912,0.131408455899711,1,-0.069468,1
KYAT1,-2.59591925690006,0.792025,-0.086561,0.999976,-0.793470948317269,1,0.23808,0.993466,-0.541619027143222,1,-0.28946,1
KYAT3,-0.995463682148677,0.970001,0.37928,0.802142,-2.18593895115975,0.805532,0.50315,0.924739,-0.741650107480678,1,0.30338,0.955688
SGF29,3.21015850744798,0.173943,-0.74202,0.191973,1.0537049741204,0.998139,-2.12,0.111923,0.533073094343511,1,-2.4353,0.007312
CCDC102A,-0.145560349681667,1,0.094659,0.945523,1.55185042831405,0.864289,-0.12293,1,-1.94884747755262,0.776174,-0.18805,1
CCDC102B,0.873349179332519,1,-0.069612,0.999976,1.04029097575357,0.998139,-0.25922,1,-0.750923996316388,1,0.44777,0.838144
CCDC103,-1.96149905692333,0.869953,0.37527,0.635681,-0.107788487609222,1,0.48441,0.802468,0.119918467701906,1,0.46688,0.750007
CCDC105,-1.04047685582504,0.965028,-0.058027,0.999976,-1.1697514586722,0.964595,0.31945,0.942818,0.177002060393146,1,-0.36508,0.887487
CCDC106,0.55662747459512,1,0.20466,0.868305,0.765330891811094,1,-0.56545,0.970184,0.186085579951397,1,0.2477,0.878605
CCDC107,-0.166196521900841,1,-0.030121,0.999976,0.963411023244596,1,-0.66085,0.810058,0.744438061709105,1,-0.29752,1
CFAP65,-0.164296748561824,1,0.049529,1,-0.988556437977925,0.991461,0.42661,0.942855,0.291876663756273,1,0.23875,0.956538
MCUB,-0.673397908036351,0.993534,0.083749,0.987515,-1.30485993938031,0.953337,0.45076,0.733965,-0.317250402139351,1,0.22057,1
CCDC110,-0.349537052519298,1,0.35652,0.67946,0.620621954780662,1,-0.26122,1,-0.719672081252324,1,0.29632,0.781361
CCDC112,-1.22878009805047,0.954547,0.53194,0.635681,0.269266161363447,1,0.44956,0.972588,0.10265886755519,1,0.67741,0.663803
CCDC113,2.30768195574072,0.475995,0.036263,0.968209,1.39077922336383,0.924377,0.109,1,1.91962608329869,0.765808,-0.23457,1
CCDC114,1.12719131844329,1,-0.17474,0.999976,0.985899678480379,1,-0.66128,0.522989,0.608359296507612,1,-0.63608,0.956897
CCDC115,0.884489337615002,1,-0.25091,0.999976,0.103214826218803,1,-1.5695,0.242421,-1.1595363246789,0.960115,-1.0365,0.223277
CCDC116,1.73313355877882,0.758484,-1.5163,0.012571,1.03819936080832,0.998139,-2.3545,0.229247,-1.06733348382396,0.971275,-2.5386,0.179969
CCDC117,-1.89794380742481,0.875727,-0.0055262,0.999976,0.665827827275394,1,-0.12982,1,1.46959537340718,0.90789,-0.0025096,1
CCDC12,0.739451627363021,1,-0.21318,0.561714,1.06154031968595,0.998139,-2.5582,0.358939,-1.38293672221036,0.934525,-0.32607,1
CCDC120,-0.573098536918337,1,0.024097,1,-1.68550077202685,0.923473,-0.31221,1,-1.3000929312487,0.949737,0.17116,0.977553
CCDC121,0.274619315085207,1,-0.021499,0.999976,0.450187790267469,1,-0.10028,1,0.508022325235832,1,-0.088113,1
CCDC122,0.953621911951727,1,0.27961,0.701772,0.986446569458324,1,-0.01447,1,-0.91296433519434,0.986752,0.37758,0.526524
CCDC124,-1.13781493375357,0.959576,-0.01122,0.98153,-0.465453560345933,1,0.3343,0.953832,1.31742174814492,0.943405,-0.047333,1
CCDC125,-1.32109939155528,0.949586,-0.010541,0.999976,0.184282821703507,1,-0.27787,1,-1.17354292716309,0.956506,-0.039245,1
CCDC126,-0.875691447384348,0.988703,0.13305,0.944568,0.506221400458135,1,-0.39787,1,0.226901366752533,1,0.30345,0.976739
CCDC127,-2.46526335004964,0.792127,0.084874,0.880704,0.630505837881901,1,0.041509,1,-1.5561895988786,0.904059,0.12897,1
ITPRID1,-0.90284685015404,0.983944,0.3156,0.754107,0.603103550857476,1,-0.59426,0.679873,-0.794443794306083,1,0.25627,0.983335
CCDC13,0.32886419890564,1,-0.085435,0.999976,0.152211481061963,1,0.18435,0.976785,0.722024253776777,1,0.19604,0.968928
CCDC130,1.59203155359784,0.834653,-0.51904,0.671934,1.45618019485734,0.893895,-1.4896,0.861971,-1.26303012954016,0.953202,-1.5534,0.499053
VPS50,-1.66653257309463,0.920719,-0.035139,0.999976,-1.38245451051758,0.953337,0.57199,0.774026,0.776504059037605,1,0.36977,0.801459
CCDC134,0.709520186669327,1,0.11273,0.956904,1.2717761198662,0.953639,0.06634,1,0.524881108872333,1,0.12297,1
CCDC136,-0.701474404678001,0.990863,-0.072397,0.999976,-0.8555503391311,1,0.092188,1,-2.32867902238729,0.674237,0.11585,1
CCDC137,1.18800296850123,1,0.024293,0.869675,4.21172554381611,0.074513,-2.2917,0.164746,0.94127037924828,1,-0.63509,0.543961
CCDC138,0.608359296507612,1,0.70045,0.775067,2.7534275658783,0.409924,-0.99998,1,-0.704718858883152,1,0.061911,0.952596
CCDC14,-1.31391812266537,0.949586,0.0091314,1,0.470197625938577,1,-0.61805,0.727124,-0.616202580443336,1,-0.40493,0.449806
CCDC140,0.824053529904454,1,0.20199,0.928398,-0.273680387889225,1,0.2121,1,-0.487368960190779,1,0.54931,0.822214
CCDC141,-1.53310273598308,0.938809,0.063473,1,0.15382995634,1,0.033872,1,-0.815649325953044,1,-0.16356,1
CCDC142,0.149543695325769,1,-0.16951,0.999976,0.639482320061572,1,-0.27361,1,1.16999548763575,0.960285,-0.32241,1
CCDC144A,-0.771240444564364,0.990863,-0.2387,0.999976,0.527741007610967,1,-0.0423,1,0.16655325812899,1,0.063547,1
CCDC144NL,1.77363212414351,0.747937,-0.32261,0.999976,0.399451810275916,1,-0.10767,1,1.18070618480745,0.960285,-0.24725,1
CCDC146,-0.892688254509326,0.986489,0.032773,0.828513,0.584308989059276,1,0.12871,1,-1.28287895239347,0.952336,-0.2207,1
CCDC148,1.62782471388494,0.817921,0.28773,0.701772,-0.770676592103817,1,0.77228,0.882375,-0.469685017679468,1,0.53037,0.784623
CCDC149,-0.629264916284168,0.998435,0.25958,0.685232,0.251308173511546,1,0.20297,1,0.31496624566675,1,0.43873,0.774872
CCDC15,2.13847156297135,0.553714,0.15682,0.767268,-1.97375281852223,0.855967,0.52641,0.712604,0.650780771006111,1,0.080818,0.969499
CCDC150,-0.541906303953396,1,0.37935,0.865157,0.700645265041493,1,-0.12523,1,-0.669971986483384,1,0.36917,0.822838
CCDC151,0.16218437408532,1,-0.033688,0.999976,-1.027686055711,0.982033,0.39627,0.85445,-0.325497093328126,1,0.15603,1
CCDC152,-0.196665815280907,1,0.68407,0.65645,0.166113750024756,1,0.046379,1,-0.407656665417956,1,0.3941,0.970355
CCDC153,-0.464338847340557,1,0.2617,0.635681,0.33598830257617,1,-0.3558,0.886316,-1.40127513464295,0.933154,0.21962,0.887503
CCDC154,-1.22202974336013,0.955611,-0.10645,0.999976,-1.39748423870342,0.953337,-0.44913,0.834246,-1.38423927049124,0.934525,-0.33602,0.78692
KASH5,0.572513890904214,1,-0.26137,0.999976,-0.585795699701657,1,0.60388,0.894177,-0.591132796613181,1,0.11291,0.966553
CCDC157,1.42957382164103,0.913319,-0.058525,0.999976,0.742537426369671,1,-0.11232,0.996306,1.53697347891357,0.89911,-0.010255,1
CCDC158,-1.66572724259284,0.920719,0.16295,0.910815,-2.88850225119197,0.559437,0.66517,0.733965,-0.544393887418133,1,0.22119,0.785451
CCDC159,-1.11528957808902,0.959576,-0.00010412,0.999976,-0.678049637480583,1,0.39305,0.795406,0.203245326338039,1,0.2994,0.97579
CCDC160,-0.80732106046546,0.990863,0.25232,0.760785,-0.82544596547917,1,0.017969,0.960671,-1.17774690142027,0.955547,0.36577,0.952511
