"Supplemental Table S0. Genome-wide Etoposide score (etoposide vs. vehicle controls) and essential score (vehicle control vs. day 0 replicates) at day 4 (early), day 12 (intermediate), and day 18 (late) using MAGeCK-RRA",,,,,,,,,,,,
Gene,Day4.Etop.Score,Day4.Etop.FDR,Day4.Ess.Score,Day4.Ess.FDR,Day12.Etop.Score,Day12.Etop.FDR,Day12.Ess.Score,Day12.Ess.FDR,Day18.Etop.Score,Day18.Etop.FDR,Day18.Ess.Score,Day18.Ess.FDR
ABCA9,-0.415974246344694,1,0.27532,0.859393,0.796477583177415,1,0.093395,1,1.56645416942338,0.893854,0.54689,0.901281
ABCB1,-0.781359478586152,0.990863,0.17055,0.931283,-0.801507866322956,1,0.24212,1,-1.30622030596179,0.949737,0.23575,0.938407
ABCB10,-1.48940137650008,0.942718,-0.011182,0.999976,-1.27327279097343,0.953337,0.65661,0.789724,0.173730780606274,1,0.28809,0.75811
ABCB11,-0.670134514241992,0.993534,0.57782,0.635681,1.97146941348867,0.69906,-0.89691,0.793379,-1.12113366304327,0.964769,0.33802,0.774416
ABCB4,-1.32617763284695,0.949438,0.20918,0.903795,-0.759201228882669,1,0.52801,0.94498,-0.841366158641375,0.996785,0.29301,0.981354
ABCB5,0.607813246712937,1,-0.1151,0.999976,-1.04529449000307,0.980815,0.41555,1,-1.65621734533047,0.889065,0.34731,0.909053
ABCB6,-0.098525331565929,1,-0.03081,0.999976,0.414810083937338,1,0.22402,0.968917,-0.0954034558131455,1,0.22931,0.96599
ABCB7,1.97203914021455,0.64264,-0.74517,0.082363,2.26452885276102,0.586819,-3.9287,0.225341,1.28829397758106,0.949923,-4.0275,0.067312
ABCB8,-0.105744875765437,1,-0.0015777,0.999976,-2.28633308684107,0.782436,0.50376,0.762533,0.962055844796901,1,0.32759,0.883871
ABCB9,0.180475805565065,1,0.0095453,1,0.23489796175784,1,0.13737,1,-0.236369881910478,1,0.14173,1
ABCC1,-12.0873475832922,0.001238,0.12144,0.929175,-12.237081477992,0.00099,0.2567,0.903365,-7.08701315330034,0.001238,0.0056827,1
ABCC10,-2.09241130269015,0.86574,0.091885,0.868634,1.22604542640383,0.964637,-0.50699,1,-0.968066659724395,0.981531,-0.13956,1
ABCC11,1.5798461395254,0.843524,-0.076218,0.999976,-0.873576346262662,1,-0.17161,1,-0.788986309396175,1,0.070943,1
ABCC12,0.646583908946644,1,-0.037591,0.999976,0.552671386473483,1,0.24935,0.951933,-0.814231266566387,1,0.056885,1
ABCC2,0.256686260768874,1,-0.17902,0.999976,0.883259464547056,1,-0.043476,1,0.587220359179703,1,0.04533,1
ABCC3,0.552144555654465,1,-0.44963,0.176048,1.06925976548467,0.998139,-0.45345,0.86606,0.573928135034789,1,-0.23741,1
ABCC4,-0.728367462512877,0.990863,0.29083,0.868037,-0.545810886125232,1,0.48556,0.712604,-0.699752438805915,1,0.31917,0.90706
ABCC5,-1.43553515418609,0.944459,0.38479,0.807281,0.715050678596326,1,0.37397,0.990054,0.308017243344224,1,0.3712,0.878605
ABCC6,0.867068250785085,1,-0.2374,0.999976,-1.37531577484171,0.953337,-0.0047513,1,-1.18579237185698,0.955547,-0.067741,1
ABCC8,0.706858516549069,1,-0.27228,0.999976,-0.695251040512904,1,0.58824,0.791955,1.41851684172414,0.914304,0.28706,0.954267
ABCC9,-0.849704187174462,0.988703,0.059463,0.994025,-0.77231892724713,1,0.55902,0.722216,0.180515290471165,1,0.50807,0.739836
ABCD1,-0.792473344536666,0.990863,-0.0043526,0.999976,-0.605163228720844,1,0.49475,0.887853,-0.8254169108224,0.999962,-0.013886,1
ABCD2,1.25993747221561,0.992039,-0.19725,0.986496,-1.03912508382678,0.980815,0.34901,0.879561,0.484298319318759,1,0.25207,0.955688
ABCD3,-0.974407431148326,0.975134,0.0081137,1,-0.519073671715312,1,0.97738,0.609244,-0.449857290920599,1,0.88199,0.492596
ABCD4,0.733603650811407,1,-0.065236,0.999976,-0.110776757777369,1,0.16717,1,1.41268198548593,0.914304,0.012198,1
ABCE1,2.36493868931557,0.451536,-0.69509,0.187335,0.200211599932445,1,-2.0977,0.771567,-1.98855643797793,0.767136,-1.8354,0.24141
ABCF1,3.78454750711675,0.08496,-1.03,0.008897,0.866109966014321,1,-2.374,0.058588,1.42222106330478,0.914304,-2.5606,0.002475
ABCF2,-0.0772693533342481,1,-0.11991,0.999976,-2.43879124912005,0.714952,0.62122,0.734878,-1.54772276687365,0.904059,0.47121,0.800647
ABCF3,-0.915209308592095,0.983519,0.045742,1,-0.638177762399185,1,0.02854,0.99702,0.450506286784987,1,0.040628,1
ABCG1,1.03310770413286,1,-0.039755,0.999976,1.47495519296315,0.891054,-1.0763,0.223179,-0.745645307946833,1,-0.63132,0.484031
ABCG2,0.480355734590925,1,0.21084,0.685133,0.625618301949118,1,-0.403,0.846045,-0.421899695244093,1,0.19,0.988704
ABCG4,0.242573602025333,1,0.091552,0.940169,0.152001891374356,1,0.44759,0.842968,0.183301439755684,1,0.57815,0.569752
ABCG5,0.650683611229893,1,-0.24925,0.999976,-0.195329103822796,1,-0.54996,0.952698,-1.20369631795635,0.955547,-0.14672,1
ABCG8,-0.263938312406875,1,-0.039401,0.999976,-0.22077880894599,1,-0.289,0.7065,1.30213450697195,0.944833,-0.44535,0.11711
ABHD1,1.30155146198467,0.971877,0.19873,0.927114,1.38138716455582,0.926476,-0.19696,1,-1.08444715966584,0.971275,0.37407,0.86923
ABHD10,-0.650508778389783,0.996776,-0.0034227,0.999976,0.726582005228546,1,-0.24835,1,1.35617241287665,0.936357,0.46825,0.769105
ABHD11,-1.92285020528303,0.870701,0.28248,0.837352,0.596141976416757,1,-0.5675,0.653978,0.657241857580709,1,-1.4198,0.114958
ABHD12,0.296760224291274,1,-0.040439,0.999976,1.0772849195377,0.996375,-0.59503,0.661527,0.993277307798315,0.996063,-0.35968,1
ABHD12B,-0.450543051417985,1,-0.0047751,0.999976,-2.47841738446967,0.686403,0.4072,0.86888,-0.833185201209088,0.997887,0.23824,1
ABHD13,-1.00130919772305,0.968816,0.1111,0.86823,-1.77694558682089,0.916301,0.15686,0.85967,0.54712535624405,1,-0.13399,1
ABHD14A,-1.02644730009614,0.965028,-0.11122,0.999976,0.828829565098379,1,-0.34859,0.965535,1.27428433423392,0.953702,-0.050455,1
ABHD14B,0.707854732185879,1,-0.052048,0.999976,-0.33423144928062,1,-0.20347,0.188634,-1.37296203657641,0.934525,0.11548,0.954679
ABHD15,2.02546988583017,0.615314,-0.084316,0.999976,1.26678667994132,0.954954,-0.30784,0.950337,2.25082817029173,0.639911,0.0052856,1
ABHD16A,0.478927327017061,1,-0.3046,0.70417,-1.52311043079232,0.951437,-0.035581,1,0.593000221623554,1,-0.62085,0.31987
ABHD16B,-0.36966367210176,1,-0.13876,0.999976,-0.609753954890779,1,0.0229,0.948633,-1.01218184792914,0.975133,0.092574,1
ABHD17A,0.642122300770127,1,-0.42089,0.644325,2.46282338045549,0.508758,-2.4473,0.172173,-1.28488285250849,0.952336,-1.325,0.368568
