Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
DNAJC13,239.2025732,0.994695787,0.180701928,275.4304371,1.484071278,0.103242988,80.33335383,-4.031314913,2.11e-07,55.8,3.19e-10,5.28e-06,0.994695786850661,0.693375788973548
RABEP1,11.61729157,-0.954325885,0.279936762,187.1742051,-0.760930571,0.295735477,39.46158244,-4.68316924,4.99e-08,55.7,3.35e-10,5.53e-06,-0.954325885292029,-1.38945996102327
ARFIP1,18.70126217,-3.541957228,0.000134182,335.2155768,0.824689181,0.269792772,54.63614374,-3.207547973,0.000150579,54.9,4.86e-10,8.03e-06,-3.20754797320741,-0.610242892381581
LYSMD3,54.79760381,2.000835914,0.046107273,27.43926669,-4.557230609,1.57e-06,55.80417773,1.577825063,0.078050007,54.8,5.09e-10,8.41e-06,1.57782506260495,1.22855981385752
N6AMT2,46.03893141,-2.10180703,0.026028058,68.69020597,-3.27432524,6.46e-05,29.81234688,-2.714280983,0.003587817,54.6,5.58e-10,9.23e-06,-2.71428098294708,-2.61794712731569
MBD3,9.090053826,-2.827847765,0.003796458,97.77128552,1.833043958,0.069938979,1084.592399,4.017039214,2.36e-05,54.5,5.85e-10,9.67e-06,1.8330439578252,2.72928546544397
H2AFJ,16.87460077,-3.623242086,0.000120619,316.4413993,2.810148633,0.002937328,181.1100112,2.219738414,0.019479125,54.2,6.72e-10,1.11e-05,2.21973841430559,1.96997123943779
RASA1,88.72968208,2.187205827,0.004123215,69.63640227,-0.55325001,0.556604786,163.2511192,3.983366092,3.03e-06,54.2,6.72e-10,1.11e-05,2.18720582737339,2.8109429371502
CASP7,31.68521756,-3.076480032,0.000276307,159.0307226,2.626439152,0.003476013,206.4076802,2.344325452,0.007777745,54,7.38e-10,1.22e-05,2.34432545196312,1.92242307231895
CSH2,360.3029209,2.805314806,0.003950671,171.3085222,3.509476447,0.000544145,435.7414617,2.250938683,0.003818826,53.7,8.48e-10,1.4e-05,2.80531480646384,2.94724851496957
EIF2S3,57.01021922,2.476825389,0.002702163,23.84473915,-3.578573614,3.65e-05,26.35528605,1.573010436,0.084135257,53.7,8.48e-10,1.4e-05,1.57301043597582,1.52367302110364
ZFAND5,53.86810984,-1.044284575,0.272179796,48.84923886,-1.443721544,0.116427464,33.1737699,-5.044226664,2.63e-07,53.7,8.48e-10,1.4e-05,-1.44372154445654,-1.76478822797523
FAM124B,24.70859913,-4.317869055,6.7e-06,31.12662161,-2.560531305,0.002630266,69.40924593,-0.630870253,0.462735026,53.7,8.48e-10,1.4e-05,-2.56053130472864,-1.7934555816415
NXT2,14.82710308,-2.57350163,0.005198358,297.3093971,3.760018982,2.89e-05,287.0232628,1.752593438,0.057982128,53.5,9.3e-10,1.54e-05,1.75259343750654,2.50975805764207
PCDHGB1,37.04408143,-4.498038702,3.86e-07,98.09849376,0.894207933,0.266954998,74.02689581,1.253910654,0.084987331,53.5,9.3e-10,1.54e-05,0.894207932560977,0.515246024166195
PCK2,35.98630359,0.331489967,1,70.52028832,-0.013734395,0.988422367,51.08466051,-5.355484547,8.92e-09,53.5,9.3e-10,1.54e-05,-0.0137343948335542,-0.400198099427697
MSMO1,42.97911129,-2.477989304,0.005066091,316.3993223,2.768580608,0.000872776,78.34290907,2.406749981,0.002039669,53.4,9.75e-10,1.61e-05,2.40674998088758,2.03523091723049
LRRFIP1,16.35776223,-2.960603441,0.002760224,230.0194749,2.950791893,8.92e-05,260.7517742,1.818094697,0.037853749,53.4,9.75e-10,1.61e-05,1.8180946970139,1.92427043486153
FN3KRP,320.9878055,0.956238009,0.210437922,113.0123191,0.705315494,0.327610357,42.32401077,-4.833998133,1.33e-07,53.4,9.75e-10,1.61e-05,0.705315493526366,0.265359220334346
CARNS1,19.6910953,-2.614809418,0.003898291,31.24456897,-4.516498852,4.3e-06,51.02718381,-0.501326488,0.592874996,53.2,1.07e-09,1.77e-05,-2.61480941843394,-1.71563968335155
ZNF746,255.8619167,1.875479016,0.015923712,21.70594832,-4.705090755,1.24e-06,13.52202784,-0.599273927,0.542504575,53,1.17e-09,1.94e-05,-0.599273926842125,0.541897419920044
MAP3K7,253.1145137,1.16751137,0.147696545,114.9439949,0.371084786,0.640265208,86.46552305,-4.102598638,1.18e-07,52.8,1.29e-09,2.13e-05,0.371084786025312,0.262141842259805
PDCD2L,99.28010865,1.828839888,0.057759438,30.5139733,-0.166009004,1,26.16673252,-5.279451649,2.04e-07,52.7,1.35e-09,2.23e-05,-0.166009003685601,0.575171874463188
SCRIB,47.45596008,3.808795014,0.000219842,32.3324671,0.040056508,0.967189744,20.25994236,-3.869412946,6.34e-05,52.3,1.62e-09,2.68e-05,0.04005650798519,2.33252243630681
NUP50,197.0577584,3.008972469,2.83e-05,297.9134867,1.895034454,0.020384769,69.01991643,1.903297832,0.027789035,51.8,2.05e-09,3.38e-05,1.90329783154403,2.37015409547734
SCN3B,85.29445779,0.700782913,0.426231728,316.915784,2.610656986,0.00021584,376.6926821,3.469045705,0.000181028,51.7,2.14e-09,3.54e-05,2.61065698649566,2.64821636480388
RNF6,67.15121599,1.028805487,1,595.548955,2.545052554,0.001687828,338.7373183,3.85242069,9.94e-06,51.7,2.14e-09,3.54e-05,2.54505255423202,2.89535763577982
TM4SF4,66.0057302,-0.066737526,0.943944346,217.5315615,2.395793001,0.007298466,22.68572491,-4.935749022,2.44e-06,51.7,2.14e-09,3.54e-05,-0.0667375257980588,1.05892389270605
B3GNT3,172.5087363,2.227223363,0.0336023,343.4091475,2.827939433,0.001707635,20.0128355,-3.437514576,0.000297407,51.6,2.24e-09,3.7e-05,2.22722336276832,1.98491895318997
ZSCAN4,13.20341909,-2.943676012,0.003370505,55.95028695,0.703736565,0.454337794,218.6604557,4.28430826,1.12e-05,51.6,2.24e-09,3.7e-05,0.703736564624784,2.82401515872774
HCFC1R1,45.48365037,-0.329745247,0.716544542,50.9964353,-5.059910989,2.36e-08,20.507456,1.502291497,1,51.6,2.24e-09,3.7e-05,-0.329745247004879,0.286320925689385
