Supplementary Table 6. Normalized screen data and DeSEQ2 output. ,,,,,,,,,,,,,,
Gene,baseMean1,Log2_FC1,pval1,baseMean2,Log2_FC2,pval2,baseMean3,Log2_FC3,pval3,chi,combined_p,combined_q,Meidan_Log2_FC,Combined_mean_Log2_FC
C5orf54,305.1787073,1.112333039,0.238240908,190.0660441,0.602953287,0.392631204,271.105696,2.069153707,0.007071375,21.1,0.001760235,1,1.11233303852262,1.39271613975754
SEMA3A,53.67047351,0.690578995,0.452302451,70.85497924,1.111671374,0.187890226,278.472784,1.201960015,1,7.11,0.310794228,1,1.11167137365529,1.01801918694736
RGS22,216.0390173,1.111603674,0.184828079,97.56557934,1.047641175,0.146827513,112.0520926,1.507306205,0.04619614,19.3,0.003685867,1,1.1116036735079,1.236909272715
CTLA4,173.4306286,1.064884475,0.162903506,159.958216,1.111583523,1,265.9680725,1.122927904,0.137601044,11,0.088376432,1,1.11158352307462,1.10001653379853
KIAA0753,498.0098325,1.111285242,0.124770184,218.1116989,1.06632463,0.170051697,79.53811487,1.888732151,0.033464866,20.9,0.00191207,1,1.11128524212666,1.40736516036762
S1PR3,96.34536113,1.11098268,0.26796093,293.3943748,1.571597448,0.105411128,94.77504441,0.17098176,0.824072582,10.8,0.094757868,1,1.11098267999995,1.06075945177295
POU4F2,175.9889971,1.110889651,0.218893922,95.86929943,-0.915273084,0.303343897,58.79290178,1.429366479,0.138652635,13.5,0.035748418,1,1.11088965054859,0.843532510835267
CD34,130.9944124,1.110514465,0.224448821,102.4402056,0.614724829,0.448849702,741.6591384,2.491306985,0.010241831,19.8,0.003005714,1,1.11051446525004,1.6343397656833
PACSIN1,213.1679908,0.89848517,0.309486542,52.35498372,1.110386891,0.248685693,88.78182624,1.492561148,0.092280676,14.3,0.026458749,1,1.11038689089419,1.18840592554884
DLX3,48.57757391,-0.041220032,0.968986408,116.3445303,1.164224411,1,41.3708642,1.110028276,0.224562895,4.4,0.62271375,1,1.11002827642758,0.840351384287166
EIF4E,319.851559,2.172603379,0.011430429,92.65326501,1.109893603,0.157926207,78.79297318,0.95179277,0.371442241,21.1,0.001760235,1,1.10989360336483,1.51953085875514
SH2D1B,279.8600142,1.480131124,1,194.971888,1.004900754,0.175840646,175.3215527,1.109467333,0.137073632,10.7,0.098102735,1,1.10946733310055,1.21292330255834
SPECC1L,334.7805296,1.109199349,0.195355255,32.56546529,0.141603251,0.882848532,263.5106145,1.794433789,0.011760956,17.9,0.00648702,1,1.10919934878642,1.16546871632615
TAB1,71.154069,1.108787479,0.199962852,84.39667505,-1.439824169,0.078249279,62.73132509,1.291551975,0.160111805,17.3,0.008241688,1,1.10878747899412,0.72920262369102
CCNB3,58.4249646,0.736991968,0.43565147,387.3810628,4.044593316,1,231.0246236,1.108738969,0.166339663,7.57,0.271328047,1,1.10873896887874,2.76025971052092
CLIC1,16.79080244,0.542380739,0.576775032,74.88412922,1.108691638,0.251753623,188.697462,1.287953828,0.132627336,11.4,0.076773177,1,1.10869163804478,1.01309026316588
PRICKLE1,325.8377531,1.525295027,1,52.80296918,0.672875767,0.491849845,90.999894,1.108249897,0.224540968,6.36,0.384093428,1,1.10824989745733,1.14372930784773
NUP43,45.1492153,1.108220237,0.241333436,175.0893222,1.23879316,0.130617034,16.66477322,0.153693213,0.870629647,10.4,0.10878665,1,1.10822023710895,0.907716019628526
ACP1,274.196921,1.976809992,0.015831485,57.54175669,0.509028441,1,136.6384574,1.108208554,0.151053776,17.4,0.007920322,1,1.10820855361494,1.32482731663418
CIDEC,156.7182257,1.10812698,0.130907166,15.28366998,0.242055617,0.81237481,115.6304192,1.900495352,1,6.47,0.372647168,1,1.10812697974557,1.2371040030517
EMR2,92.13143286,1.449982406,1,71.02156721,0.981441882,0.242943287,387.8826912,1.108078884,0.148958853,9.58,0.143490055,1,1.10807888368711,1.19368115170331
DLG4,58.36627008,-0.68332789,0.456297563,174.1533431,1.671054208,0.099933368,299.2993629,1.107938508,0.164857,14.1,0.028538839,1,1.10793850802054,0.990972675168134
FXYD7,394.9190376,2.164393218,0.008621321,185.5430512,1.107591772,0.219817097,9.690295464,-1.477105296,0.103139874,24.6,0.000404855,1,1.10759177205498,1.22174178291016
PCSK4,26.29247243,0.143432434,0.88133456,397.9655936,1.688062971,0.049993746,232.1735027,1.107590667,0.176689238,14,0.029636164,1,1.10759066737997,1.11139249449307
ARL6,222.0882546,1.226631795,0.0942673,65.25707563,-1.202601317,0.140911454,282.2617185,1.107517575,0.167225987,17.6,0.007313569,1,1.10751757475205,0.716460302582339
IL11,466.2555259,2.614862852,0.00823813,133.8860787,1.107361792,0.161457232,61.95620954,0.435214841,0.634041098,20.4,0.002349908,1,1.10736179249331,1.6829140486528
PHACTR2,35.65156449,-0.947244205,0.230230429,145.8549226,1.721225688,0.074833235,251.6894145,1.106864449,0.148058729,17.2,0.008575648,1,1.10686444860837,0.99266128711722
ZNF557,153.6565501,1.106824472,0.167818326,230.6903381,0.537108008,0.538863348,285.600047,1.3692468,1,6.93,0.327369339,1,1.10682447228103,1.04454056940321
CAMK2N1,51.3376318,-0.180617954,0.858368772,130.6530273,1.7687169,0.073869219,219.295209,1.106581738,0.168112,13.1,0.04147514,1,1.10658173830446,1.10281062579949
HIST1H2BH,68.36277281,0.467280075,0.592042915,87.26773392,1.636822027,0.10089113,54.52445976,1.106157924,0.296523818,11.6,0.071510843,1,1.10615792424268,1.14731037722459
ZCCHC16,119.2997147,0.786320345,0.428133273,300.5099431,1.946225672,0.042072211,134.5009013,1.106120767,0.192515393,16.3,0.012231191,1,1.1061207674261,1.36568894971892
PI4KA,127.8457155,-0.589651201,0.548181245,37.92068089,1.105912065,0.244527014,203.8300276,1.160665548,0.210238351,10.3,0.112573695,1,1.10591206531747,0.752022915600512
PLCG1,80.09403177,0.311868849,0.722511597,123.177616,1.105830412,1,113.4123809,1.566124715,0.090907488,7.86,0.248540585,1,1.10583041159146,1.08284436384172
KCNJ4,379.6300418,1.105701661,0.204884647,11.28445196,0.922649501,1,286.5215518,1.723150268,0.040336123,13.8,0.031951837,1,1.10570166122972,1.29262353932875
USP17L10,31.53397576,-0.285064027,0.765604344,285.8116209,1.105657163,0.125516558,108.2967177,2.563619543,1,6.76,0.343613723,1,1.10565716343583,1.56633855436426
OR4D10,332.5905787,1.889777534,0.011245701,46.11159516,1.105640518,0.272672435,102.1365248,-1.608520489,0.079335359,24,0.000522258,1,1.10564051795605,1.04396485445534
SLC6A9,54.78877472,1.774518833,0.080418578,139.1444196,1.105621151,0.262548558,88.49237623,-0.105982887,0.907186237,11.4,0.076773177,1,1.10562115081811,1.11599330912416
LONRF2,149.4892255,0.095711314,0.910818249,121.1812694,1.105529634,0.254801757,165.210864,2.242745809,0.017423211,15.9,0.014300892,1,1.1055296342568,1.40659849639009
PTGES2,272.7234004,1.105126693,0.211276463,98.08922536,1.378014741,0.13328331,72.37232703,-0.398414421,0.620923759,11.7,0.069005984,1,1.10512669299012,0.876821158891029
COMMD3,158.155175,1.226994976,0.132349566,37.48314217,1.105066472,1,52.78298144,-0.489481374,0.594178998,7.34,0.290545128,1,1.10506647234599,0.794702297842379
FAT4,37.71275013,-0.737098824,0.394030124,104.0968547,1.399794583,0.13956165,179.8812682,1.104837829,0.219023736,12.8,0.046324217,1,1.1048378294559,0.845143881243817
SCXA,48.92663088,-2.130604412,0.010534319,203.3751232,1.365701855,0.076919059,223.9370321,1.104831226,0.11391469,26.8,0.000157848,1,1.10483122588725,0.724247447233408
SYNE4,763.6294805,1.608430603,0.068122237,89.94271155,1.104000796,0.199365583,46.30711479,-2.043826939,0.034637827,22.1,0.00116137,1,1.10400079574656,0.858967321392863
RAPGEF1,204.8219864,1.103737638,0.269602694,35.25411867,0.682259075,0.526268341,100.2360422,2.809620871,0.003455549,22,0.001210873,1,1.10373763804821,1.84328188857198
TMEM88,56.98221543,2.082105647,1,137.4488965,1.103658956,0.171569324,155.685072,0.708509272,1,5.09,0.532322929,1,1.10365895611468,1.41816343110391
SEL1L2,104.1494311,2.006398489,1,59.81139786,0.729658705,0.463082613,58.8141727,1.103377206,0.209462041,6.73,0.346539943,1,1.10337720639492,1.38305397928326
ST6GAL1,406.1337716,1.6457894,0.058266143,69.99682119,-1.194897103,0.211972876,247.3801117,1.103278381,0.194500926,17.4,0.007920322,1,1.1032783807037,0.929647444872939
KRT2,96.32727282,2.747428072,1,117.4572163,1.103136858,1,122.3458354,0.877643585,1,0,1,1,1.10313685810805,1.83468072246976
SHISA8,47.59660603,0.602261209,0.536577401,133.2132389,1.589543485,1,132.7347979,1.103075399,0.148139514,7.31,0.293127466,1,1.10307539862913,1.15396879423245
SOCS6,196.8154026,0.190925408,0.802922927,150.8185556,1.27581359,0.200851298,280.9445317,1.102983281,0.171385813,10.4,0.10878665,1,1.10298328110612,0.928738702035524
HOXC10,90.39242497,0.690191026,0.47868221,302.6836385,2.225276472,1,176.0337885,1.102936111,0.24918518,6.14,0.407691471,1,1.10293611148659,1.4918387276541
IP6K3,21.67250735,0.173115435,0.864972292,394.9488948,1.102643149,0.163912511,424.1369808,1.32660222,0.076648997,13,0.043035947,1,1.10264314911965,0.946875832901694
SULT4A1,138.1985082,1.102224453,0.129584487,123.4769405,1.482585825,1,181.4151913,-0.103403211,0.90147747,6.2,0.401163147,1,1.10222445342772,0.968933876780742
COCH,176.0804533,1.102097349,1,199.9021736,1.068766315,0.223610562,109.5237966,1.231418017,0.193448843,9.06,0.170231726,1,1.10209734875941,1.13581520665581
C6orf223,10.68612923,-1.766595616,0.081907158,71.16857878,1.101983746,0.204956965,521.27156,1.58086817,0.046948871,20.6,0.002164122,1,1.10198374606474,0.856493353884301
GTDC1,95.80747656,2.189534464,1,329.8744326,1.101863182,0.148289027,143.8418594,0.934972711,0.251932714,9.48,0.148328033,1,1.10186318210523,1.52268422283012
CNR1,83.53451022,-0.258232935,0.794402623,334.8173822,1.449841114,0.062105194,53.36273095,1.101803566,0.225002919,13,0.043035947,1,1.10180356597079,0.929568672175945
OST4,37.48984573,-0.686477542,0.494474204,111.021648,2.027502087,0.035443603,341.2633416,1.101718032,0.227050443,15.9,0.014300892,1,1.10171803213011,1.18997287800321
C18orf21,80.16683786,1.259416859,0.209658867,51.55130137,1.101697938,0.250985078,75.5364961,0.167025124,0.848251465,8.97,0.175272293,1,1.10169793762875,0.916553516437604
EDNRA,272.993106,2.692446101,0.002688478,52.30186157,1.101685638,0.229870029,101.8647174,-1.554951223,0.090051777,28.3,8.25e-05,1,1.1016856376726,1.57700217109049
NKD2,76.44301709,1.10162935,0.264645393,143.1016103,1.656560953,0.072206191,176.4410262,0.030362774,0.967657236,11.5,0.074099115,1,1.10162934960323,1.07493448024102
PPP1R9A,132.5539887,0.483251836,0.552083871,93.2692547,1.101571289,0.356403468,399.1084073,1.259689143,0.105897514,11.2,0.082388404,1,1.10157128930191,0.985066876025037
CHRM5,22.6253256,-0.235435085,0.790606235,43.52905714,2.965209781,1,99.98318758,1.100993849,0.25408237,4.63,0.592065001,1,1.10099384866951,1.84851009941407
PABPC1L2A,412.0362012,1.808007238,0.007861444,99.33656483,1.100892569,0.210020116,73.41078526,-0.592591617,0.47433565,20.6,0.002164122,1,1.10089256882921,1.0725876398707
RIMBP3C,198.1599485,1.10081479,0.1549786,68.4908661,0.812073481,0.345927053,151.1912298,1.430064148,0.111876286,14.8,0.021870624,1,1.10081479005236,1.13642719051444
RARS,51.36501429,1.1007754,0.251321345,257.2720261,0.581475751,0.447643181,197.7006245,1.165797244,1,6.3,0.390436441,1,1.10077539964186,0.971994129392381
PSME4,107.8127311,1.100514296,0.216719103,33.79501047,-1.188088142,0.223813752,919.074484,1.626541692,0.022745511,19.6,0.003261663,1,1.10051429571037,0.918618972690997
PRSS36,270.3780868,1.099877479,0.223669541,43.4751193,1.732231049,0.058486673,150.801036,0.737250479,0.292868821,16.1,0.013227174,1,1.09987747885319,1.24950052838718
LEMD2,260.0385979,1.099778263,0.193940436,34.92843101,-2.150209445,0.011948265,60.59352768,1.193363706,0.18987096,22.3,0.001068246,1,1.09977826255148,0.633927297727909
AGAP8,95.32924041,1.099601798,0.13156584,71.77624301,1.435304444,1,22.07958378,0.862732449,0.3355469,9,0.173578071,1,1.09960179809768,1.15182135096184
IL17F,412.465619,1.020780745,0.187231026,86.58184207,1.099498575,1,194.8174252,1.654534208,0.052156537,13.4,0.037105839,1,1.099498574679,1.28688785871344
CLEC17A,84.04685047,1.568393144,1,85.57855668,0.977626544,0.306016439,78.80784127,1.099415614,0.216682946,7.83,0.250824434,1,1.0994156142762,1.23830669330981
LPCAT4,177.1398014,2.662183971,0.002266457,140.8254822,0.766090625,0.427843206,309.3582739,1.099412015,0.115303901,26.3,0.000195738,1,1.09941201520049,1.76174399246014
CXorf22,169.5666098,1.510841669,1,100.0055433,1.099265398,0.162063974,69.20014167,-0.404635789,0.612993071,6.66,0.353437226,1,1.09926539773779,0.938008499968361
PTGFRN,377.4415301,1.099149241,1,34.01577112,0.000534138,0.999548949,152.9644197,1.177262157,0.119859771,6.12,0.409882854,1,1.09914924089166,0.849098701250735
FKBP14,207.4896511,1.09860945,0.246330361,729.0142037,3.846323838,1,186.0814614,0.808478618,0.36630506,6.94,0.326431654,1,1.09860945041519,2.60692823109312
NRN1,49.60430314,1.098557169,1,26.57980351,3.217566567,0.001980629,14.81613944,-1.630543301,0.064540518,25.9,0.000232397,1,1.09855716864265,1.97165526135235
FGF20,320.8075422,2.556123587,0.004787919,284.2485812,0.645694981,0.41839514,196.2612206,1.098496003,0.20162045,22.5,0.000982457,1,1.09849600322075,1.67612586353035
PANK3,286.9855956,1.098059455,0.245076755,22.0994207,-2.614872866,0.001402801,427.6519504,2.233134227,1,23,0.000796479,1,1.09805945455218,1.22351629490362
EDAR,155.8995723,3.120690135,1,322.2133202,0.592127371,0.405286821,141.2841897,1.098045609,0.267007528,6.42,0.377820631,1,1.09804560949818,2.04102702991653
KCNIP2,95.67354629,1.753572334,0.035047033,38.28442911,-0.859545983,0.280202937,192.9737144,1.09784657,0.139324973,19,0.004163633,1,1.0978465697062,1.01516460937375
TNFSF14,124.5282589,1.097805124,0.219014206,56.37710611,-1.315796735,0.102475924,206.3598441,1.209160192,1,11,0.088376432,1,1.09780512434908,0.69421814129503
LRRC71,486.5306532,1.097513756,0.139662034,98.33979604,2.113914273,0.017759004,91.74714355,0.474369247,0.511690916,19.2,0.003838865,1,1.09751375584478,1.38916443305628
KRT79,212.284199,1.097310568,0.122804893,36.18604685,1.498669135,1,26.07898466,-0.570783311,0.548006835,7.79,0.253895739,1,1.09731056830288,0.910380898066084
KIR2DL4,342.8715938,3.073349357,0.000419736,131.7197594,1.09731027,0.164179647,17.75565607,0.213184963,0.835224484,28.2,8.62e-05,1,1.09731026960881,1.96545198529957
SAR1A,139.9210128,2.534767252,1,90.72035407,-0.550408124,0.454045993,56.65496211,1.097277921,0.184918088,7.15,0.307197898,1,1.09727792059836,1.5222511255538
AP2A1,50.45647973,1.793231038,0.069298749,179.1635182,1.096910089,0.137167651,36.09271472,-1.264446984,0.253035863,17.4,0.007920322,1,1.09691008939851,1.00506989401857
LYG1,309.1304901,1.096903358,0.241032321,62.40445887,1.313893577,1,179.5707521,0.329343453,0.647812755,5.36,0.498536406,1,1.09690335808672,0.971223674204193
SLITRK1,45.1327991,-0.709907305,0.425648245,82.99769755,1.096682658,1,259.2378422,1.463012424,0.042666764,11.6,0.071510843,1,1.09668265756361,0.876256209407237
PPP1R18,121.6732947,1.706521733,1,41.94397431,1.096579637,0.302186292,66.12897894,-0.277308836,0.76305806,4.23,0.64558262,1,1.09657963650498,1.05365118454305
PLCD3,45.98484189,0.996737754,1,285.0443947,1.543475112,0.046136059,74.35184154,1.096531801,0.296784678,12.4,0.053617557,1,1.09653180093641,1.23242352007143
ARHGDIA,22.57244701,0.290687754,0.776083592,35.18529435,1.096527607,0.247938215,295.7474902,2.550283733,0.003930356,20.7,0.002076692,1,1.09652760656256,1.61966526160401
LMBR1L,119.8624789,-0.38841777,0.671460767,66.04308527,1.096400329,0.258173223,683.8263066,1.973022964,0.03291749,14.9,0.021048913,1,1.09640032903366,1.18651555309993
MFSD12,237.8444296,2.351317856,1,116.6423807,1.095935013,1,62.29277011,-0.551020985,0.444676234,2.34,0.885926915,1,1.09593501306665,1.40107598814897
MAT2B,109.5791865,1.095624875,0.133354891,109.7379828,1.566637929,1,8.631313371,-0.845573695,0.394866831,8.49,0.204356063,1,1.0956248746464,0.914738456296843
FABP6,16.07138134,1.095601709,0.274550854,298.4704418,2.270404088,0.009079791,345.5851805,1.000312777,1,17.3,0.008241688,1,1.09560170934055,1.57886434664437
TNFRSF17,185.9493417,0.550489961,1,190.8991972,1.095567829,0.252852431,167.227907,1.157417297,0.177135235,8.96,0.175840172,1,1.09556782865254,0.95906094144687
SHCBP1,16.13407429,-0.652599637,0.512282732,93.20093271,1.095556996,0.187032585,328.5058946,1.922813939,0.022581388,17.7,0.007027318,1,1.0955569963616,1.12976823890961
TRABD,33.42160871,0.559740259,1,83.26732387,1.095404583,0.249590006,259.1692556,1.111786278,0.257115509,7.92,0.244023113,1,1.09540458282587,0.944074903750165
AMY2B,22.8396731,-2.848280438,0.002302237,54.16819731,1.388115924,0.130287285,106.1790818,1.095324161,1,23.4,0.000673002,1,1.09532416072802,0.705709275820232
TMEM9B,49.43183528,-1.940554256,0.057840458,262.1343732,1.095257821,0.194721615,229.951383,2.4186951,0.020832639,24.1,0.000500593,1,1.09525782103226,1.36809796732639
CXorf38,151.445369,1.095117696,0.139207584,30.4692066,1.345094256,0.166375093,30.21997235,0.723657102,0.485128516,13,0.043035947,1,1.09511769612428,1.07681806294935
GLS2,203.2195309,1.094782866,1,185.059319,1.880125137,0.045687392,67.90196478,0.434874529,0.586116221,10.4,0.10878665,1,1.09478286618298,1.25674347987904
SEC14L5,310.2733525,1.094518779,0.188527652,313.7995557,1.253382964,0.11398859,25.01499237,0.634053368,1,11.1,0.085334546,1,1.0945187785126,1.01705138038169
EPB42,117.9555406,-1.281342072,0.171587767,55.82824948,1.094453658,0.279533725,155.1108124,1.316039931,0.13066707,14.6,0.023606702,1,1.0944536584791,0.747473914931983
LHFPL1,637.2057273,1.094145697,0.141145351,65.89326781,-0.500500162,0.623357153,268.0619888,2.410513159,0.013582046,19.4,0.003538815,1,1.09414569671889,1.44331701598704
CCND3,196.0249586,0.551584862,0.491932774,94.96959439,1.49481185,0.078152721,175.4257892,1.094092898,0.229478808,13.6,0.034437928,1,1.09409289797476,1.09733144729638
MGP,286.3865529,2.164309789,1,49.24419192,-0.491254256,0.600173931,245.8603071,1.094006414,0.203625356,6.07,0.415394533,1,1.09400641436754,1.28857232550637
ACP5,176.0540983,1.529163762,0.099663714,18.09207071,0.276650948,0.790917857,68.28650135,1.09389257,0.244470001,11.4,0.076773177,1,1.09389257018918,1.05474575055393
ZNHIT2,260.6665417,1.093881892,0.28800143,373.8258897,2.564608641,0.00034028,34.46702469,0.135916686,0.883521045,27,0.000144808,1,1.09388189201808,1.60868494382841
TBX3,188.4111398,1.093780894,1,14.03515259,-0.304166399,0.767866311,141.2984821,1.615795276,0.05077451,9.36,0.154321136,1,1.09378089369401,1.00217239476106
DSEL,141.0598362,1.395184025,0.099512185,23.54530047,-0.306253349,1,14.81883379,1.093164114,0.250382772,10.7,0.098102735,1,1.09316411432047,0.893329731953567
SYN1,180.2884384,1.092977086,0.19637505,53.44387014,-1.125377522,0.243902411,192.9459059,1.196537758,1,8.77,0.186932261,1,1.09297708633087,0.702926309298156
ZFP30,187.0268491,1.092700163,0.204223663,220.6236234,1.461745616,0.097303172,13.80888747,-2.535519043,0.010194451,24.5,0.000422436,1,1.09270016292495,0.754066606638719
CALCA,17.19743684,0.031272203,1,100.0581125,1.759593448,0.037883341,154.6971294,1.092641782,0.224039976,13.8,0.031951837,1,1.09264178172871,1.12445646577068
C12orf71,92.58129719,2.734133014,1,439.5057801,1.092617577,0.130277061,39.80967798,0.373170544,0.698368212,6.92,0.328309008,1,1.09261757736919,1.74866051885403
C2orf44,80.67142279,1.00307258,0.294978463,156.7701241,1.092603547,0.205546313,392.6110317,1.49398147,0.074351149,15.6,0.016069806,1,1.09260354733624,1.2127771968622
WAPAL,131.7571004,1.092440508,0.265679733,134.9888814,1.549070282,0.102533873,51.52532135,0.3603072,0.713309053,11.4,0.076773177,1,1.09244050818773,1.08005013992307
ZNF33B,243.2475602,1.760601832,0.022745946,103.9854447,1.092308921,0.260183586,53.14995386,0.455725753,0.650456546,16,0.013753968,1,1.09230892090434,1.19996375575669
ATP6V0A4,30.31439731,-2.132594512,0.029263796,41.30366462,1.422789823,0.112588844,197.2935617,1.092169472,0.212179926,21,0.001834616,1,1.09216947230143,0.748754850189303
ITGA2B,114.5797436,2.054638133,0.006716207,34.11500962,0.870332339,1,103.3121822,1.092042263,0.204304031,19,0.004163633,1,1.0920422627507,1.43549243150223
FBXL2,256.1324477,1.654226375,0.05546862,42.29913445,0.554144326,0.540333108,41.97252554,1.091881705,0.172335639,15.2,0.01875692,1,1.09188170474913,1.1693606012437
LOC100507003,102.1534374,0.401762376,0.661707763,473.0293412,2.452453018,0.002018763,199.7014145,1.091830183,0.187046379,23.9,0.000544844,1,1.09183018291625,1.57305502556753
SNAP25,92.9078535,1.728564453,1,17.5837363,0.970546258,0.273161041,215.7615722,1.091629958,0.174102564,8.79,0.18573732,1,1.09162995788963,1.30348038014966
DSCR6,127.9162953,1.091423492,0.183217105,39.84098666,-1.645859847,0.090874165,268.188952,1.497545508,0.108643707,18.2,0.005751347,1,1.09142349175876,0.813939675547637
LSG1,110.1708236,1.091384539,0.243677784,478.0099268,1.521012339,0.079242585,17.63760158,0.340300002,0.751714786,12.2,0.057652915,1,1.09138453873154,1.06274981069163
RBM46,41.93639375,0.571042868,0.508888869,127.9639585,2.129975037,1,245.3051563,1.091301603,0.170419358,7.05,0.316247985,1,1.09130160317865,1.41383918911958
ZNF844,309.2820038,1.091066959,0.216265903,549.7175002,3.073977338,1,13.49844773,-2.309172286,0.028292848,14.7,0.022722869,1,1.09106695882231,1.84170593856505
CCDC122,73.25625872,0.565456481,0.435753979,160.6808711,1.314058358,0.174612193,189.30031,1.090763932,0.145577877,13,0.043035947,1,1.09076393186643,1.0229296189309
ILKAP,222.1730603,1.090425423,0.243283518,14.13853566,1.143999335,1,80.14014659,0.757796111,0.4338886,6.49,0.370591534,1,1.09042542322951,1.00724376352385
ABCG4,114.081414,-0.17271126,0.810864628,280.5507382,1.09042256,0.169450282,548.8924721,1.221203148,0.155291697,11.1,0.085334546,1,1.09042256018892,0.834023062275012
ADCY2,20.96207142,-1.756826425,0.078126196,163.5803079,1.090180441,0.23055967,240.365307,1.198638409,0.206106208,16.1,0.013227174,1,1.09018044147694,0.653865459938219
SH3BGRL,104.1311615,1.090148099,0.225380748,330.3488421,2.814985716,0.001339795,21.31001362,-0.783932314,0.413952261,25.9,0.000232397,1,1.09014809904772,1.69997553177292
ABL1,252.9772328,1.08996849,1,59.05347951,1.135028447,0.218578349,84.37182106,-1.319127461,0.134338414,10.2,0.116478343,1,1.08996848968496,0.65556556324652
TMEM114,282.5965376,2.105380663,0.008088128,58.6754981,1.089736988,1,148.3223499,0.206502538,0.814680819,14.5,0.024523209,1,1.08973698767781,1.33825374439041
MUC6,54.75278363,0.416126251,0.654471961,92.12934167,1.089419567,1,181.8838723,2.132323295,0.024297115,11.9,0.064237226,1,1.08941956737525,1.38707821037688
GRIA2,61.08821353,-0.294756975,0.733950964,278.2933727,1.212046049,0.110203376,128.4512074,1.089050649,0.121957206,13.3,0.038511715,1,1.08905064933856,0.809883392796182
MIER2,110.9311211,0.16827617,0.857970217,158.0450754,1.088920799,0.167601945,104.1329714,1.227259813,0.208907648,10.1,0.12050348,1,1.08892079920971,0.898423126078231
NTM,245.8090559,1.639957961,0.112304837,67.02991545,1.088843178,0.253240233,525.9575554,0.68221915,0.388345922,13,0.043035947,1,1.08884317849244,1.19076395417911
UNC80,130.6686848,1.088318273,0.180825716,97.04431562,-0.567989414,0.470806846,172.3401299,1.300572937,0.173198545,12.2,0.057652915,1,1.08831827257168,0.811219861076704
COASY,36.18561385,1.088265257,1,134.2082188,1.491512145,0.053283417,132.207447,0.402101931,0.636186413,9.77,0.134677979,1,1.08826525710306,1.06107325934509
TSPY1,43.23723306,1.248342984,0.142252143,43.42599737,0.055380162,0.941662437,158.2529147,1.088167653,0.136435754,11.5,0.074099115,1,1.08816765301415,0.885146201378348
ISY1,112.8128674,1.386623299,0.121173231,37.8295026,1.088145011,0.19167523,39.11013339,0.363652922,0.656169197,12.1,0.059774749,1,1.08814501128656,1.00656004760508
LMO7,89.48699715,-0.289617702,0.756196086,279.2693629,1.088135497,0.213720563,242.1080757,1.605707221,0.039309869,14.6,0.023606702,1,1.08813549664577,0.997005441572625
MYBBP1A,92.40573145,1.088052774,0.192621541,39.98562161,1.109568546,0.234046889,34.20567624,0.774606179,0.431847351,11.4,0.076773177,1,1.0880527737236,0.998653619389373
OR5H2,223.5506975,1.087736641,0.121429925,353.1045777,1.714307396,0.04832669,12.79572151,-2.079279905,0.027573362,25.2,0.00031353,1,1.08773664149584,0.911608899422672
PKHD1L1,99.44337525,2.066640622,1,26.22915374,-0.624560963,0.559661127,224.8286666,1.087661365,0.143955973,7.27,0.296597967,1,1.08766136506671,1.21474868404685
TIMM17B,197.658865,2.282529358,0.018527071,95.41581348,1.087592192,0.219856835,67.61417585,-1.1447006,0.213388729,20.3,0.002448556,1,1.08759219195864,1.31087832992416
RNF141,42.73498534,0.085217036,0.924472069,226.0534718,1.087501916,0.162720569,89.41633451,1.341760321,1,5.47,0.485090004,1,1.08750191594278,0.9311809709816
FBN2,42.48715427,-2.387920661,0.016307144,126.7144814,1.087387763,0.228386388,261.1556737,1.208632467,0.083711133,23.3,0.000701982,1,1.08738776328366,0.625155612469682
BCL6B,148.6637149,1.128560463,0.214516845,48.17101492,1.087187342,0.289702901,53.11900028,-1.242842736,0.114195063,14.3,0.026458749,1,1.08718734189729,0.657956461062531
PRM3,26.60775798,-1.886783379,0.048268504,789.078885,1.960339265,0.034491164,106.3639212,1.087087355,0.241281014,22.6,0.000942136,1,1.08708735500975,1.06726953233863
EXOSC5,12.87505186,-1.449817431,0.187826132,87.93870902,1.086868699,0.224420727,82.77993414,1.316665855,0.193899872,13.9,0.030773387,1,1.08686869911396,0.731499161495523
DST,234.1620266,0.766718748,0.393190221,313.215633,1.086699448,0.14236346,261.3153682,1.960470919,1,8.32,0.215584076,1,1.08669944839274,1.36310780953146
PRPH2,153.1691078,1.086573655,0.178899761,141.2043232,3.42246886,1,128.5246109,0.637164285,0.49960329,6.97,0.323630503,1,1.08657365522877,2.26310579325394
PPP6C,233.3366961,1.88443841,0.05172775,188.7317957,1.08639098,0.149185682,30.83031951,-0.547644813,0.548379316,15.8,0.01486867,1,1.08639097959651,1.11539944909307
FAM49A,315.4691902,2.27433142,0.008686454,80.00648804,1.085940496,0.284573287,75.55641197,0.938078636,0.293025976,20.9,0.00191207,1,1.08594049617249,1.56502317495245
KIAA0754,103.4434313,1.085909347,0.209186076,30.68806399,-1.130744558,0.179465952,12.72757104,2.075751962,0.050300743,18.1,0.00598709,1,1.08590934686192,1.179518238746
MAPK1,152.1591837,1.085898259,0.239991494,310.8907238,0.998380054,0.176949453,76.24258618,1.94745933,0.062367907,17.1,0.008922671,1,1.08589825906951,1.41095598758861
FAM156B,204.1599361,1.085841708,1,86.94727377,1.771149702,0.097056515,33.22894423,-0.51410119,1,6.73,0.346539943,1,1.08584170786177,1.05568181893151
